гэж,as
би,I
өөрийн,his
гэж,that
тэр,he
байсан,was
нь,for
дээр,on
байна,are
нь,with
тэд,they
байх,be
үед,at
нэг,one
байна,have
энэ нь,this
нь,from
өөр,by
халуун,hot
үг,word
харин,but
ямар,what
зарим нь,some
нь,is
энэ нь,it
Хэрэв та,you
буюу,or
байсан,had
олон тоо,the
-ийн,of
нь,to
болон,and
нь,a
нь,in
бид,we
болох,can
гарах,out
бусад,other
байсан,were
нь,which
хийх,do
тэдний,their
цаг,time
Хэрэв,if
нь,will
хэрхэн,how
гэж хэлсэн,said
нь,an
тус бүр,each
хэлэх,tell
вэ,does
багц,set
гурван,three
хүсэж байна,want
агаар,air
сайн,well
мөн,also
тоглох,play
жижиг,small
эцсийн,end
тавих,put
Нүүр хуудас,home
уншсан,read
гар,hand
порт,port
их хэмжээний,large
ид шид,spell
нэмэх,add
тэр ч байтугай,even
газар,land
энд,here
байх ёстой,must
том,big
өндөр,high
зэрэг,such
дагах,follow
акт,act
яагаад,why
асуух,ask
эрэгтэй,men
өөрчлөлт,change
явав,went
гэрэл,light
төрөл,kind
унтраах,off
хэрэгтэй,need
байшин,house
зураг,picture
оролдох,try
АНУ-ын,us
дахин,again
|мал, амьтны|,animal
цэг,point
ээж нь,mother
дэлхийн,world
ойролцоо,near
барих,build
өөрөө,self
дэлхий,earth
аав нь,father
ямар ч,any
шинэ,new
ажил,work
хэсэг,part
барих,take
авах,get
газар,place
хийсэн,made
амьдарч байна,live
хаана,where
дараа,after
буцааж,back
бага,little
нь зөвхөн,only
дугуй,round
хүн,man
жил,year
ирсэн,came
шоу,show
бүх,every
сайн,good
намайг,me
өгөх,give
манай,our
дагуу,under
нэр,name
маш их,very
дамжуулан,through
зүгээр л,just
хэлбэр,form
өгүүлбэр,sentence
агуу их,great
гэж боддог,think
гэж хэлэх,say
туслах,help
бага,low
мөр нь,line
өөр өөр,differ
ээлж,turn
шалтгаан нь,cause
маш их,much
гэсэн үг,mean
өмнө нь,before
алхам,move
эрх,right
хүү,boy
хуучин,old
мөн,too
нэг,same
тэр,she
бүх,all
энд,there
үед,when
дээр,up
ашиглах,use
таны,your
арга зам,way
тухай,about
олон,many
дараа нь,then
тэднийг,them
бичих,write
тэр нь,would
шиг,like
тийм,so
эдгээр,these
түүнийг,her
урт,long
хийх,make
зүйл,thing
-г үзнэ үү,see
Түүнийг,him
хоёр,two
байна,has
харах,look
дэлгэрэнгүй,more
өдөр,day
болох,could
явах,go
ирэх,come
байсан,did
тоо,number
сонсогдож,sound
ямар ч,no
хамгийн их,most
хүн,people
Миний,my
дээр,over
мэдэх,know
ус,water
илүү,than
дуудлага,call
эхний,first
хүн,who
болох,may
доош нь,down
тал,side
байсан,been
яг одоо,now
олох,find
дарга,head
зогсож,stand
өөрийн,own
хуудас,page
байх ёстой,should
улс орон,country
олдлоо,found
хариулт нь,answer
сургууль,school
ургадаг,grow
судалгаа,study
хэвээр,still
сурах,learn
ургамал,plant
хамгаалах,cover
хоол хүнс,food
нар,sun
дөрвөн,four
хооронд,between
улсын,state
байлгах,keep
нүдний,eye
хэзээ ч,never
өнгөрсөн,last
зөвшөөрөх,let
гэж бодсон,thought
хот,city
мод,tree
гаталж,cross
аж ахуй,farm
хатуу,hard
эхлэл,start
байж болох юм,might
түүх,story
харсан,saw
хол,far
далайн,sea
зурж,draw
зүүн,left
сүүлээр,late
урсгал,run
хийж чадахгүй,don’t
харин,while
гэж сонгоод,press
ойр,close
шөнө,night
бодит,real
амьдрал,life
хэдэн,few
хойд,north
ном,book
авч явах,carry
авч,took
шинжлэх ухаан,science
идэж,eat
өрөө,room
найз нь,friend
эхэлсэн,began
санаа,idea
загас,fish
уулын,mountain
зогсоох,stop
нэг удаа,once
үндсэн,base
сонсооч,hear
морь,horse
тайрах,cut
байгаа эсэхийг,sure
харах,watch
өнгө,color
нүүр,face
мод,wood
үндсэн,main
нээлттэй,open
шиг санагддаг,seem
хамтдаа,together
дараагийн,next
цагаан,white
хүүхдүүд,children
эхлэх,begin
авсан,got
алхах,walk
жишээ нь,example
хөнгөвчлөх,ease
цаас,paper
бүлэг,group
үргэлж,always
дуу хөгжим,music
тэдгээр,those
аль аль нь,both
тэмдэг,mark
нь ихэвчлэн,often
бичиг,letter
хүртэл,until
милийн,mile
голын,river
машины,car
хөл,feet
тусламж,care
хоёр дахь,second
хангалттай,enough
энгийн,plain
охин,girl
ердийн,usual
залуу,young
бэлэн,ready
Дээр дурдсан,above
хэзээ нэгэн цагт,ever
улаан,red
жагсаалт,list
Хэдийгээр,though
мэдрэх,feel
хэлэлцүүлэг,talk
шувуу,bird
удахгүй,soon
байгууллага,body
нохой,dog
гэр бүл,family
шууд,direct
загвар,pose
орхих,leave
дуу,song
хэмжих,measure
хаалга,door
бүтээгдэхүүн,product
хар,black
богино,short
тооны нэр,numeral
анги,class
салхины,wind
асуулт,question
болох,happen
бүрэн,complete
хөлөг онгоц,ship
газар,area
тэн хагас нь,half
чулуулгийн,rock
зэрэг,order
гал түймэр,fire
урд,south
асуудал,problem
хэсэг,piece
гэж хэлсэн,told
мэдэж байсан,knew
өнгөрөх,pass
Учир нь,since
дээд,top
бүхэлд нь,whole
хаан,king
|гудамж,|,street
инчийн,inch
үржүүлэх,multiply
юу ч биш,nothing
Мэдээж,course
байх,stay
дугуй,wheel
бүрэн,full
хүч,force
хөх,blue
объект,object
шийдвэр,decide
газрын гадаргын,surface
гүн гүнзгий,deep
сар,moon
арал,island
хөл,foot
систем,system
завгүй,busy
туршилтын,test
бичлэг,record
завь,boat
нийтлэг,common
алт,gold
аль болох,possible
нисэх онгоц,plane
Үүний оронд,stead
|хуурай,|,dry
гайхдаг,wonder
инээд,laugh
мянган,thousand
өмнө,ago
гүйж,ran
шалгах,check
тоглоом,game
хэлбэр,shape
тэнцэхгүй,equate
халуун,hot
өнгөрөөх,miss
авчирсан,brought
дулаан,heat
цас,snow
дугуй,tire
авчрах,bring
Хэрэв тийм бол,yes
холын,distant
бөглөх,fill
зүүн,east
будаг,paint
хэл,language
дунд,among
нэгж,unit
эрчим хүч,power
хот,town
нарийн,fine
тодорхой,certain
ялаа,fly
унах,fall
хүргэдэг,lead
хашхирах,cry
харанхуй,dark
машин,machine
тэмдэглэл,note
хүлээх,wait
төлөвлөгөө,plan
зураг,figure
од,star
хайрцаг,box
нэр үг,noun
талбар,field
Бусад нь,rest
зөв,correct
боломжтой,able
фунт,pound
хийгдсэн,done
гоо сайхан,beauty
хөтөч,drive
зогсов,stood
агуулсан,contain
нүүр,front
заах,teach
долоо хоног,week
эцсийн,final
өгсөн,gave
ногоон,green
өө,oh
хурдан,quick
боловсруулах,develop
далай,ocean
дулаан,warm
чөлөөт,free
минут,minute
хүчтэй,strong
тусгай,special
оюун ухаан,mind
ард нь,behind
тодорхой,clear
сүүл,tail
үйлдвэрлэх,produce
нь,fact
орон зай,space
сонслоо,heard
хамгийн сайн,best
цаг,hour
сайн,better
үнэн,true
үед,during
зуун,hundred
таван,five
санаж,remember
алхам,step
эрт,early
барих,hold
баруун тийш,west
газрын,ground
хүү,interest
хүрэх,reach
хурдан,fast
үйл үг,verb
дуулах,sing
сонсох,listen
зургаан,six
хүснэгт,table
аялал жуулчлалын,travel
бага,less
өглөө,morning
арван,ten
энгийн,simple
хэд хэдэн,several
эгшиг,vowel
рүү,toward
дайн,war
тавих,lay
эсрэг,against
хэв маяг,pattern
удаан,slow
төв,center
хайр,love
хүн,person
мөнгө,money
үйлчлэх,serve
гарч ирэх,appear
авто зам,road
газрын зураг,map
бороо,rain
дүрэм,rule
удирдах,govern
татах,pull
хүйтэн,cold
мэдээлэл,notice
дуу хоолой,voice
эрчим хүчний,energy
ан,hunt
магадлалтай,probable
ор,bed
ах дүү,brother
өндөг,egg
явах,ride
эсийн,cell
гэдэгт итгэдэг,believe
магадгүй,perhaps
түүх,pick
гэнэт,sudden
тоо,count
дөрвөлжин,square
шалтгаан нь,reason
урт,length
төлөөлөх,represent
урлаг,art
хичээл,subject
бүс нутаг,region
хэмжээ,size
өөр өөр,vary
барагдуулах,settle
үг хэлэх,speak
жин,weight
ерөнхий,general
мөс,ice
асуудал,matter
тойрог,circle
хос,pair
оруулах,include
хуваагдал,divide
үет,syllable
эсгий,felt
их,grand
бөмбөг,ball
одоогоор,yet
долгионы,wave
унагаах,drop
зүрхний,heart
байна,am
өнөөгийн,present
хүнд,heavy
бүжгийн,dance
хөдөлгүүр,engine
албан тушаал,position
гар,arm
өргөн,wide
онгоцны далбаа,sail
материал,material
хэсэг,fraction
ой,forest
суух,sit
уралдаан,race
цонх,window
дэлгүүр,store
зуны,summer
галт тэрэг,train
унтах,sleep
нотлох,prove
цорын ганц,lone
хөлөө,leg
дасгал,exercise
ханын,wall
барих,catch
холбох,mount
хүсвэл,wish
тэнгэр,sky
ТУЗ-ийн,board
баяр хөөр,joy
өвөл,winter
орохдоо,sat
бичсэн,written
зэрлэг,wild
арга хэрэгсэл,instrument
хадгалах,kept
шилэн,glass
өвс,grass
үнээ,cow
ажил,job
зах,edge
тэмдэг,sign
айлчлал,visit
өнгөрсөн,past
зөөлөн,soft
хөгжилтэй,fun
гэрэл гэгээтэй,bright
хий,gas
цаг агаар,weather
сарын,month
