کے طور پر,as
میں,I
ان,his
کہ,that
وہ,he
تھا,was
کے لئے,for
پر,on
ہیں,are
کے ساتھ,with
وہ,they
ہو,be
میں,at
ایک,one
ہے,have
اس,this
سے,from
کی طرف سے,by
گرم، شہوت انگیز,hot
لفظ,word
لیکن,but
کیا,what
کچھ,some
ہے,is
یہ,it
آپ,you
یا,or
تھا,had
فہرست,the
کے,of
کرنے کے لئے,to
اور,and
ایک,a
میں,in
ہم,we
کر سکتے ہیں,can
باہر,out
دیگر,other
تھے,were
جس,which
کر,do
ان,their
وقت,time
اگر,if
گا,will
کس طرح,how
انہوں نے کہا کہ,said
ایک,an
ہر ایک,each
بتانا,tell
کرتا ہے,does
سیٹ,set
تین,three
چاہتے ہیں,want
ہوا,air
اچھی طرح سے,well
بھی,also
ادا,play
چھوٹے,small
آخر,end
ڈال,put
گھر,home
پڑھیں,read
ہاتھ,hand
پورٹ,port
بڑے,large
جادو,spell
شامل,add
بھی,even
ملک,land
یہاں,here
ضروری,must
بڑا,big
اعلی,high
اس طرح,such
فالو کریں,follow
ایکٹ,act
کیوں,why
پوچھنا,ask
مردوں کے,men
تبدیلی,change
گیا,went
روشنی,light
قسم,kind
بند,off
ضرورت,need
گھر,house
تصویر,picture
کوشش,try
ہم,us
پھر,again
جانور,animal
نقطہ,point
ماں,mother
دنیا,world
قریب,near
تعمیر,build
خود,self
زمین,earth
والد,father
کوئی بھی,any
نئے,new
کام,work
حصہ,part
لے,take
حاصل,get
جگہ,place
بنا,made
رہتے,live
جہاں,where
کے بعد,after
واپس,back
تھوڑا,little
صرف,only
گول,round
آدمی,man
سال,year
آیا,came
شو,show
ہر,every
اچھا,good
مجھے,me
دے,give
ہمارے,our
کے تحت,under
نام,name
بہت,very
کے ذریعے,through
صرف,just
فارم,form
سزا,sentence
عظیم,great
لگتا ہے,think
کا کہنا ہے کہ,say
مدد,help
کم,low
لائن,line
اختلاف,differ
باری,turn
وجہ,cause
زیادہ سے زیادہ,much
مطلب,mean
پہلے,before
اقدام,move
حق,right
لڑکے,boy
پرانے,old
بھی,too
ہی,same
وہ,she
تمام,all
وہاں,there
جب,when
اپ,up
استعمال,use
آپ,your
راستہ,way
کے بارے میں,about
بہت سے,many
پھر,then
ان,them
لکھنا,write
گا,would
کی طرح,like
تو,so
ان,these
اس,her
طویل,long
بنانے,make
بات,thing
دیکھیں,see
اس,him
دو,two
ہے,has
نظر,look
مزید,more
دن,day
کر سکتے ہیں,could
جاؤ,go
آئے,come
کیا,did
تعداد,number
آواز,sound
کوئی,no
سب سے زیادہ,most
لوگ,people
میرا,my
پر,over
جانتے ہیں,know
پانی,water
سے,than
کال,call
پہلے,first
جو,who
ہو سکتا ہے,may
