kao,as
ja,I
njegov,his
da,that
on,he
bio,was
za,for
na,on
su,are
s,with
oni,they
biti,be
na,at
jedan,one
imati,have
ovo,this
iz,from
od strane,by
vruće,hot
riječ,word
ali,but
što,what
Neki,some
je,is
to,it
što,you
ili,or
imala,had
biti,the
od,of
kako bi,to
i,and
kraj,a
u,in
smo,we
može,can
iz,out
drugi,other
bili su,were
koji,which
raditi,do
svoje,their
vrijeme,time
ako,if
hoće,will
kako,how
rekao je,said
pitaj,an
svaki,each
reći,tell
radi,does
skup,set
tri,three
željeti,want
zrak,air
dobro,well
također,also
igrati,play
mali,small
kraj,end
staviti,put
Početna,home
pročitati,read
ruka,hand
luka,port
veliki,large
čarolija,spell
dodajte,add
još,even
zemljište,land
ovdje,here
mora,must
veliki,big
visoka,high
kao što,such
slijediti,follow
čin,act
zašto,why
pitaj,ask
muškarci,men
promjena,change
otišao,went
svjetlo,light
vrsta,kind
isključen,off
potrebno,need
kuća,house
slika,picture
probati,try
nas,us
opet,again
životinja,animal
točka,point
majka,mother
svijet,world
blizu,near
graditi,build
samouprave,self
zemlja,earth
otac,father
bilo koji,any
nova,new
rad,work
dio,part
potrajati,take
dobiti,get
mjesto,place
napravljen,made
živjeti,live
gdje,where
nakon,after
natrag,back
malo,little
samo,only
okrugli,round
čovjek,man
godine,year
došao,came
Show,show
svaka,every
dobro,good
ja,me
daju,give
Naša,our
pod,under
Naziv,name
vrlo,very
kroz,through
upravo,just
obrazac,form
rečenica,sentence
super,great
mislim,think
kažu,say
pomoći,help
niska,low
linija,line
razlikuju,differ
red,turn
uzrok,cause
mnogo,much
znači,mean
prije,before
potez,move
pravo,right
dječak,boy
stari,old
previše,too
isti,same
ona,she
svi,all
postoji,there
kada,when
do,up
koristiti,use
vaš,your
način,way
oko,about
mnogi,many
zatim,then
ih,them
pisati,write
bi,would
kao što,like
tako,so
to,these
ju,her
dug,long
napraviti,make
stvar,thing
vidjeti,see
ga,him
dva,two
ima,has
izgleda,look
više,more
dan,day
mogla,could
ići,go
dolaze,come
učinio,did
broj,number
zvuk,sound
ne,no
većina,most
ljudi,people
Moj,my
više,over
znam,know
voda,water
od,than
poziv,call
prvi,first
koji,who
svibanj,may
prema dolje,down
strana,side
bio,been
sada,now
naći,find
glava,head
stajati,stand
vlastita,own
stranica,page
trebale,should
zemlja,country
nađen,found
odgovor,answer
škola,school
rasti,grow
studija,study
još uvijek,still
učiti,learn
biljka,plant
poklopac,cover
hrana,food
sunce,sun
četiri,four
između,between
stanje,state
zadržati,keep
očiju,eye
nikad,never
posljednji,last
pustiti,let
mislio,thought
grad,city
stablo,tree
križ,cross
farma,farm
teško,hard
početak,start
možda,might
priča,story
pila,saw
daleko,far
more,sea
crtanje,draw
napustio,left
kasno,late
Run,run
nemoj,don’t
a,while
pritisnite,press
u blizini,close
noć,night
real,real
život,life
nekoliko,few
sjeverno,north
knjiga,book
nose,carry
uzeo,took
znanost,science
jesti,eat
soba,room
prijatelj,friend
počelo,began
ideja,idea
riba,fish
planina,mountain
zaustaviti,stop
jednom,once
baza,base
čuju,hear
konj,horse
rez,cut
sigurni,sure
gledati,watch
boja,color
lice,face
drva,wood
glavni,main
otvoren,open
čini se,seem
zajedno,together
sljedeći,next
bijela,white
Djeca,children
početak,begin
dobio,got
hodati,walk
primjer,example
ublažavanje,ease
papir,paper
skupina,group
uvijek,always
Glazba,music
onima,those
oboje,both
Mark,mark
često,often
pismo,letter
do,until
milja,mile
rijeka,river
automobil,car
noge,feet
briga,care
drugi,second
dovoljno,enough
obični,plain
djevojka,girl
uobičajena,usual
mladi,young
spremni,ready
iznad,above
ikad,ever
crvena,red
popis,list
iako,though
osjećati,feel
Razgovor,talk
ptica,bird
uskoro,soon
tijelo,body
pas,dog
obitelj,family
neposredan,direct
poza,pose
ostavite,leave
pjesma,song
mjeri,measure
vrata,door
proizvod,product
crn,black
Ukratko,short
cifra,numeral
klasa,class
vjetar,wind
pitanje,question
dogoditi se,happen
potpun,complete
brod,ship
područje,area
pola,half
stijena,rock
poredak,order
vatra,fire
jug,south
problem,problem
komad,piece
Rekao,told
znao,knew
proći,pass
budući,since
Vrh,top
cijeli,whole
kralj,king
ulica,street
palac,inch
množite,multiply
ništa,nothing
tečaj,course
ostati,stay
kotača,wheel
puna,full
sila,force
plava,blue
objekt,object
odlučite,decide
površina,surface
duboko,deep
mjesec,moon
otok,island
stopala,foot
sistem,system
zauzet,busy
Test,test
rekord,record
brod,boat
zajednički,common
zlato,gold
moguće,possible
avion,plane
Stead,stead
suhi,dry
Pitam,wonder
smijati,laugh
tisuća,thousand
prije,ago
ran,ran
provjeriti,check
