jak,as
I,I
jego,his
że,that
on,he
było,was
dla,for
na,on
są,are
zespół,with
oni,they
być,be
w,at
jeden,one
mieć,have
tego,this
z,from
przez,by
gorący,hot
słowo,word
ale,but
co,what
niektóre,some
jest,is
to,it
ty,you
lub,or
miał,had
kilka,the
stopa,of
do,to
i,and
ciągnąć,a
w,in
my,we
puszka,can
na zewnątrz,out
inne,other
były,were
który,which
zrobić,do
ich,their
czas,time
jeśli,if
będzie,will
jak,how
powiedział,said
próba,an
każda,each
powiedzieć,tell
nie,does
zestaw,set
trzy,three
chcą,want
powietrze,air
dobrze,well
również,also
grać,play
mały,small
koniec,end
wkładać,put
Strona główna,home
czytaj,read
ręka,hand
port,port
duży,large
zaklęcie,spell
dodać,add
nawet,even
ziemia,land
tutaj,here
musi,must
duży,big
wysoki,high
takie,such
śledzić,follow
akt,act
dlaczego,why
zapytaj,ask
mężczyźni,men
zmiana,change
poszedł,went
światła,light
rodzaj,kind
z,off
potrzeba,need
dom,house
obraz,picture
spróbuj,try
nas,us
ponownie,again
zwierząt,animal
punkt,point
matka,mother
świat,world
blisko,near
budować,build
własny,self
ziemia,earth
ojciec,father
dowolny,any
nowy,new
praca,work
część,part
wziąć,take
dostać,get
miejsce,place
wykonane,made
żyć,live
gdzie,where
później,after
z powrotem,back
mało,little
tylko,only
okrągły,round
mężczyzna,man
rok,year
spokojnie,came
pokaż,show
każdy,every
dobry,good
mnie,me
dać,give
nasze,our
pod,under
Nazwa,name
bardzo,very
przez,through
tylko,just
formularz,form
zdanie,sentence
wielki,great
myśleć,think
powiedzieć,say
pomoc,help
niski,low
linia,line
różnią,differ
kolej,turn
przyczyna,cause
wiele,much
oznaczać,mean
przed,before
ruch,move
prawo,right
chłopiec,boy
stary,old
zbyt,too
sam,same
ona,she
wszystko,all
tam,there
kiedy,when
w górę,up
zastosowanie,use
Twój,your
sposób,way
o,about
wiele,many
następnie,then
im,them
pisać,write
byłoby,would
jak,like
tak,so
te,these
ją,her
długo,long
zrobić,make
rzecz,thing
zobaczyć,see
mu,him
dwa,two
ma,has
szukać,look
więcej,more
dzień,day
może,could
iść,go
przyjść,come
nie,did
liczba,number
brzmieć,sound
nie,no
najbardziej,most
ludzie,people
My,my
ponad,over
wiem,know
woda,water
niż,than
wezwanie,call
pierwszy,first
kto,who
może,may
w dół,down
bok,side
było,been
teraz,now
odnaleźć,find
głowa,head
stać,stand
własna,own
strona,page
powinna,should
kraj,country
znaleziono,found
odpowiedź,answer
szkoła,school
rosnąć,grow
badanie,study
jeszcze,still
uczyć się,learn
roślin,plant
okładka,cover
jedzenie,food
słońce,sun
cztery,four
między,between
stan,state
zachować,keep
oko,eye
nigdy,never
ostatnia,last
niech,let
myśli,thought
miasto,city
drzewo,tree
krzyż,cross
gospodarstwo,farm
trudne,hard
początek,start
moc,might
historia,story
piła,saw
daleko,far
morze,sea
rysować,draw
w lewo,left
późno,late
Run,run
nie,don’t
podczas,while
naciśnij,press
blisko,close
noc,night
prawdziwy,real
życie,life
kilka,few
północ,north
książka,book
nieść,carry
wziął,took
nauka,science
jeść,eat
pokój,room
przyjaciel,friend
rozpoczął,began
pomysł,idea
ryb,fish
góra,mountain
zatrzymać,stop
raz,once
podstawa,base
słyszeć,hear
koń,horse
cięcie,cut
pewny,sure
oglądać,watch
kolor,color
twarz,face
drewna,wood
głównym,main
otwarte,open
wydają,seem
razem,together
następna,next
biały,white
dzieci,children
zacząć,begin
got,got
chodzić,walk
przykład,example
łatwość,ease
papier,paper
grupa,group
zawsze,always
muzyka,music
osób,those
zarówno,both
znak,mark
często,often
list,letter
do,until
km,mile
rzeka,river
samochód,car
stopy,feet
opieka,care
drugi,second
wystarczy,enough
zwykły,plain
dziewczyna,girl
zwykły,usual
młody,young
gotowe,ready
powyżej,above
kiedykolwiek,ever
czerwony,red
lista,list
chociaż,though
czuć,feel
dyskusja,talk
ptaka,bird
wkrótce,soon
ciało,body
pies,dog
rodzina,family
bezpośrednie,direct
stanowią,pose
zostawić,leave
piosenka,song
pomiaru,measure
drzwi,door
Produkt,product
czarny,black
krótki,short
liczebnik,numeral
Klasa,class
wiatr,wind
pytanie,question
stanie,happen
pełna,complete
statek,ship
obszar,area
połowa,half
skalny,rock
zamówienie,order
ogień,fire
południe,south
problem,problem
sztuk,piece
powiedział,told
wiedział,knew
przekazać,pass
od,since
góry,top
cały,whole
król,king
ulica,street
cal,inch
mnożenie,multiply
nic,nothing
Oczywiście,course
pobyt,stay
koło,wheel
pełna,full
siła,force
niebieski,blue
obiekt,object
zdecydować,decide
powierzchnia,surface
głęboko,deep
księżyc,moon
wyspa,island
stopa,foot
System,system
zajęty,busy
próba,test
rekord,record
łódź,boat
wspólny,common
złota,gold
możliwe,possible
samolot,plane
siona,stead
suche,dry
"zastanawiam się,",wonder
śmiech,laugh
tysiąc,thousand
temu,ago
Ran,ran
sprawdź,check
gra,game
kształt,shape
zrównać,equate
gorący,hot
panna,miss
wniesiona,brought
ciepło,heat
śnieg,snow
opon,tire
przynieść,bring
tak,yes
odległy,distant
napełniać,fill
wschód,east
malować,paint
język,language
między,among
jednostka,unit
moc,power
miasto,town
dobrze,fine
pewny,certain
latać,fly
spadek,fall
prowadzić,lead
krzyk,cry
ciemny,dark
maszyna,machine
uwaga,note
czekać,wait
planie,plan
rysunek,figure
gwiazda,star
Skrzynka,box
rzeczownik,noun
pole,field
reszta,rest
poprawny,correct
zdolny,able
funt,pound
gotowe,done
urody,beauty
napęd,drive
stał,stood
zawierają,contain
z przodu,front
uczyć,teach
tydzień,week
ostateczna,final
dał,gave
zielony,green
oh,oh
szybki,quick
rozwijać,develop
ocean,ocean
ciepły,warm
za darmo,free
minut,minute
silny,strong
Specjalne,special
umysł,mind
za,behind
jasne,clear
ogon,tail
produkować,produce
fakt,fact
przestrzeń,space
słyszałem,heard
najlepszy,best
godzina,hour
lepiej,better
prawdziwy,true
podczas,during
sto,hundred
pięć,five
pamiętaj,remember
krok,step
wcześnie,early
przytrzymaj,hold
zachód,west
ziemia,ground
odsetki,interest
dotrzeć,reach
szybko,fast
czasownik,verb
śpiewać,sing
słuchać,listen
sześć,six
stół,table
podróży,travel
mniej,less
rano,morning
dziesięć,ten
proste,simple
kilka,several
samogłoska,vowel
kierunku,toward
wojna,war
świeckich,lay
przed,against
wzór,pattern
powolny,slow
centrum,center
miłość,love
osoba,person
pieniądze,money
służyć,serve
pojawiają się,appear
drogowego,road
Mapa,map
deszcz,rain
reguła,rule
rządzić,govern
ciągnąć,pull
zimno,cold
ogłoszenie,notice
głos,voice
energii,energy
polowanie,hunt
prawdopodobne,probable
łóżko,bed
brat,brother
jajko,egg
jazda,ride
komórek,cell
wierzyć,believe
być może,perhaps
wybrać,pick
nagły,sudden
liczyć,count
plac,square
powodem,reason
długość,length
stanowią,represent
sztuka,art
Temat,subject
Region,region
rozmiar,size
różnią,vary
osiedlenie,settle
mówić,speak
waga,weight
ogólnie,general
lód,ice
"względu na to,",matter
krąg,circle
para,pair
zawierać,include
podzielić,divide
sylaby,syllable
filc,felt
wielki,grand
piłka,ball
jeszcze,yet
fala,wave
upuścić,drop
serce,heart
am,am
Niniejszy,present
ciężki,heavy
taniec,dance
silnik,engine
stanowisko,position
ramię,arm
szeroki,wide
żagiel,sail
materiał,material
frakcja,fraction
las,forest
siedzieć,sit
wyścig,race
okno,window
sklep,store
lato,summer
pociąg,train
sen,sleep
dowieść,prove
samotny,lone
mecz,leg
ćwiczenie,exercise
ściana,wall
catch,catch
mocowanie,mount
chcieć,wish
niebo,sky
wyżywienie,board
radość,joy
zima,winter
nasyconym,sat
napisane,written
dziki,wild
instrument,instrument
utrzymane,kept
szkła,glass
trawka,grass
krowa,cow
praca,job
krawędź,edge
znak,sign
wizyta,visit
przeszłość,past
miękkie,soft
zabawy,fun
jasny,bright
gaz,gas
