เป็น,as
ฉัน,I
ของเขา,his
ว่า,that
เขา,he
เป็น,was
สำหรับ,for
บน,on
มี,are
ด้วย,with
พวกเขา,they
จะเป็น,be
ที่,at
หนึ่ง,one
มี,have
นี้,this
จาก,from
โดย,by
ร้อน,hot
คำ,word
แต่,but
สิ่งที่,what
บาง,some
เป็น,is
มัน,it
คุณ,you
หรือ,or
มี,had
ได้,the
ของ,of
ที่จะ,to
และ,and
กรอก,a
ใน,in
เรา,we
สามารถ,can
ออก,out
อื่น ๆ,other
เป็น,were
ซึ่ง,which
ทำ,do
ของพวกเขา,their
เวลา,time
ถ้า,if
จะ,will
วิธี,how
กล่าวว่า,said
บิน,an
แต่ละ,each
บอก,tell
ไม่,does
ชุด,set
สาม,three
ต้องการ,want
อากาศ,air
ดี,well
ด้วย,also
เล่น,play
ขนาดเล็ก,small
ปลาย,end
ใส่,put
บ้าน,home
อ่าน,read
มือ,hand
พอร์ต,port
ที่มีขนาดใหญ่,large
สะกด,spell
เพิ่ม,add
แม้กระทั่ง,even
ที่ดิน,land
ที่นี่,here
ต้อง,must
ใหญ่,big
สูง,high
เช่น,such
ทำตาม,follow
การกระทำ,act
เหตุผลที่,why
ขอให้,ask
ผู้ชาย,men
การเปลี่ยนแปลง,change
ไป,went
แสง,light
ชนิด,kind
ออก,off
ต้อง,need
บ้าน,house
ภาพ,picture
พยายาม,try
เรา,us
อีกครั้ง,again
สัตว์,animal
จุด,point
แม่,mother
โลก,world
อยู่ใกล้,near
สร้าง,build
ตนเอง,self
โลก,earth
พ่อของ,father
ใด ๆ,any
ใหม่,new
การทำงาน,work
ส่วนหนึ่ง,part
ใช้เวลา,take
ได้รับ,get
สถานที่ที่,place
ทำ,made
มีชีวิต,live
ที่,where
หลังจากที่,after
กลับ,back
เล็ก ๆ น้อย ๆ,little
เท่านั้น,only
รอบ,round
คน,man
ปี,year
มา,came
แสดง,show
ทุก,every
ดี,good
ฉัน,me
ให้,give
ของเรา,our
ภายใต้,under
ชื่อ,name
มาก,very
ตลอด,through
เพียงแค่,just
รูปแบบ,form
ประโยค,sentence
ที่ดี,great
คิดว่า,think
พูด,say
ช่วย,help
ต่ำ,low
สาย,line
แตกต่าง,differ
เลี้ยว,turn
สาเหตุ,cause
มาก,much
หมายความ,mean
ก่อนที่จะ,before
ย้าย,move
ขวา,right
เด็กชาย,boy
เก่า,old
เกินไป,too
เดียวกัน,same
เธอ,she
ทั้งหมด,all
มี,there
เมื่อ,when
ขึ้น,up
การใช้งาน,use
ของคุณ,your
ทาง,way
เกี่ยวกับ,about
หลาย,many
แล้วก็,then
พวกเขา,them
เขียน,write
จะ,would
เช่น,like
ดังนั้น,so
เหล่านี้,these
เธอ,her
ยาว,long
ทำให้,make
สิ่งที่,thing
เห็น,see
เขา,him
สอง,two
มี,has
ดู,look
ขึ้น,more
วัน,day
สามารถทำได้,could
ไป,go
มา,come
ได้,did
จำนวน,number
เสียง,sound
ไม่มี,no
มากที่สุด,most
คน,people
ของฉัน,my
กว่า,over
ทราบ,know
น้ำ,water
กว่า,than
โทร,call
เป็นครั้งแรก,first
ที่,who
อาจ,may
ลง,down
ด้าน,side
รับ,been
ตอนนี้,now
หา,find
หัว,head
ยืน,stand
ของตัวเอง,own
หน้า,page
ควร,should
ประเทศ,country
พบ,found
คำตอบ,answer
โรงเรียน,school
เติบโต,grow
การศึกษา,study
ยังคง,still
เรียน,learn
พืช,plant
ปก,cover
อาหาร,food
ดวงอาทิตย์,sun
สี่,four
ระหว่าง,between
รัฐ,state
เก็บ,keep
ตา,eye
ไม่เคย,never
สุดท้าย,last
ให้,let
คิดว่า,thought
เมือง,city
ต้นไม้,tree
ข้าม,cross
ฟาร์ม,farm
อย่างหนัก,hard
เริ่มต้นที่,start
อาจ,might
เรื่องราว,story
เลื่อย,saw
ห่างไกล,far
ทะเล,sea
วาด,draw
ด้านซ้าย,left
ช่วงปลายเดือน,late
การทำงาน,run
ทำไม่ได้,don’t
ในขณะที่,while
กด,press
ใกล้,close
คืน,night
จริง,real
ชีวิต,life
น้อย,few
เหนือ,north
หนังสือ,book
พกพา,carry
เอา,took
วิทยาศาสตร์,science
กิน,eat
ห้อง,room
เพื่อน,friend
เริ่ม,began
ความคิดที่,idea
ปลา,fish
