như,as
tôi,I
mình,his
mà,that
ông,he
là,was
cho,for
trên,on
là,are
với,with
họ,they
được,be
tại,at
một,one
có,have
này,this
từ,from
bởi,by
nóng,hot
từ,word
nhưng,but
những gì,what
một số,some
là,is
nó,it
anh,you
hoặc,or
có,had
các,the
của,of
để,to
và,and
một,a
trong,in
chúng tôi,we
có thể,can
ra,out
khác,other
là,were
mà,which
làm,do
của họ,their
thời gian,time
nếu,if
sẽ,will
như thế nào,how
nói,said
một,an
môi,each
nói,tell
không,does
bộ,set
ba,three
muốn,want
không khí,air
cũng,well
cũng,also
chơi,play
nhỏ,small
cuối,end
đặt,put
nhà,home
đọc,read
tay,hand
cổng,port
lớn,large
chính tả,spell
thêm,add
thậm chí,even
đất,land
ở đây,here
phải,must
lớn,big
cao,high
như vậy,such
theo,follow
hành động,act
lý do tại sao,why
xin,ask
người đàn ông,men
thay đổi,change
đi,went
ánh sáng,light
loại,kind
tắt,off
cần,need
nhà,house
hình ảnh,picture
thử,try
chúng tôi,us
một lần nữa,again
động vật,animal
điểm,point
mẹ,mother
thế giới,world
gần,near
xây dựng,build
tự,self
đất,earth
cha,father
bất kỳ,any
mới,new
công việc,work
một phần,part
có,take
được,get
nơi,place
thực hiện,made
sống,live
nơi,where
sau khi,after
trở lại,back
ít,little
chỉ,only
chung quanh,round
người đàn ông,man
năm,year
đến,came
chương trình,show
mỗi,every
tốt,good
tôi,me
cung cấp cho,give
của chúng tôi,our
dưới,under
tên,name
rất,very
thông qua,through
chỉ,just
hình thức,form
câu,sentence
tuyệt vời,great
nghi,think
nói,say
giúp,help
thấp,low
dòng,line
khác nhau,differ
lần lượt,turn
nguyên nhân,cause
nhiều,much
có nghĩa là,mean
trước,before
di chuyển,move
ngay,right
cậu bé,boy
cũ,old
quá,too
như nhau,same
cô,she
tất cả,all
có,there
khi,when
lên,up
sử dụng,use
của bạn,your
cách,way
về,about
nhiều,many
sau đó,then
họ,them
viết,write
sẽ,would
như,like
để,so
các,these
cô,her
lâu,long
làm,make
điều,thing
thấy,see
anh,him
hai,two
có,has
xem,look
hơn,more
ngày,day
có thể,could
đi,go
đến,come
đã làm,did
số,number
âm thanh,sound
không có,no
nhất,most
nhân dân,people
của tôi,my
hơn,over
biết,know
nước,water
hơn,than
gọi,call
đầu tiên,first
người,who
có thể,may
xuống,down
bên,side
được,been
bây giờ,now
tìm,find
đầu,head
đứng,stand
riêng,own
trang,page
nên,should
nước,country
tìm thấy,found
câu trả lời,answer
trường,school
phát triển,grow
nghiên cứu,study
vẫn,still
học,learn
nhà máy,plant
bìa,cover
thực phẩm,food
ánh nắng mặt trời,sun
bốn,four
giữa,between
nhà nước,state
giữ,keep
mắt,eye
không bao giờ,never
cuối cùng,last
cho phép,let
nghĩ,thought
thành phố,city
cây,tree
qua,cross
trang trại,farm
cứng,hard
bắt đầu,start
might,might
câu chuyện,story
cưa,saw
đến nay,far
biển,sea
vẽ,draw
còn lại,left
cuối,late
chạy,run
không,don’t
trong khi,while
báo chí,press
gần,close
đêm,night
thực,real
cuộc sống,life
số,few
phía bắc,north
cuốn sách,book
thực hiện,carry
mất,took
khoa học,science
ăn,eat
phòng,room
người bạn,friend
bắt đầu,began
ý tưởng,idea
cá,fish
núi,mountain
ngăn chặn,stop
một lần,once
cơ sở,base
nghe,hear
ngựa,horse
cắt,cut
chắc chắn,sure
xem,watch
màu,color
khuôn mặt,face
gỗ,wood
chính,main
mở,open
dường như,seem
cùng,together
tiếp theo,next
trắng,white
trẻ em,children
bắt đầu,begin
có,got
đi bộ,walk
Ví dụ,example
giảm bớt,ease
giấy,paper
nhóm,group
luôn luôn,always
nhạc,music
những,those
cả hai,both
đánh dấu,mark
thường,often
thư,letter
cho đến khi,until
dặm,mile
sông,river
xe,car
chân,feet
chăm sóc,care
thứ hai,second
đủ,enough
đồng bằng,plain
cô gái,girl
thông thường,usual
trẻ,young
sẵn sàng,ready
trên đây,above
bao giờ,ever
màu đỏ,red
danh sách,list
mặc dù,though
cảm thấy,feel
nói chuyện,talk
chim,bird
sớm,soon
cơ thể,body
con chó,dog
gia đình,family
trực tiếp,direct
đặt ra,pose
lại,leave
bài hát,song
đo lường,measure
cửa,door
sản phẩm,product
đen,black
ngắn,short
chữ số,numeral
lớp,class
gió,wind
câu hỏi,question
xảy ra,happen
hoàn thành,complete
tàu,ship
khu vực,area
một nửa,half
đá,rock
để,order
lửa,fire
nam,south
vấn đề,problem
mảnh,piece
nói,told
biết,knew
vượt qua,pass
từ,since
đầu,top
toàn bộ,whole
vua,king
đường phố,street
inch,inch
nhân,multiply
không có gì,nothing
Tất nhiên,course
ở lại,stay
bánh xe,wheel
đầy đủ,full
lực,force
màu xanh,blue
đối tượng,object
quyết định,decide
bề mặt,surface
sâu,deep
mặt trăng,moon
đảo,island
chân,foot
hệ thống,system
bận rộn,busy
kiểm tra,test
ghi,record
thuyền,boat
phổ biến,common
vàng,gold
có thể,possible
máy bay,plane
thay,stead
khô,dry
tự hỏi,wonder
cười,laugh
ngàn,thousand
trước,ago
ran,ran
kiểm tra,check
trò chơi,game
hình dạng,shape
đánh đồng,equate
nóng,hot
bỏ lỡ,miss
mang,brought
nhiệt,heat
tuyết,snow
lốp xe,tire
mang lại,bring
vâng,yes
xa,distant
điền,fill
đông,east
sơn,paint
ngôn ngữ,language
trong,among
đơn vị,unit
điện,power
thị trấn,town
tốt,fine
nhất định,certain
bay,fly
giảm,fall
dẫn,lead
kêu,cry
tối,dark
máy,machine
ghi,note
đợi,wait
kế hoạch,plan
con số,figure
sao,star
hộp,box
danh từ,noun
lĩnh vực,field
phần còn lại,rest
chính xác,correct
thể,able
bảng,pound
Xong,done
vẻ đẹp,beauty
ổ đĩa,drive
đứng,stood
chứa,contain
trước,front
dạy,teach
tuần,week
thức,final
đã,gave
màu xanh lá cây,green
oh,oh
nhanh chóng,quick
phát triển,develop
đại dương,ocean
ấm áp,warm
miễn phí,free
phút,minute
mạnh mẽ,strong
đặc biệt,special
tâm,mind
sau,behind
trong,clear
đuôi,tail
sản xuất,produce
thực tế,fact
không gian,space
nghe,heard
tốt nhất,best
giờ,hour
tốt hơn,better
đúng,true
trong khi,during
trăm,hundred
năm,five
nhớ,remember
bước,step
đầu,early
giư,hold
tây,west
mặt đất,ground
quan tâm,interest
đạt,reach
nhanh chóng,fast
động từ,verb
hát,sing
lắng nghe,listen
sáu,six
bảng,table
du lịch,travel
ít,less
buổi sáng,morning
mười,ten
đơn giản,simple
nhiều,several
nguyên âm,vowel
hướng,toward
chiến tranh,war
đặt,lay
chống lại,against
mô hình,pattern
chậm,slow
trung tâm,center
tình yêu,love
người,person
tiền,money
phục vụ,serve
xuất hiện,appear
đường,road
Bản đồ,map
mưa,rain
quy tắc,rule
phối,govern
kéo,pull
lạnh,cold
thông báo,notice
giọng nói,voice
năng lượng,energy
săn,hunt
có thể xảy ra,probable
giường,bed
anh trai,brother
trứng,egg
đi xe,ride
pin,cell
tin,believe
có lẽ,perhaps
chọn,pick
đột ngột,sudden
tính,count
vuông,square
lý do,reason
chiều dài,length
đại diện,represent
nghệ thuật,art
Tiêu đề,subject
khu,region
kích thước,size
khác nhau,vary
giải quyết,settle
nói,speak
trọng lượng,weight
chung,general
băng,ice
