as,as
ja,I
jeho,his
že,that
sa,he
bol,was
pre,for
na,on
sú,are
s,with
sa,they
byť,be
na,at
jeden,one
majú,have
tento,this
od,from
od,by
hot,hot
slovo,word
ale,but
čo,what
niektorí,some
je,is
to,it
ste,you
alebo,or
mal,had
biela,the
z,of
na,to
a,and
cesta,a
v,in
sme,we
moci,can
out,out
ďalšie,other
boli,were
ktorý,which
robiť,do
ich,their
čas,time
ak,if
vôľa,will
ako,how
uvedený,said
píla,an
každý,each
povedať,tell
robí,does
sada,set
tri,three
chcieť,want
vzduch,air
dobre,well
tiež,also
hrať,play
malé,small
koniec,end
dať,put
domáce,home
čítať,read
ručné,hand
prístav,port
veľký,large
kúzlo,spell
pridať,add
dokonca,even
krajiny,land
tu,here
musí,must
veľký,big
vysoká,high
taký,such
nasledovať,follow
akt,act
prečo,why
opýtať sa,ask
muži,men
zmena,change
šiel,went
svetlo,light
druh,kind
oľvek,off
potrebujú,need
dom,house
obrázok,picture
skúste,try
us,us
znova,again
zviera,animal
bod,point
matka,mother
svet,world
blízkosti,near
stavať,build
ja,self
krajiny,earth
otec,father
akýkoľvek,any
nový,new
práca,work
časť,part
sa,take
so,get
miesto,place
z,made
žiť,live
kde,where
po,after
späť,back
málo,little
iba,only
kolo,round
muž,man
rok,year
prišiel,came
výstava,show
každý,every
dobrý,good
ma,me
dať,give
naše,our
pod,under
Názov,name
veľmi,very
cez,through
len,just
forma,form
veta,sentence
veľký,great
myslíte,think
hovoria,say
pomoc,help
nízky,low
linka,line
sa líšia,differ
turn,turn
príčina,cause
veľa,much
stredná,mean
pred,before
voria,move
právo,right
chlapec,boy
starý,old
príliš,too
rovnaký,same
ona,she
všetky,all
tu,there
kedy,when
up,up
použitie,use
vaše,your
cesta,way
o,about
veľa,many
potom,then
je,them
napísať,write
by,would
ako,like
tak,so
tieto,these
nej,her
dlho,long
aby,make
vec,thing
viď,see
ho,him
dva,two
má,has
hľadať,look
viac,more
deň,day
mohol,could
ísť,go
prísť,come
áno,did
číslo,number
zvuk,sound
nie,no
najviac,most
ľudia,people
my,my
cez,over
vedieť,know
voda,water
ako,than
volanie,call
prvý,first
kto,who
mája,may
dole,down
strana,side
bol,been
teraz,now
nájsť,find
hlava,head
stáť,stand
vlastné,own
strana,page
by,should
krajiny,country
nájdených,found
odpoveď,answer
škola,school
rast,grow
štúdie,study
stále,still
učiť sa,learn
závod,plant
kryt,cover
jedlo,food
slnko,sun
štyri,four
medzi,between
