ដូចជា,as
ខ្ញុំ,I
របស់គាត់,his
ថា,that
លោកបាន,he
គឺ,was
សម្រាប់,for
នៅលើ,on
មាន,are
ជាមួយនឹង,with
ពួកគេ,they
ជាការ,be
នៅ,at
មួយ,one
មាន,have
នេះ,this
ពី,from
ដោយ,by
ក្តៅ,hot
ពាក្យ,word
ប៉ុន្តែការ,but
អ្វីដែល,what
មួយចំនួន,some
គឺ,is
វា,it
អ្នក,you
ឬ,or
មាន,had
នេះ,the
នៃ,of
ដើម្បី,to
និង,and
មួយ,a
នៅក្នុង,in
យើង,we
អាច,can
ចេញ,out
ផ្សេងទៀត,other
នាក់,were
ដែល,which
ធ្វើបាន,do
របស់ពួកគេ,their
ពេលវេលា,time
ប្រសិនបើ,if
នឹង,will
របៀប,how
និយាយថា:,said
មួយ,an
គ្នា,each
ប្រាប់,tell
មិន,does
សំណុំ,set
បីនាក់,three
ចង់បាន,want
ខ្យល់,air
ល្អ,well
ក៏,also
លេង,play
តូច,small
ចុងបញ្ចប់,end
ដាក់,put
ផ្ទះ,home
អាន,read
ដៃ,hand
កំពង់ផែ,port
ដែលមានទំហំធំ,large
អក្ខរាវិរុទ្ធ,spell
បន្ថែម,add
សូម្បីតែ,even
ដី,land
នៅទីនេះ,here
ត្រូវ,must
ធំ,big
ខ្ពស់,high
ដូច,such
តាម,follow
សកម្មភាព,act
ហេតុអ្វីបានជា,why
សួរ,ask
បុរស,men
ការផ្លាស់ប្តូរ,change
បានទៅ,went
ពន្លឺ,light
ប្រភេទ,kind
បិទ,off
ត្រូវការ,need
ផ្ទះ,house
រូបភាព,picture
ព្យាយាម,try
ពួកយើង,us
ជាថ្មីម្តងទៀត,again
សត្វ,animal
ចំណុច,point
ម្តាយ,mother
ពិភពលោក,world
នៅក្បែរ,near
កសាង,build
ដោយខ្លួនឯង,self
ផែនដី,earth
ឪពុក,father
ណាមួយឡើយ,any
ថ្មី,new
ការងារធ្វើ,work
ជាផ្នែកមួយ,part
យក,take
ទទួលបាន,get
កន្លែង,place
បានធ្វើ,made
រស់នៅ,live
ដែលជាកន្លែងដែល,where
បន្ទាប់ពី,after
ត្រឡប់មកវិញ,back
តិចតួច,little
តែមួយគត់,only
ជុំ,round
បុរសម្នាក់,man
កាលពីឆ្នាំ,year
បានមក,came
ការបង្ហាញ,show
ជារៀងរាល់,every
ល្អ,good
រូបខ្ញុំ,me
ផ្តល់ឱ្យ,give
របស់យើង,our
ក្រោមការ,under
ឈ្មោះ,name
យ៉ាងខ្លាំង,very
តាមរយៈការ,through
គ្រាន់តែ,just
សំណុំបែបបទ,form
ការកាត់ទោស,sentence
ដ៏អស្ចារ្យ,great
គិត,think
និយាយ,say
ជួយ,help
ទាប,low
បន្ទាត់,line
ខុសគ្នា,differ
វេន,turn
មូលហេតុ,cause
ច្រើន,much
មានន័យថា,mean
មុនពេល,before
ការផ្លាស់ប្តូរ,move
សិទ្ធិ,right
ក្មេងប្រុសម្នាក់,boy
អាយុ,old
ផងដែរ,too
ដូចគ្នា,same
នាងបាន,she
ទាំងអស់,all
នៅទីនោះ,there
ពេល,when
ឡើង,up
ប្រើ,use
របស់អ្នក,your
វិធី,way
អំពី,about
ជាច្រើន,many
បន្ទាប់មក,then
ពួកគេ,them
សរសេរ,write
នឹង,would
ដូចជា,like
ដូច្នេះ,so
ទាំងនេះ,these
របស់នាង,her
ជាយូរមកហើយ,long
ធ្វើឱ្យ,make
រឿង,thing
សូមមើល,see
គាត់ថា,him
ពីរនាក់,two
មាន,has
មើល,look
ច្រើនទៀត,more
ថ្ងៃ,day
អាចធ្វើបាន,could
ចូលទៅ,go
មក,come
ធ្វើ,did
ចំនួន,number
សំឡេង,sound
គ្មាន,no
ច្រើនបំផុត,most
មានមនុស្ស,people
របស់ខ្ញុំ,my
ជាង,over
ដឹង,know
ទឹក,water
ជាង,than
ការហៅ,call
ជាលើកដំបូង,first
ដែល,who
អាច,may
ចុះ,down
ភាគីម្ខាង,side
បាន,been
ឥឡូវនេះ,now
ស្វែងរក,find
ក្បាល,head
ឈរ,stand
ផ្ទាល់ខ្លួន,own
ទំព័រ,page
គួរ,should
ប្រទេស,country
បានរកឃើញ,found
ចម្លើយ,answer
សាលារៀន,school
ការកើនឡើង,grow
ការសិក្សា,study
នៅតែមាន,still
រៀន,learn
រោងចក្រ,plant
គម្រប,cover
អាហារ,food
ព្រះអាទិត្យ,sun
បួននាក់,four
រវាង,between
រដ្ឋ,state
រក្សា,keep
ភ្នែក,eye
មិនដែល,never
ចុងក្រោយ,last
អនុញ្ញាតឱ្យ,let
គិតថា,thought
ទីក្រុង,city
ដើម,tree
ឆ្លងកាត់,cross
កសិដ្ឋាន,farm
ការលំបាក,hard
ការចាប់ផ្តើម,start
អាច,might
រឿង,story
ឃើញ,saw
ឆ្ងាយ,far
សមុទ្រ,sea
គូរ,draw
ចាកចេញ,left
ចុង,late
ការរត់,run
