म्हणून,as
मी,I
त्याच्या,his
त्या,that
तो,he
होते,was
साठी,for
वर,on
आहेत,are
सह,with
ते,they
असू,be
येथे,at
एक,one
आहे,have
या,this
पासून,from
द्वारे,by
गरम,hot
शब्द,word
परंतु,but
काय,what
काही,some
आहे,is
तो,it
आपण,you
किंवा,or
होते,had
अगोदर निर्देश,the
च्या,of
ते,to
आणि,and
एक,a
मध्ये,in
आम्ही,we
हे करू शकता,can
बाहेर,out
इतर,other
होते,were
जे,which
करू,do
त्यांच्या,their
वेळ,time
तर,if
खाईन,will
कसे,how
म्हणाला,said
एक,an
प्रत्येक,each
सांगा,tell
नाही,does
संच,set
तीन,three
इच्छित,want
हवा,air
तसेच,well
देखील,also
प्ले,play
लहान,small
शेवट,end
ठेवले,put
मुख्य पान,home
वाचा,read
हात,hand
पोर्ट,port
मोठ्या,large
शब्दलेखन,spell
जोडा,add
अगदी,even
जमीन,land
येथे,here
पाहिजे,must
मोठा,big
उच्च,high
अशा,such
अनुसरण,follow
कायदा,act
का,why
विचारू,ask
पुरुष,men
बदल,change
गेला,went
प्रकाश,light
प्रकारची,kind
बंद,off
गरज,need
घर,house
चित्र,picture
प्रयत्न,try
आम्हाला,us
पुन्हा,again
प्राणी,animal
बिंदू,point
आई,mother
जग,world
जवळ,near
तयार,build
स्वत:,self
पृथ्वी,earth
वडील,father
कोणत्याही,any
नवीन,new
काम,work
भाग,part
घ्या,take
मिळवा,get
स्थान,place
केले,made
राहतात,live
जेथे,where
नंतर,after
परत,back
थोडे,little
केवळ,only
गोल,round
मनुष्य,man
वर्ष,year
आले,came
शो,show
प्रत्येक,every
चांगले,good
मला,me
देणे,give
आमच्या,our
अंतर्गत,under
नाव,name
फार,very
द्वारे,through
फक्त,just
फॉर्म,form
वाक्य,sentence
महान,great
विचार,think
म्हणू,say
मदत,help
शोधा,low
ओळ,line
भिन्न,differ
वळण,turn
कारण,cause
पुष्कळ,much
अर्थ,mean
आधी,before
हलवा,move
योग्य,right
मुलगा,boy
जुन्या,old
खूप,too
त्याच,same
ती,she
सर्व,all
तेथे,there
तेव्हा,when
अप,up
वापर,use
आपल्या,your
मार्ग,way
बद्दल,about
अनेक,many
नंतर,then
त्यांना,them
लेखन,write
बरी होईल,would
जसे,like
त्यामुळे,so
या,these
तिच्या,her
लांब,long
करा,make
गोष्ट,thing
पहा,see
त्याला,him
दोन,two
आहे,has
पाहण्यासारखे,look
अधिक,more
दिवस,day
शक्य झाले,could
जा,go
येणे,come
केले,did
संख्या,number
आवाज पातळी,sound
नाही,no
सर्वात,most
लोक,people
माझा,my
प्रती,over
माहित,know
पाणी,water
पेक्षा,than
कॉल,call
प्रथम,first
कोण,who
असू शकेल,may
खाली,down
बाजूला,side
केले,been
आता,now
शोधू,find
डोके,head
उभे,stand
स्वत:,own
पृष्ठ,page
पाहिजे,should
देश,country
आढळले,found
उत्तर,answer
शाळा,school
वाढू,grow
अभ्यास,study
अजूनही,still
जाणा,learn
वनस्पती,plant
कव्हर,cover
अन्न,food
सूर्य,sun
चार,four
दरम्यान,between
राज्य,state
ठेवा,keep
डोळा,eye
कधीही,never
गेल्या,last
द्या,let
विचार,thought
शहर,city
झाड,tree
ओलांडू,cross
शेत,farm
हार्ड,hard
प्रारंभ,start
कदाचित,might
कथा,story
करवत,saw
आतापर्यंत,far
समुद्र,sea
काढणे,draw
बाकी,left
उशीरा,late
धाव,run
करू नाही,don’t
तर,while
दाबा,press
बंद,close
रात्री,night
खरा,real
जीवन,life
काही,few
उत्तरेचा,north
पुस्तक,book
वाहून,carry
घेतला,took
विज्ञान,science
खाणे,eat
खोली,room
मित्र,friend
सुरुवात,began
कल्पना,idea
मासे,fish
माउंटन,mountain
थांबा,stop
एकदा,once
बेस,base
लक्ष देऊन ऐकणे,hear
घोडा,horse
कट,cut
खात्री,sure
पाहू,watch
रंग,color
चेहरा,face
लाकूड,wood
मुख्य,main
उघडा,open
वाटते,seem
एकत्र,together
पुढील,next
पांढरा,white
मुले,children
सुरू,begin
आला,got
चालणे,walk
उदाहरण,example
सुखसोयी,ease
कागद,paper
गट,group
नेहमी,always
संगीत,music
त्या,those
दोन्ही,both
खूण,mark
अनेकदा,often
पत्र,letter
पर्यंत,until
मैलाचे,mile
नदी,river
कार,car
पाय,feet
काळजी,care
दुसरा,second
पुरेशी,enough
साधा,plain
मुलगी,girl
नेहमीच्या,usual
तरुण,young
तयार,ready
वरील,above
कधी,ever
लाल,red
यादी,list
तरी,though
वाटत,feel
चर्चा,talk
पक्षी,bird
लवकरच,soon
शरीर,body
कुत्रा,dog
कुटुंब,family
थेट,direct
विशिष्ट प्रकारे (स्थितीत) बसवणे,pose
सोडा,leave
गाणे,song
मोजण्यासाठी,measure
दरवाजा,door
उत्पादन,product
काळा,black
लहान,short
आकडा,numeral
वर्ग,class
वारा,wind
प्रश्न,question
घडू,happen
पूर्ण,complete
जहाज,ship
क्षेत्र,area
अर्धा,half
रॉक,rock
ऑर्डर,order
