כמו,as
אני,I
שלו,his
ש,that
הוא,he
היה,was
עבור,for
על,on
הם,are
עם,with
הם,they
להיות,be
ב,at
אחד,one
יש לי,have
זה,this
מ,from
על ידי,by
חם,hot
מילה,word
אבל,but
מה,what
כמה,some
הוא,is
זה,it
אתה,you
או,or
היה לי,had
עבור,the
של,of
אל,to
ו,and
זמן,a
ב,in
אנחנו,we
יכול,can
את,out
אחר,other
היו,were
ש,which
לעשות,do
שלהם,their
זמן,time
אם,if
יהיה,will
איך,how
אמר,said
בית,an
כל,each
לספר,tell
עושה,does
סט,set
שלוש,three
רוצה,want
אוויר,air
גם,well
גם,also
לשחק,play
קטן,small
סוף,end
לשים,put
בית,home
לקרוא,read
יד,hand
נמל,port
גדול,large
לאיית,spell
להוסיף,add
אפילו,even
ארץ,land
כאן,here
חייב,must
גדול,big
גבוה,high
כזה,such
מעקב,follow
מעשה,act
מדוע,why
שואל,ask
אנשים,men
לשנות,change
הלכתי,went
אור,light
סוג,kind
את,off
צריך,need
בית,house
תמונה,picture
לנסות,try
שלנו,us
שוב,again
חיה,animal
נקודה,point
אמא,mother
עולם,world
ליד,near
לבנות,build
עצמי,self
כדור הארץ,earth
אב,father
כל,any
חדש,new
עבודה,work
חלק,part
לקחת,take
לקבל,get
מקום,place
עשיתי,made
לחיות,live
איפה,where
לאחר,after
בחזרה,back
קטן,little
רק,only
עגול,round
גבר,man
שנה,year
הגיע,came
מופע,show
כל,every
טוב,good
לי,me
לתת,give
שלנו,our
תחת,under
שם,name
מאוד,very
דרך,through
רק,just
טופס,form
משפט,sentence
גדול,great
חושב,think
אומר,say
לעזור,help
נמוך,low
שורה,line
שונה,differ
תור,turn
סיבה,cause
הרבה,much
אומר,mean
לפני,before
מהלך,move
נכון,right
ילד,boy
ישן,old
גם,too
אותו,same
היא,she
כל,all
שם,there
כאשר,when
למעלה,up
שימוש,use
שלך,your
דרך,way
על,about
רבים,many
אז,then
שלהם,them
לכתוב,write
היית,would
כמו,like
כך,so
אלה,these
שלה,her
ארוך,long
לעשות,make
דבר,thing
לראות,see
שלו,him
שנים,two
יש,has
להסתכל,look
יותר,more
יום,day
יכול,could
ללכת,go
תבואו,come
עשיתי,did
מספר,number
נשמע,sound
לא,no
ביותר,most
אנשים,people
שלי,my
על,over
יודע,know
מים,water
מאשר,than
שיחה,call
ראשון,first
מי,who
רשאי,may
למטה,down
צד,side
היה,been
עכשיו,now
למצוא,find
ראש,head
לעמוד,stand
של,own
דף,page
צריך,should
מדינה,country
מצאתי,found
תשובה,answer
בית ספר,school
לגדול,grow
מחקר,study
עוד,still
ללמוד,learn
צמח,plant
כיסוי,cover
מזון,food
שמש,sun
ארבעה,four
בין,between
מדינה,state
לשמור,keep
עין,eye
אף פעם לא,never
אחרון,last
בואו,let
חשבתי,thought
עיר,city
עץ,tree
לחצות,cross
החווה,farm
קשה,hard
התחלה,start
אולי,might
סיפור,story
מסור,saw
רחוק,far
ים,sea
לצייר,draw
עזב,left
מאוחר,late
לרוץ,run
לא,don’t
תוך,while
עיתונות,press
קרוב,close
לילה,night
אמיתי,real
חיים,life
כמה,few
צפון,north
ספר,book
לשאת,carry
לקחתי,took
מדע,science
לסעוד,eat
חדר,room
חבר,friend
החל,began
רעיון,idea
דגים,fish
הר,mountain
להפסיק,stop
פעם אחת,once
בסיס,base
לשמוע,hear
סוס,horse
לחתוך,cut
בטוח,sure
לצפות,watch
צבע,color
פנים,face
עץ,wood
עיקרי,main
פתוח,open
נראה,seem
יחד,together
הבא,next
לבן,white
ילדים,children
להתחיל,begin
לי,got
ללכת,walk
דוגמא,example
להקל,ease
נייר,paper
קבוצה,group
תמיד,always
מוסיקה,music
אלה,those
שני,both
סימן,mark
לעתים קרובות,often
מכתב,letter
עד,until
מייל,mile
נהר,river
מכונית,car
רגליים,feet
טיפול,care
שני,second
מספיק,enough
מישור,plain
ילדה,girl
כרגיל,usual
צעיר,young
מוכן,ready
מעל,above
אי פעם,ever
אדום,red
רשימה,list
למרות ש,though
להרגיש,feel
דיבורים,talk
ציפור,bird
בקרוב,soon
גוף,body
כלב,dog
משפחה,family
ישיר,direct
פוזה,pose
לעזוב,leave
שיר,song
למדוד,measure
דלת,door
מוצר,product
שחור,black
קצר,short
ספרה,numeral
כיתה,class
רוח,wind
שאלה,question
לקרות,happen
מלא,complete
ספינה,ship
אזור,area
מחצית,half
רוק,rock
כדי,order
אש,fire
דרום,south
בעיה,problem
חתיכה,piece
אמר לי,told
ידעתי,knew
עובר,pass
מאז,since
עליון,top
כל,whole
מלך,king
רחוב,street
אינץ,inch
להכפיל,multiply
שום דבר,nothing
כמובן,course
להישאר,stay
גלגל,wheel
מלא,full
כוח,force
כחול,blue
אובייקט,object
להחליט,decide
פני השטח,surface
עמוק,deep
ירח,moon
אי,island
רגל,foot
מערכת,system
עסוק,busy
מבחן,test
שיא,record
סירה,boat
משותף,common
זהב,gold
אפשרי,possible
מטוס,plane
במקום,stead
יבש,dry
פלא,wonder
צחוק,laugh
אלף,thousand
לפני,ago
רצתי,ran
לבדוק,check
משחק,game
צורה,shape
להשוות,equate
חם,hot
מתגעגע,miss
הביא,brought
חום,heat
שלג,snow
צמיג,tire
להביא,bring
כן,yes
רחוק,distant
למלא,fill
מזרח,east
לצייר,paint
שפה,language
בין,among
יחידה,unit
כוח,power
העיר,town
קנס,fine
מסוים,certain
לעוף,fly
ליפול,fall
להוביל,lead
זעקה,cry
אפל,dark
מכונה,machine
הערה,note
לחכות,wait
תכנית,plan
דמות,figure
כוכב,star
תיבה,box
שם עצם,noun
שדה,field
שאר,rest
נכון,correct
תוכל,able
קילו,pound
עשיתי,done
יופי,beauty
כונן,drive
עמד,stood
להכיל,contain
מול,front
ללמד,teach
שבוע,week
סופי,final
נתתי,gave
ירוק,green
הו,oh
מהיר,quick
לפתח,develop
אוקיינוס,ocean
חם,warm
חופשי,free
דקות,minute
חזק,strong
מיוחד,special
דעה,mind
מאחור,behind
ברור,clear
זנב,tail
לייצר,produce
עובדה,fact
חלל,space
שמע,heard
הטוב ביותר,best
שעה,hour
טוב יותר,better
נכון,true
במהלך,during
מאה,hundred
חמש,five
לזכור,remember
צעד,step
מוקדם,early
להחזיק,hold
מערב,west
קרקע,ground
עניין,interest
להגיע,reach
מהר,fast
פועל,verb
לשיר,sing
להקשיב,listen
שש,six
שולחן,table
נסיעה,travel
פחות,less
בוקר,morning
עשר,ten
פשוט,simple
כמה,several
תנועה,vowel
לקראת,toward
מלחמה,war
שכבתי,lay
נגד,against
דפוס,pattern
איטי,slow
מרכז,center
אהבה,love
אדם,person
כסף,money
לשרת,serve
להופיע,appear
כביש,road
המפה,map
גשם,rain
שלטון,rule
למשול,govern
למשוך,pull
קר,cold
הודעה,notice
קול,voice
אנרגיה,energy
ציד,hunt
סביר,probable
מיטה,bed
אח,brother
ביצה,egg
נסיעה,ride
תא,cell
מאמין,believe
אולי,perhaps
לבחור,pick
פתאומי,sudden
לספור,count
רבוע,square
סיבה,reason
משך,length
מייצג,represent
אמנות,art
נושא,subject
אזור,region
גודל,size
להשתנות,vary
להתיישב,settle
לדבר,speak
משקל,weight
כללי,general
קרח,ice
עניין,matter
המעגל,circle
זוג,pair
כולל,include
פער,divide
הברה,syllable
הרגיש,felt
גדול,grand
כדור,ball
בכל זאת,yet
גל,wave
טיפה,drop
לב,heart
בבוקר,am
נוכחי,present
כבד,heavy
ריקוד,dance
מנוע,engine
עמדה,position
זרוע,arm
רחב,wide
מפרש,sail
חומר,material
חלק,fraction
יער,forest
לשבת,sit
מירוץ,race
חלון,window
חנות,store
הקיץ,summer
רכבת,train
לישון,sleep
להוכיח,prove
בודד,lone
רגל,leg
תרגיל,exercise
קיר,wall
מלכוד,catch
הר,mount
מאחל לי,wish
שמים,sky
לוח,board
שמחה,joy
חורף,winter
ישבתי,sat
נכתב,written
פראי,wild
מכשיר,instrument
שמר,kept
זכוכית,glass
דשא,grass
פרה,cow
עבודה,job
קצה,edge
סימן,sign
ביקור,visit
האחרון,past
רך,soft
כיף,fun
בהיר,bright
גז,gas
מזג אוויר,weather
חודש,month
מיליון,million
לשאת,bear
גימור,finish
שמח,happy
מקווה,hope
פרח,flower
להלביש,clothe
מוזר,strange
נעלם,gone
מסחר,trade
מנגינה,melody
טיול,trip
משרד,office
לקבל,receive
שורה,row
פה,mouth
מדויק,exact
סמל,symbol
למות,die
לפחות,least
צרות,trouble
צעקה,shout
אלא,except
כתבתי,wrote
זרע,seed
טון,tone
להצטרף,join
מציע,suggest
נקי,clean
הפסקה,break
גברת,lady
חצר,yard
לעלות,rise
רע,bad
מכה,blow
שמן,oil
דם,blood
לגעת,touch
גדלתי,grew
סנט,cent
לערבב,mix
צוות,team
חוט,wire
עלות,cost
איבדתי,lost
חום,brown
ללבוש,wear
גן,garden
שווה,equal
שלחתי,sent
לבחור,choose
נפלתי,fell
להתאים,fit
לזרום,flow
הוגן,fair
בנק,bank
לאסוף,collect
להציל,save
שליטה,control
עשרוני,decimal
אוזן,ear
אחר,else
די,quite
פרץ,broke
מקרה,case
אמצע,middle
להרוג,kill
בן,son
אגם,lake
רגע,moment
בקנה מידה,scale
רם,loud
האביב,spring
להתבונן,observe
ילד,child
ישר,straight
עיצור,consonant
אומה,nation
מילון,dictionary
חלב,milk
מהירות,speed
שיטה,method
איבר,organ
לשלם,pay
גיל,age
סעיף,section
שמלה,dress
ענן,cloud
הפתעה,surprise
שקט,quiet
אבן,stone
זעיר,tiny
טיפוס,climb
מגניב,cool
לעצב,design
עני,poor
מגרש,lot
ניסיון,experiment
תחתון,bottom
מפתח,key
ברזל,iron
אחת,single
מקל,stick
דירה,flat
עשרים,twenty
עור,skin
חיוך,smile
קמט,crease
חור,hole
לקפוץ,jump
תינוק,baby
שמונה,eight
כפר,village
נפגש,meet
שורש,root
לקנות,buy
להעלות,raise
לפתור,solve
מתכת,metal
אם,whether
דחיפה,push
שבע,seven
סעיף,paragraph
שלישי,third
תהא,shall
מוחזק,held
שיער,hair
לתאר,describe
טבח,cook
רצפה,floor
או,either
תוצאה,result
לשרוף,burn
גבעה,hill
בטוח,safe
חתול,cat
המאה,century
לשקול,consider
סוג,type
החוק,law
קצת,bit
החוף,coast
עותק,copy
ביטוי,phrase
שקט,silent
גבוה,tall
חול,sand
אדמה,soil
גליל,roll
טמפרטורה,temperature
אצבע,finger
תעשייה,industry
ערך,value
מאבק,fight
שקר,lie
הכה,beat
לרגש,excite
טבעי,natural
תצוגה,view
תחושה,sense
הון,capital
לא יהיה,won’t
כיסא,chair
סכנה,danger
פירות,fruit
עשיר,rich
עבה,thick
חיל,soldier
תהליך,process
פועל,operate
בפועל,practice
נפרד,separate
קשה,difficult
רופא,doctor
בבקשה,please
להגן על,protect
הצהריים,noon
יבול,crop
מודרני,modern
אלמנט,element
פגע,hit
סטודנט,student
פינה,corner
מפלגה,party
אספקה,supply
של מי,whose
אתר,locate
טבעת,ring
אופי,character
חרקים,insect
נתפס,caught
התקופה,period
