kama,as
mimi,I
yake,his
kwamba,that
yeye,he
mara,was
kwa,for
juu ya,on
wako,are
kwa,with
wao,they
kuwa,be
katika,at
moja,one
na,have
hii,this
kutoka,from
na,by
moto,hot
neno,word
lakini,but
nini,what
baadhi,some
ni,is
yake,it
ninyi,you
au,or
alikuwa,had
akaonekana,the
ya,of
kwa,to
na,and
a,a
katika,in
sisi,we
unaweza,can
nje,out
nyingine,other
walikuwa,were
ambayo,which
kufanya,do
yao,their
wakati,time
kama,if
mapenzi,will
jinsi,how
alisema,said
an,an
kila,each
kuwaambia,tell
gani,does
kuweka,set
tatu,three
wanataka,want
hewa,air
vizuri,well
pia,also
kucheza,play
ndogo,small
mwisho,end
kuweka,put
nyumbani,home
kusoma,read
mkono,hand
bandari,port
kubwa,large
Spell,spell
kuongeza,add
hata,even
ardhi,land
hapa,here
lazima,must
kubwa,big
high,high
kama,such
kufuata,follow
tendo,act
kwa nini,why
kuuliza,ask
wanaume,men
mabadiliko ya,change
akaenda,went
mwanga,light
aina,kind
mbali,off
haja,need
nyumba,house
picha,picture
kujaribu,try
sisi,us
tena,again
mnyama,animal
uhakika,point
mama,mother
dunia,world
karibu,near
kujenga,build
binafsi,self
dunia,earth
baba,father
yoyote,any
mpya,new
kazi,work
sehemu,part
kuchukua,take
kupata,get
mahali,place
alifanya,made
kuishi,live
ambapo,where
baada ya,after
nyuma,back
kidogo,little
tu,only
pande zote,round
mtu,man
mwaka,year
alikuja,came
Onyesha,show
kila,every
nzuri,good
mimi,me
kutoa,give
wetu,our
chini ya,under
jina,name
sana,very
kupitia,through
tu,just
aina,form
hukumu,sentence
kubwa,great
kufikiri,think
kusema,say
msaada,help
chini,low
line,line
tofauti,differ
upande,turn
sababu,cause
kiasi,much
maana,mean
kabla ya,before
hoja,move
haki,right
mvulana,boy
umri wa,old
pia,too
sawa,same
yeye,she
kila,all
huko,there
wakati,when
up,up
kutumia,use
yako,your
njia,way
kuhusu,about
wengi,many
kisha,then
yao,them
kuandika,write
ingekuwa,would
kama,like
hivyo,so
haya,these
yake,her
muda mrefu,long
kufanya,make
kitu,thing
kuona,see
naye,him
mbili,two
ina,has
kuangalia,look
zaidi,more
siku,day
inaweza,could
kwenda,go
kuja,come
alifanya,did
simu,number
sauti,sound
hakuna,no
zaidi,most
watu,people
yangu,my
juu ya,over
kujua,know
maji,water
kuliko,than
simu,call
kwanza,first
ambao,who
inaweza,may
chini,down
upande,side
imekuwa,been
sasa,now
kupata,find
