sifatida,as
men,I
uning,his
ekan,that
u,he
edi,was
uchun,for
bo’yicha,on
bor,are
bilan,with
ular,they
bo’lishi,be
da,at
bir,one
bor,have
bu,this
ushbudan boshlab:,from
tomonidan,by
issiq,hot
so’z,word
lekin,but
nima,what
bir qancha,some
hisoblanadi,is
u,it
siz,you
yoki,or
bor,had
The,the
ning,of
uchun,to
va,and
a,a
ichida,in
bizlar,we
mumkin,can
tashqarida,out
boshqa,other
edi,were
qaysi,which
nima,do
ularning,their
vaqt,time
agar,if
bo’ladi,will
qanaqasiga,how
dedi,said
E’lonni,an
har bir,each
aytib,tell
qilsa,does
to’plami,set
uch,three
istaymiz,want
havo,air
yaxshi,well
shuningdek,also
o’yin,play
kichkina,small
oxiri,end
qo’yish,put
uy,home
o’qish,read
qo’l,hand
port,port
katta,large
sehr,spell
kiritish,add
hatto,even
er,land
bu yerga,here
kerak,must
katta,big
baland,high
bunday,such
rioya,follow
ish,act
nima uchun,why
so’rarlar,ask
Erkaklar,men
o’zgarish,change
ketdi,went
engil,light
rahmdil,kind
off,off
kerak,need
uy,house
surat,picture
urinish,try
bizga,us
yana,again
hayvon,animal
nuqtasi,point
ona,mother
dunyo,world
yaqin,near
qurish,build
o’zini,self
yer,earth
ota,father
har qanday,any
yangi,new
ish,work
qism,part
olmoq,take
olish,get
joy,place
qilingan,made
jonli,live
qayerda,where
so’ng,after
orqa,back
oz,little
faqat,only
dumaloq,round
odam,man
yil,year
kelgan,came
ko’rsatish,show
har bir,every
yaxshi,good
meni,me
berishi,give
bizning,our
ostida,under
ism,name
juda,very
ichidan,through
faqat,just
shakl,form
hukm,sentence
buyuk,great
deb o’ylayman,think
aytish,say
yordam bering,help
past,low
chiziq,line
farq,differ
burilish,turn
sabab,cause
ko’p,much
degani,mean
oldin,before
harakat,move
o’ng,right
bola,boy
qari,old
ham,too
bir xil,same
u,she
hamma,all
u yerda,there
qachon,when
up,up
foydalanish,use
Sening,your
yo’l,way
atrofida,about
ko’p,many
so’ng,then
ularga,them
yozish,write
bulardi,would
kabi,like
shunday,so
bular,these
uning,her
uzun,long
olmoq,make
narsa,thing
qarang,see
uni,him
ikki,two
bor,has
nazar,look
ko’proq,more
kun,day
qo’lidan,could
borish,go
kelib,come
qilgan,did
soni,number
ovozli,sound
yo’q,no
eng,most
odamlar,people
mening,my
ustida,over
bilaman,know
suv,water
nisbatan,than
chaqirish,call
birinchi,first
kim,who
mumkin,may
pastga,down
taraf,side
edi,been
hozir,now
topish,find
bosh,head
turmoq,stand
xususiy,own
bet,page
kerak,should
mamlakat,country
topildi,found
javob,answer
maktab,school
o’sadi,grow
o’rganish,study
hali,still
o’rganish,learn
o’simlik,plant
qoplama,cover
ovqat,food
quyosh,sun
to’rt,four
o’rtasida,between
davlat,state
saqlamoq,keep
ko’z,eye
hech qachon,never
oxirgi,last
ruxsat,let
fikr,thought
shahar,city
daraxt,tree
kesib,cross
ferma,farm
qiyin,hard
start,start
qudrat,might
hikoya,story
arra,saw
uzoq,far
dengiz,sea
chizish,draw
chap,left
kech,late
Run,run
bunday qilma,don’t
paytda,while
matbuot,press
yaqin,close
tun,night
haqiqiy,real
hayot,life
oz,few
shimol,north
kitob,book
bajarish,carry
oldi,took
fan,science
ovqat,eat
xona,room
do’st,friend
boshladi,began
fikr,idea
baliq,fish
tog ’,mountain
stop,stop
bir marta,once
asos,base
eshitmoq,hear
ot,horse
kesma,cut
ishonch,sure
tomosha,watch
rang,color
yuz,face
o’tin,wood
asosiy,main
ochiq,open
ko’rinadi,seem
birga,together
keyingisi,next
oq rang,white
bolalar,children
boshlanishi,begin
bor,got
yurish,walk
misol,example
sukunat,ease
qog’oz,paper
guruh,group
har doim,always
musiqa,music
ular,those
har ikkala,both
belgi,mark
ko’pincha,often
xat,letter
gacha,until
milya,mile
daryo,river
avtomobil,car
fut,feet
g’amxo’rlik,care
ikkinchi,second
yetarli,enough
tekis,plain
qiz,girl
oddiy,usual
yosh,young
tayyor,ready
yuqorida,above
hech,ever
qizil,red
ro’yxat,list
garchi,though
his,feel
suhbat,talk
qush,bird
yaqinda,soon
badan,body
it,dog
oilaviy,family
to’g’ri,direct
tug’dirmaydi,pose
tark,leave
song,song
o’lchov,measure
eshik,door
mahsulot,product
qora,black
qisqa,short
raqam,numeral
class,class
shamol,wind
savol,question
sodir,happen
to’la,complete
kema,ship
maydon,area
yarim,half
qoya,rock
buyurtma,order
yong’in,fire
janub,south
muammo,problem
qism,piece
aytdi,told
