како,as
јас,I
неговата,his
дека,that
тој,he
беше,was
за,for
на,on
се,are
со,with
тие,they
биде,be
на,at
еден,one
имаат,have
овој,this
од,from
од,by
топла,hot
збор,word
но,but
што,what
некои,some
е,is
тоа,it
ќе,you
или,or
имаше,had
на,the
на,of
да,to
и,and
на,a
во,in
ние,we
може,can
надвор,out
други,other
беа,were
кои,which
направи,do
нивните,their
време,time
ако,if
ќе,will
како,how
рече,said
на,an
секој,each
кажете,tell
не,does
сет,set
три,three
сакате,want
воздух,air
добро,well
"исто така,",also
игра,play
мали,small
крајот,end
стави,put
дома,home
чита,read
страна,hand
порт,port
голем,large
магија,spell
додадете,add
дури и,even
земјиште,land
тука,here
мора,must
голема,big
висок,high
како,such
следат,follow
чин,act
зошто,why
побара,ask
мажи,men
промена,change
отиде,went
светлината,light
вид,kind
надвор,off
треба,need
куќа,house
слика,picture
се обиде,try
нас,us
повторно,again
животните,animal
точка,point
мајка,mother
светот,world
во близина,near
изградба,build
само,self
земјата,earth
татко,father
било,any
нови,new
работа,work
дел,part
се,take
се,get
место,place
направени,made
живеат,live
каде,where
по,after
назад,back
малку,little
само,only
круг,round
човек,man
година,year
дојде,came
шоу,show
секој,every
добро,good
ме,me
даде,give
нашите,our
под,under
име,name
многу,very
преку,through
само,just
форма,form
казна,sentence
голем,great
мислам,think
велат,say
помогне,help
ниска,low
линија,line
разликуваат,differ
возврат,turn
причина,cause
многу,much
значи,mean
пред,before
потег,move
право,right
момчето,boy
стари,old
премногу,too
исто,same
таа,she
сите,all
постојат,there
кога,when
до,up
употреба,use
вашиот,your
начин,way
за,about
многу,many
тогаш,then
ги,them
пишува,write
би,would
како,like
така,so
овие,these
нејзините,her
долг,long
направи,make
работа,thing
види,see
го,him
две,two
има,has
погледнете,look
повеќе,more
ден,day
можев,could
одат,go
доаѓаат,come
не,did
број,number
звучи,sound
нема,no
повеќето,most
луѓе,people
мојата,my
повеќе,over
знаете,know
вода,water
од,than
повик,call
прва,first
кои,who
може,may
надолу,down
страна,side
е,been
сега,now
најдете,find
глава,head
стојат,stand
сопствени,own
страница,page
треба,should
земја,country
најде,found
одговор,answer
училиште,school
расте,grow
студија,study
уште,still
научат,learn
растенија,plant
покритие,cover
храна,food
сонцето,sun
четири,four
меѓу,between
состојба,state
задржи,keep
око,eye
никогаш,never
последните,last
нека,let
мисли,thought
град,city
дрво,tree
премине,cross
фарма,farm
тешко,hard
почеток,start
би можеле да,might
приказна,story
видов,saw
далеку,far
море,sea
подготви,draw
остави,left
крајот,late
бегство,run
не,don’t
а,while
прес-,press
блиску,close
ноќ,night
вистински,real
живот,life
неколку,few
Северна,north
книга,book
носат,carry
се,took
науката,science
јадете,eat
соба,room
пријател,friend
започна,began
идеја,idea
риба,fish
планински,mountain
престанат,stop
еднаш,once
база,base
слушаат,hear
коњ,horse
намалување на,cut
сигурни,sure
види,watch
боја,color
лице,face
дрво,wood
главната,main
отворен,open
изгледа,seem
заедно,together
следна,next
бело,white
деца,children
започне,begin
доби,got
прошетка,walk
пример,example
олеснување,ease
хартија,paper
група,group
секогаш,always
музика,music
оние,those
и,both
знак,mark
често,often
писмо,letter
до,until
милја,mile
река,river
автомобил,car
нозе,feet
грижа,care
