kā,as
es,I
viņa,his
ka,that
viņš,he
bija,was
par,for
gada,on
ir,are
ar,with
viņi,they
būt,be
pie,at
viens,one
ir,have
šī,this
no,from
līdz,by
karsts,hot
vārds,word
bet,but
ko,what
daži,some
ir,is
tā,it
jums,you
vai,or
bija,had
siltums,the
no,of
līdz,to
un,and
seši,a
in,in
mēs,we
var,can
ārā,out
citi,other
bija,were
kas,which
do,do
viņu,their
laiks,time
ja,if
griba,will
cik,how
teica,said
viņiem,an
katrs,each
pateikt,tell
nav,does
komplekts,set
trīs,three
gribu,want
gaisa,air
labi,well
arī,also
play,play
mazs,small
beigas,end
likts,put
mājas,home
lasīt,read
roku,hand
port,port
liels,large
pareizrakstības,spell
pievienot,add
pat,even
zeme,land
šeit,here
nepieciešams,must
big,big
augsta,high
piemēram,such
sekot,follow
akts,act
kāpēc,why
jautāt,ask
cilvēki,men
maiņa,change
aizgāja,went
gaisma,light
veids,kind
no,off
vajadzība,need
māja,house
attēlu,picture
mēģināt,try
us,us
atkal,again
dzīvnieks,animal
punkts,point
māte,mother
pasaule,world
netālu,near
būvēt,build
pats,self
zemes,earth
tēvs,father
jebkurš,any
jaunā,new
darbs,work
daļa,part
ņemt,take
nokļūt,get
vieta,place
veikts,made
dzīvot,live
kur,where
pēc,after
atpakaļ,back
maz,little
tikai,only
kārta,round
vīrietis,man
gads,year
atnāca,came
izstāde,show
ik,every
labs,good
mani,me
dot,give
mūsu,our
saskaņā ar,under
nosaukums,name
ļoti,very
cauri,through
tikai,just
forma,form
teikums,sentence
liels,great
domā,think
teikt,say
palīdzēt,help
zems,low
līnija,line
atšķiras,differ
kārta,turn
cēlonis,cause
daudz,much
nozīmēt,mean
pirms,before
pārvietot,move
tiesības,right
boy,boy
vecs,old
pārāk,too
tas pats,same
viņa,she
viss,all
tur,there
kad,when
augšup,up
izmantot,use
jūsu,your
veids,way
par,about
daudz,many
pēc tam,then
viņiem,them
rakstīt,write
būtu,would
"piemēram,",like
tā,so
šie,these
viņai,her
garš,long
padarīt,make
lieta,thing
sk,see
viņam,him
divi,two
ir,has
meklēt,look
vairāk,more
diena,day
varētu,could
iet,go
nākt,come
darīja,did
numurs,number
skaņu,sound
nē,no
visvairāk,most
cilvēki,people
mans,my
vairāk,over
zināt,know
ūdens,water
nekā,than
izsaukums,call
pirmais,first
kurš,who
var,may
leju,down
side,side
ir,been
tagad,now
atrast,find
vadītājs,head
stāvēt,stand
paša,own
lapa,page
vajadzētu,should
valsts,country
dibināt,found
atbilde,answer
skola,school
augt,grow
pētījums,study
vēl,still
mācīties,learn
augs,plant
vāks,cover
pārtika,food
saule,sun
četri,four
starp,between
valsts,state
glabāt,keep
acs,eye
nekad,never
pagājušajā,last
ļaujiet,let
doma,thought
city,city
koks,tree
šķērsot,cross
saimniecība,farm
grūti,hard
sākums,start
varētu,might
stāsts,story
zāģis,saw
tālu,far
jūra,sea
izdarīt,draw
kreisi,left
vēlu,late
palaist,run
nav,don’t
kamēr,while
nospiediet,press
aizvērt,close
nakts,night
real,real
dzīve,life
maz,few
ziemeļiem,north
grāmata,book
pārvadāt,carry
paņēma,took
zinātne,science
ēst,eat
telpa,room
draugs,friend
sākās,began
ideja,idea
zivis,fish
kalns,mountain
apstāties,stop
reizi,once
bāze,base
dzirdēt,hear
zirgs,horse
cut,cut
pārliecināts,sure
skatīties,watch
krāsu,color
seja,face
koks,wood
galvenais,main
atvērts,open
likties,seem
kopā,together
nākamais,next
balts,white
bērni,children
sākties,begin
got,got
staigāt,walk
piemērs,example
atvieglot,ease
papīrs,paper
grupa,group
vienmēr,always
mūzika,music
tās,those
abi,both
zīme,mark
bieži,often
vēstule,letter
līdz,until
jūdze,mile
river,river
auto,car
kājām,feet
kopšana,care
otrais,second
pietiekami,enough
vienkāršs,plain
meitene,girl
ierasts,usual
jauniešiem,young
gatavs,ready
iepriekš,above
kādreiz,ever
sarkans,red
saraksts,list
tomēr,though
justies,feel
diskusija,talk
putns,bird
drīz,soon
korpuss,body
suns,dog
ģimene,family
tieši,direct
uzdot,pose
atstāt,leave
dziesma,song
izmērīt,measure
durvis,door
produkts,product
melna,black
īss,short
cipars,numeral
klase,class
vējš,wind
jautājums,question
notikt,happen
pilnīgs,complete
kuģis,ship
platība,area
puse,half
klinšu,rock
rīkojums,order
ugunsgrēks,fire
dienvidu,south
problēma,problem
gabals,piece
pastāstīja,told
zināja,knew
caurlaide,pass
kopš,since
tops,top
viss,whole
karalis,king
iela,street
inch,inch
reizināt,multiply
nekas,nothing
Protams,course
uzturēties,stay
ritenis,wheel
pilns,full
spēks,force
blue,blue
objekts,object
izlemt,decide
virsma,surface
dziļi,deep
pavadonis,moon
sala,island
kāju,foot
sistēma,system
aizņemts,busy
testa,test
ieraksts,record
laiva,boat
kopēja,common
zelta,gold
iespējams,possible
plakne,plane
baudiet,stead
sauss,dry
brīnums,wonder
smieties,laugh
tūkstotis,thousand
pirms,ago
skrēja,ran
pārbaudiet,check
spēle,game
forma,shape
vienādot,equate
karsts,hot
miss,miss
celta,brought
siltums,heat
sniegs,snow
riepa,tire
celt,bring
jā,yes
tāls,distant
aizpildīt,fill
austrumiem,east
gleznot,paint
valoda,language
vidū,among
vienība,unit
jauda,power
pilsēta,town
fine,fine
skaidrs,certain
lidot,fly
kritums,fall
vadīt,lead
sauciens,cry
tumšs,dark
mašīna,machine
piezīme,note
pagaidiet,wait
plāns,plan
skaitlis,figure
zvaigzne,star
kaste,box
lietvārds,noun
lauka,field
atpūta,rest
pareizs,correct
spējīgs,able
mārciņa,pound
gatavots,done
skaistums,beauty
disku,drive
stāvēja,stood
satur,contain
priekšējais,front
mācīt,teach
nedēļa,week
galīgs,final
deva,gave
zaļa,green
oh,oh
ātri,quick
attīstīt,develop
ocean,ocean
silts,warm
bezmaksas,free
minūte,minute
spēcīga,strong
īpašs,special
prāts,mind
aiz,behind
skaidrs,clear
aste,tail
ražot,produce
fakts,fact
telpa,space
dzirdējis,heard
vislabāk,best
stunda,hour
labāk,better
patiess,true
laikā,during
simti,hundred
pieci,five
atcerēties,remember
solis,step
agri,early
turēt,hold
rietumu,west
zemes,ground
procenti,interest
sasniegt,reach
ātrs,fast
darbības vārds,verb
dziedāt,sing
klausīties,listen
seši,six
tabula,table
ceļot,travel
mazāk,less
rīts,morning
desmit,ten
vienkāršs,simple
