ինչպես,as
ես,I
նրա,his
որ,that
նա,he
էր,was
համար,for
– ին,on
են,are
հետ,with
նրանք,they
լինել,be
ի,at
մեկ,one
ունենալ,have
այս,this
– ից,from
ի,by
տաք,hot
բառ,word
բայց,but
ինչ,what
մի քանի,some
է,is
այն,it
դուք,you
կամ,or
էր,had
The,the
եւ,of
մինչեւ,to
իսկ,and
ա,a
– ին,in
մենք,we
կարող,can
դուրս,out
այլ,other
են,were
որը,which
անել,do
իրենց,their
ժամանակ,time
եթե,if
կամք,will
ինչպես,how
ասել,said
է,an
յուրաքանչյուր,each
ասել,tell
մենք,does
շարք,set
երեք,three
ուզում,want
օդի,air
լավ,well
նույնպես,also
խաղալ,play
փոքր,small
վերջ,end
ի,put
տուն,home
կարդալ,read
ձեռք,hand
նավահանգիստ,port
մեծ,large
տառ առ տառ ասել,spell
ավելացնել,add
նույնիսկ,even
երկիր,land
այստեղ,here
պետք է,must
մեծ,big
բարձր,high
այդպիսի,such
հետեւել,follow
գործ,act
ինչու,why
խնդրել,ask
տղամարդիկ,men
փոփոխություն,change
գնաց,went
լույս,light
բարի,kind
դուրս,off
անհրաժեշտ,need
տուն,house
նկար,picture
փորձել,try
մեզ,us
կրկին,again
կենդանի,animal
կետ,point
մայր,mother
աշխարհ,world
մոտ,near
կառուցել,build
ինքնուրույն,self
երկիր,earth
հայր,father
ցանկացած,any
նոր,new
աշխատանք,work
մաս,part
վերցնել,take
ստանալ,get
տեղ,place
է,made
ապրել,live
որտեղ,where
երբ,after
Վերադառնալ,back
քիչ բան,little
միայն,only
կլոր,round
մարդ,man
տարի,year
եկել,came
շոու,show
ամեն,every
լավ,good
ինձ,me
տալ,give
մեր,our
տակ,under
անունը,name
շատ,very
միջոցով,through
պարզապես,just
ձեւը,form
նախադասություն,sentence
մեծ,great
մտածել,think
ասել,say
օգնություն,help
ցածր,low
գիծ,line
տարբերվել,differ
հերթը,turn
պատճառը,cause
շատ,much
նշանակում,mean
մինչեւ,before
քայլ,move
իրավունք,right
տղա,boy
հին,old
էլ,too
նույն,same
նա,she
