olarak,as
ben,I
onun,his
bu,that
diye,he
oldu,was
için,for
üzerinde,on
vardır,are
ile,with
onlar,they
olmak,be
at,at
bir,one
var,have
Bu,this
dan,from
tarafından,by
sıcak,hot
kelime,word
ancak,but
ne,what
bazı,some
olduğunu,is
o,it
sen,you
veya,or
vardı,had
arasında,of
karşı,to
ve,and
bir,a
içinde,in
biz,we
can,can
üzerinden,out
diğer,other
vardı,were
hangi,which
do,do
onların,their
zaman,time
eğer,if
olacak,will
nasıl,how
dedi,said
bir,an
her,each
söyle,tell
yok,does
set,set
üç,three
istiyorum,want
hava,air
iyi,well
ayrıca,also
oynamak,play
küçük,small
son,end
koymak,put
ev,home
okumak,read
el,hand
liman,port
büyük,large
büyü,spell
ekleyin,add
hatta,even
arazi,land
burada,here
gerekir,must
büyük,big
yüksek,high
böyle,such
izleyin,follow
hareket,act
neden,why
sormak,ask
erkekler,men
değişim,change
gitti,went
ışık,light
tür,kind
kapalı,off
gerek,need
ev,house
resim,picture
denemek,try
bizi,us
tekrar,again
hayvan,animal
nokta,point
anne,mother
dünya,world
yakın,near
inşa etmek,build
öz,self
toprak,earth
baba,father
herhangi bir,any
yeni,new
iş,work
bölüm,part
almak,take
olsun,get
yer,place
yapılan,made
canlı,live
nerede,where
sonra,after
geri,back
küçük,little
sadece,only
yuvarlak,round
adam,man
yıl,year
geldi,came
gösterisi,show
her,every
iyi,good
bana,me
vermek,give
bizim,our
altında,under
adı,name
çok,very
ile,through
sadece,just
formu,form
cümle,sentence
büyük,great
düşünmek,think
demek,say
yardım,help
düşük,low
hat,line
farklı,differ
dönüş,turn
neden,cause
çok,much
Yani,mean
önce,before
hareket,move
sağ,right
çocuk,boy
eski,old
çok,too
aynı,same
diye,she
tüm,all
orada,there
zaman,when
yukarı,up
Kullanım,use
senin,your
yol,way
hakkında,about
birçok,many
o zaman,then
onları,them
yazmak,write
would,would
gibi,like
bu yüzden,so
bu,these
onu,her
uzun,long
yapmak,make
şey,thing
görmek,see
onu,him
iki,two
var,has
bak,look
daha fazla,more
gün,day
olabilir,could
gitmek,go
gel,come
yaptım,did
numarası,number
ses,sound
hayır,no
en,most
insanlar,people
benim,my
üzerinde,over
bilmek,know
su,water
daha,than
çağrı,call
ilk,first
kim,who
may,may
aşağı,down
yan,side
oldu,been
Şimdi,now
bulmak,find
kafa,head
standı,stand
kendi,own
sayfa,page
gerekir,should
ülke,country
bulundu,found
cevap,answer
okul,school
büyümek,grow
çalışma,study
hala,still
öğrenmek,learn
bitki,plant
kapak,cover
gıda,food
güneş,sun
dört,four
arasında,between
devlet,state
tutmak,keep
göz,eye
asla,never
son,last
let,let
düşünce,thought
Şehir,city
ağaç,tree
çapraz,cross
çiftlik,farm
sert,hard
başlangıç,start
olabilir,might
hikaye,story
testere,saw
kadar,far
deniz,sea
çizmek,draw
sol,left
geç,late
run,run
yapamaz,don’t
süre,while
basın,press
yakın,close
gece,night
gerçek,real
hayat,life
az,few
kuzey,north
kitap,book
taşımak,carry
aldı,took
bilim,science
yemek,eat
oda,room
arkadaşı,friend
başladı,began
fikir,idea
balık,fish
dağ,mountain
dur,stop
bir kez,once
baz,base
duymak,hear
at,horse
kesim,cut
emin,sure
izle,watch
renk,color
yüz,face
ahşap,wood
ana,main
açık,open
görünmek,seem
birlikte,together
sonraki,next
beyaz,white
çocuk,children
başla,begin
var,got
yürümek,walk
örnek,example
kolaylığı,ease
kâğıt,paper
grup,group
her zaman,always
müzik,music
bu,those
her ikisi de,both
işareti,mark
sık sık,often
mektup,letter
kadar,until
kilometre,mile
nehir,river
araba,car
ayaklar,feet
bakım,care
ikinci,second
yeterli,enough
düz,plain
kız,girl
olağan,usual
genç,young
hazır,ready
yukarıdaki,above
hiç,ever
kırmızı,red
listesi,list
olsa,though
hissetmek,feel
tartışma,talk
