როგორც,as
თოვლი,I
მისი,his
რომ,that
ის,he
იყო,was
განთავსების,for
წელი,on
არის,are
ერთად,with
ისინი,they
იყოს,be
ზე,at
ერთი,one
აქვს,have
ამ,this
საწყისი,from
მიერ,by
ცხელი,hot
სიტყვა,word
მაგრამ,but
რა,what
ზოგიერთი,some
არის,is
ის,it
თქვენ,you
ან,or
ჰქონდა,had
ზე,the
საქართველოს,of
მიზეზი,to
და,and
საკვები,a
წლის,in
ჩვენ,we
სისტემაში,can
აქტის,out
სხვა,other
იყო,were
რომელიც,which
გაკეთება,do
მათი,their
დრო,time
თუ,if
იქნება,will
როგორ,how
განაცხადა,said
ითამაშეთ,an
თითოეული,each
ვუთხრა,tell
ჯერ,does
კომპლექტი,set
სამ,three
მინდა,want
საჰაერო,air
კარგად,well
ასევე,also
ითამაშეთ,play
პატარა,small
ბოლოს,end
მა,put
მთავარი,home
წაკითხული,read
ხელი,hand
პორტი,port
დიდი,large
სიტყვიერად,spell
რჩეულებში,add
კი,even
მიწის,land
აქ,here
უნდა,must
დიდი,big
მაღალი,high
ასეთი,such
დაიცვას,follow
აქტის,act
რატომ,why
ითხოვენ,ask
მამაკაცის,men
ცვლილება,change
წავიდა,went
მსუბუქი,light
სახის,kind
გამორთვის,off
უნდა,need
სახლი,house
სურათი,picture
ცდილობენ,try
ჩვენთვის,us
ერთხელ,again
ცხოველთა,animal
წერტილი,point
დედა,mother
მსოფლიო,world
ახლოს,near
ავაშენოთ,build
თვითმმართველობის,self
დედამიწაზე,earth
მამა,father
ნებისმიერი,any
ახალი,new
მუშაობა,work
ნაწილი,part
მიიღოს,take
მიიღეთ,get
ადგილი,place
გააკეთა,made
ცხოვრება,live
სადაც,where
შემდეგ,after
უკან,back
პატარა,little
მხოლოდ,only
რაუნდი,round
კაცი,man
წელი,year
მოვიდა,came
შოუ,show
ყველა,every
კარგი,good
მე,me
მისცეს,give
ჩვენი,our
ფარგლებში,under
სახელი,name
ძალიან,very
მეშვეობით,through
უბრალოდ,just
ფორმა,form
სასჯელი,sentence
დიდი,great
|ვფიქრობ,|,think
|ამბობენ,|,say
დაეხმაროს,help
დაბალი,low
ონლაინ,line
განსხვავდება,differ
|თავის მხრივ,|,turn
მიზეზი,cause
ბევრი,much
ნიშნავს,mean
ადრე,before
ნაბიჯი,move
უფლება,right
ბიჭი,boy
ძველი,old
ძალიან,too
იგივე,same
იგი,she
ყველა,all
არსებობს,there
როდესაც,when
გოლი,up
გამოყენება,use
თქვენი,your
გზა,way
შესახებ,about
ბევრი,many
შემდეგ,then
მათ,them
დაწერა,write
რომ,would
როგორიცაა,like
|ასე რომ,|,so
ამ,these
მისი,her
ხანგრძლივი,long
რათა,make
რამ,thing
იხილეთ,see
მას,him
ორ,two
აქვს,has
გამოიყურება,look
მეტი,more
დღეს,day
იქნებოდა,could
გადასვლა,go
მოდის,come
გააკეთა,did
ნომერი,number
ხმის,sound
არა,no
ყველაზე,most
ხალხი,people
ჩემი,my
მეტი,over
ვიცი,know
წყლის,water
მეტი,than
დარეკეთ,call
პირველი,first
ვინც,who
შეიძლება,may
ქვემოთ,down
მხარე,side
უკვე,been
ახლა,now
მოვძებნოთ,find
უფროსი,head
დავდგეთ,stand
საკუთარი,own
გვერდი,page
უნდა,should
ქვეყანაში,country
ი,found
პასუხი,answer
სკოლა,school
იზრდება,grow
სასწავლო,study
ჯერ კიდევ,still
ვისწავლოთ,learn
ქარხანა,plant
საფარი,cover
საკვები,food
მზე,sun
ოთხ,four
შორის,between
სახელმწიფო,state
შენარჩუნება,keep
თვალის,eye
არასოდეს,never
ბოლო,last
მიადევნე,let
ეგონა,thought
ქალაქი,city
ხე,tree
გადაკვეთა,cross
ფერმა,farm
მძიმე,hard
დაწყება,start
შესაძლოა,might
ისტორია,story
ხერხი,saw
შორს,far
ზღვის,sea
მიაპყროს,draw
მარცხენა,left
ბოლოს,late
აწარმოებს,run
არა,don’t
ხოლო,while
პრეს,press
ახლოს,close
ღამის,night
რეალური,real
ცხოვრება,life
რამდენიმე,few
ჩრდილოეთ,north
წიგნაკი,book
განახორციელოს,carry
აიღო,took
მეცნიერება,science
ჭამა,eat
ოთახი,room
მეგობარს,friend
დაიწყო,began
იდეა,idea
თევზი,fish
მთის,mountain
შეჩერება,stop
ერთხელ,once
ბაზა,base
მოვისმინოთ,hear
ცხენი,horse
დაჭრილი,cut
|დარწმუნებული ვარ,|,sure
დაათვალიერეს,watch
ფერი,color
სახე,face
ხის,wood
მთავარი,main
ღია,open
|როგორც ჩანს,|,seem
ერთად,together
შემდეგი,next
თეთრი,white
ბავშვები,children
დაიწყოს,begin
მივიღე,got
ფეხით,walk
მაგალითად,example
განმუხტვის,ease
ქაღალდის,paper
ჯგუფი,group
ყოველთვის,always
მუსიკა,music
იმ,those
ორივე,both
mark,mark
ხშირად,often
წერილი,letter
სანამ,until
მილი,mile
მდინარე,river
მანქანის,car
ფეხები,feet
ჰიგიენის,care
მეორე,second
საკმარისი,enough
ბარის,plain
გოგონა,girl
ჩვეულებრივი,usual
ახალგაზრდა,young
მზად,ready
ზემოთ,above
ოდესმე,ever
წითელი,red
სია,list
თუმცა,though
ვგრძნობ,feel
განხილვა,talk
ფრინველი,bird
მალე,soon
სხეულის,body
ძაღლი,dog
ოჯახის,family
პირდაპირი,direct
უქმნის,pose
დატოვეთ,leave
სიმღერას,song
გავზომოთ,measure
კარი,door
პროდუქტი,product
შავი,black
მოკლე,short
ციფრების,numeral
კლასი,class
ქარი,wind
კითხვა,question
მოხდება,happen
სრული,complete
გემი,ship
ფართი,area
ნახევარი,half
როკი,rock
|იმისათვის,|,order
ცეცხლის,fire
სამხრეთ,south
პრობლემა,problem
ცალი,piece
განუცხადა,told
იცოდა,knew
გაივლის,pass
|მას შემდეგ, რაც|,since
დაბრუნება,top
მთელი,whole
მეფე,king
ქუჩის,street
დუიმიანი,inch
გამრავლების,multiply
არაფერი,nothing
|რა თქმა უნდა,|,course
დარჩება,stay
წინა,wheel
სრული,full
ძალა,force
ლურჯი,blue
ობიექტი,object
გადაწყვიტოს,decide
ზედაპირზე,surface
deep,deep
მთვარის,moon
კუნძული,island
ფეხით,foot
სისტემა,system
დაკავებული,busy
ტესტი,test
ჩანაწერი,record
ნავი,boat
საერთო,common
ოქროს,gold
შესაძლებელია,possible
თვითმფრინავი,plane
ნაცვლად,stead
მშრალი,dry
გასაკვირი არ არის,wonder
სიცილი,laugh
ათასი,thousand
ჯერ,ago
ran,ran
შეამოწმეთ,check
თამაში,game
ფორმა,shape
აიგივებს,equate
ცხელი,hot
მენატრება,miss
მოუტანა,brought
სითბოს,heat
თოვლი,snow
საბურავი,tire
მოუტანს,bring
დიახ,yes
შორეული,distant
შევსება,fill
აღმოსავლეთით,east
ხატავს,paint
ენის,language
შორის,among
ერთეული,unit
ძალა,power
ქალაქი,town
ჯარიმა,fine
გარკვეული,certain
ფრენა,fly
დაეცემა,fall
გამოიწვევს,lead
ტირილი,cry
მუქი,dark
მანქანა,machine
შენიშვნა,note
დაველოდოთ,wait
გეგმა,plan
ფიგურა,figure
ვარსკვლავი,star
ყუთი,box
არსებითი სახელი,noun
სფეროში,field
დანარჩენი,rest
სწორი,correct
შეუძლია,able
ფუნტი,pound
გაკეთდა,done
სილამაზის,beauty
თვლები,drive
იდგა,stood
შეიცავს,contain
წინა,front
ასწავლოს,teach
კვირის,week
საბოლოო,final
მისცა,gave
მწვანე,green
მე,oh
სწრაფი,quick
განვითარება,develop
ოკეანეში,ocean
თბილი,warm
უფასო,free
წუთი,minute
ძლიერი,strong
სპეციალური,special
გონება,mind
უკან,behind
ნათელი,clear
კუდი,tail
წარმოების,produce
|ის ფაქტი,|,fact
