হিসাবে,as
আমি,I
তার,his
যে,that
তিনি,he
ছিল,was
জন্য,for
উপর,on
হয়,are
সঙ্গে,with
তারা,they
হতে,be
এ,at
এক,one
আছে,have
এই,this
থেকে,from
দ্বারা,by
গরম,hot
শব্দ,word
কিন্তু,but
কি,what
কিছু,some
হয়,is
এটা,it
আপনি,you
বা,or
ছিল,had
দী,the
এর,of
থেকে,to
এবং,and
একটি,a
মধ্যে,in
আমরা,we
করতে পারেন,can
আউট,out
অন্যান্য,other
ছিল,were
যা,which
কি,do
তাদের,their
সময়,time
যদি,if
অভিলাষ,will
কিভাবে,how
"তিনি বলেন,",said
একটি,an
প্রতিটি,each
বলুন,tell
না,does
সেট,set
তিন,three
চান,want
বায়ু,air
ভাল,well
এছাড়াও,also
খেলা,play
ছোট,small
শেষ,end
করা,put
হোম,home
পড়া,read
হাত,hand
পোর্ট,port
বড়,large
বানান,spell
যোগ করা,add
এমনকি,even
জমি,land
এখানে,here
অবশ্যই,must
বড়,big
উচ্চ,high
এমন,such
অনুসরণ করা,follow
আইন,act
কেন,why
জিজ্ঞাসা,ask
পুরুষ,men
পরিবর্তন,change
গিয়েছিলাম,went
আলো,light
ধরনের,kind
বন্ধ,off
প্রয়োজন,need
ঘর,house
ছবি,picture
চেষ্টা,try
আমাদের,us
আবার,again
পশু,animal
বিন্দু,point
মা,mother
বিশ্বের,world
কাছাকাছি,near
নির্মাণ,build
স্ব,self
পৃথিবী,earth
বাবা,father
কোনো,any
নতুন,new
কাজ,work
অংশ,part
গ্রহণ করা,take
পাওয়া,get
স্থান,place
তৈরি,made
বাস,live
যেখানে,where
পরে,after
ফিরে,back
সামান্য,little
শুধুমাত্র,only
বৃত্তাকার,round
মানুষ,man
বছর,year
আসেন,came
শো,show
প্রতি,every
ভাল,good
আমাকে,me
দিতে,give
আমাদের,our
অধীন,under
নাম,name
খুব,very
মাধ্যমে,through
ঠিক,just
ফর্ম,form
বাক্য,sentence
মহান,great
মনে,think
বলে,say
সাহায্য,help
কম,low
লাইন,line
পৃথক,differ
পালা,turn
কারণ,cause
অনেক,much
গড়,mean
আগে,before
পদক্ষেপ,move
অধিকার,right
ছেলে,boy
পুরাতন,old
খুব,too
একই,same
তিনি,she
