ווי,as
איך,I
זיין,his
אַז,that
ער,he
איז געווען,was
פֿאַר,for
אויף,on
זענען,are
מיט,with
זיי,they
זיין,be
אין,at
איינער,one
האָבן,have
דעם,this
פון,from
דורך,by
וואַרעם,hot
וואָרט,word
אָבער,but
וואָס,what
עטלעכע,some
איז,is
עס,it
איר,you
אָדער,or
האט,had
די,the
פון,of
צו,to
און,and
אַ,a
אין,in
מיר,we
קענען,can
אויס,out
אנדערע,other
זענען,were
וואָס,which
טאָן,do
זייער,their
צייַט,time
אויב,if
וועט,will
ווי,how
האט,said
אַן,an
יעדער,each
דערציילן,tell
טוט,does
שטעלן,set
דרייַ,three
ווילן,want
לופט,air
געזונט,well
אויך,also
שפּילן,play
קליין,small
עק,end
שטעלן,put
היים,home
לייענען,read
האַנט,hand
פּאָרט,port
גרויס,large
רעגע,spell
לייגן,add
אפילו,even
לאַנד,land
דאָ,here
מוזן,must
גרויס,big
הויך,high
אַזאַ,such
נאָכפאָלגן,follow
אַקט,act
פארוואס,why
פרעגן,ask
מענער,men
טוישן,change
געגאנגען,went
ליכט,light
מין,kind
אַוועק,off
דאַרפֿן,need
הויז,house
בילד,picture
פּרובירן,try
אונדז,us
ווידער,again
כייַע,animal
פונט,point
מוטער,mother
וועלט,world
נעבן,near
בויען,build
זיך,self
ערד,earth
פאטער,father
קיין,any
נייַ,new
אַרבעט,work
טייל,part
נעמען,take
באַקומען,get
אָרט,place
געמאכט,made
לעבן,live
ווו,where
נאָך,after
צוריק,back
ביסל,little
בלויז,only
קייַלעכיק,round
מענטש,man
יאָר,year
געקומען,came
ווייַזן,show
יעדער,every
גוט,good
מיר,me
געבן,give
אונדזער,our
אונטער,under
נאָמען,name
זייער,very
דורך,through
נאָר,just
פאָרעם,form
זאַץ,sentence
גרויס,great
טראַכטן,think
זאָגן,say
הילף,help
נידעריק,low
שורה,line
אַנדערש זייַן,differ
קערן,turn
גרונט,cause
פיל,much
מיינען,mean
איידער,before
מאַך,move
רעכט,right
יינגל,boy
אַלט,old
אויך,too
זעלביקער,same
זי,she
אַלע,all
דאָרט,there
ווען,when
אַרויף,up
נוצן,use
דיין,your
וועג,way
וועגן,about
פילע,many
דעמאָלט,then
זיי,them
שרייַבן,write
וואָלט,would
ווי,like
אַזוי,so
די,these
זי,her
לאַנג,long
מאַכן,make
זאַך,thing
זען,see
אים,him
צוויי,two
האט,has
קוקן,look
מער,more
טאָג,day
קען,could
גיין,go
קומען,come
האט,did
נומער,number
געזונט,sound
קיין,no
מערסט,most
מען,people
מייַן,my
איבער,over
וויסן,know
וואַסער,water
ווי,than
רופן,call
ערשטער,first
וואס,who
קען,may
אַראָפּ,down
זייַט,side
געווען,been
איצט,now
געפינען,find
קאָפּ,head
שטיין,stand
אייגן,own
Page,page
זאָל,should
לאַנד,country
געפונען,found
ענטפֿערן,answer
שולע,school
וואַקסן,grow
לערנען,study
נאָך,still
לערנען,learn
געוויקס,plant
דעקן,cover
עסנוואַרג,food
זון,sun
פיר,four
צווישן,between
שטאַט,state
האַלטן,keep
אויג,eye
קיינמאָל,never
לעצט,last
לאָזן,let
געדאַנק,thought
שטאָט,city
בוים,tree
קרייַז,cross
פאַרם,farm
שווער,hard
אָנהייב,start
זאל,might
געשיכטע,story
געזען,saw
ווייַט,far
ים,sea
ציען,draw
לינקס,left
שפּעט,late
לויפן,run
טאָן ניט,don’t
בשעת,while
דריקן,press
נאָענט,close
נאַכט,night
פאַקטיש,real
לעבן,life
ווייניק,few
צפון,north
בוך,book
פירן,carry
גענומען,took
וויסנשאַפֿט,science
עסן,eat
צימער,room
פרייַנד,friend
אנגעהויבן,began
געדאַנק,idea
פיש,fish
באַרג,mountain
האַלטן,stop
אַמאָל,once
באַזע,base
הערן,hear
פערד,horse
דורכשניט,cut
זיכער,sure
וואַך,watch
קאָליר,color
פּנים,face
האָלץ,wood
הויפּט,main
עפענען,open
ויסקומען,seem
צוזאַמען,together
ווייַטער,next
ווייַס,white
קינדער,children
אָנהייבן,begin
גאַט,got
גיין,walk
בייַשפּיל,example
יז,ease
פּאַפּיר,paper
גרופּע,group
שטענדיק,always
מוזיק,music
יענע,those
ביידע,both
צייכן,mark
