sebagai,as
saya,I
beliau,his
yang,that
beliau,he
adalah,was
untuk,for
pada,on
adalah,are
dengan,with
mereka,they
menjadi,be
di,at
satu,one
mempunyai,have
ini,this
daripada,from
oleh,by
panas,hot
perkataan,word
tetapi,but
apa,what
beberapa,some
adalah,is
ia,it
anda,you
atau,or
mempunyai,had
yang,the
daripada,of
kepada,to
dan,and
yang,a
dalam,in
kami,we
boleh,can
keluar,out
lain,other
adalah,were
yang,which
melakukan,do
mereka,their
masa,time
jika,if
akan,will
bagaimana,how
berkata,said
seorang,an
setiap,each
memberitahu,tell
tidak,does
set,set
tiga,three
mahu,want
udara,air
baik,well
juga,also
bermain,play
kecil,small
akhir,end
meletakkan,put
rumah,home
membaca,read
tangan,hand
pelabuhan,port
besar,large
mengeja,spell
menambah,add
walaupun,even
tanah,land
di sini,here
mesti,must
besar,big
tinggi,high
seperti,such
mengikuti,follow
tindakan,act
mengapa,why
meminta,ask
lelaki,men
perubahan,change
pergi,went
cahaya,light
jenis,kind
off,off
perlu,need
rumah,house
gambar,picture
cuba,try
kami,us
lagi,again
haiwan,animal
titik,point
ibu,mother
dunia,world
berhampiran,near
membina,build
diri,self
bumi,earth
bapa,father
apa-apa,any
baru,new
kerja,work
sebahagian,part
mengambil,take
mendapatkan,get
tempat,place
dibuat,made
hidup,live
di mana,where
selepas,after
kembali,back
kecil,little
hanya,only
pusingan,round
lelaki,man
tahun,year
datang,came
persembahan,show
setiap,every
baik,good
saya,me
memberi,give
kami,our
di bawah,under
nama,name
sangat,very
melalui,through
hanya,just
bentuk,form
hukuman,sentence
besar,great
berfikir,think
mengatakan,say
membantu,help
rendah,low
talian,line
berbeza,differ
seterusnya,turn
punca,cause
banyak,much
bermakna,mean
sebelum,before
langkah,move
betul,right
budak,boy
lama,old
terlalu,too
sama,same
dia,she
semua,all
ada,there
apabila,when
sehingga,up
penggunaan,use
anda,your
cara,way
mengenai,about
banyak,many
kemudian,then
mereka,them
menulis,write
akan,would
seperti,like
jadi,so
ini,these
beliau,her
lama,long
membuat,make
perkara,thing
lihat,see
dia,him
dua,two
mempunyai,has
melihat,look
lebih,more
hari,day
boleh,could
pergi,go
datang,come
lakukan,did
bilangan,number
bunyi,sound
ada,no
paling,most
orang,people
saya,my
lebih,over
tahu,know
air,water
daripada,than
panggilan,call
pertama,first
yang,who
boleh,may
turun,down
sebelah,side
telah,been
kini,now
mendapati,find
kepala,head
berdiri,stand
sendiri,own
laman,page
perlu,should
negara,country
didapati,found
jawapan,answer
sekolah,school
berkembang,grow
kajian,study
masih,still
belajar,learn
tumbuhan,plant
perlindungan,cover
makanan,food
matahari,sun
empat,four
antara,between
negeri,state
menjaga,keep
mata,eye
tidak pernah,never
lalu,last
mari,let
fikir,thought
bandar,city
pokok,tree
menyeberangi,cross
ladang,farm
keras,hard
permulaan,start
mungkin,might
cerita,story
saw,saw
jauh,far
laut,sea
menarik,draw
meninggalkan,left
lewat,late
jangka,run
tidak,don’t
manakala,while
akhbar,press
rapat,close
malam,night
sebenar,real
kehidupan,life
beberapa,few
utara,north
buku,book
menjalankan,carry
mengambil,took
sains,science
makan,eat
bilik,room
rakan,friend
bermula,began
idea,idea
ikan,fish
gunung,mountain
berhenti,stop
sekali,once
asas,base
mendengar,hear
kuda,horse
dipotong,cut
memastikan,sure
menonton,watch
warna,color
muka,face
kayu,wood
utama,main
terbuka,open
seolah-olah,seem
bersama-sama,together
seterusnya,next
putih,white
kanak-kanak,children
mula,begin
mendapat,got
berjalan,walk
contoh,example
meringankan,ease
kertas,paper
kumpulan,group
sentiasa,always
muzik,music
yang,those
kedua-dua,both
tanda,mark
sering,often
surat,letter
sehingga,until
batu,mile
sungai,river
kereta,car
kaki,feet
penjagaan,care
kedua,second
cukup,enough
dataran,plain
gadis,girl
biasa,usual
muda,young
bersedia,ready
atas,above
pernah,ever
merah,red
senarai,list
walaupun,though
berasa,feel
bercakap,talk
burung,bird
tidak lama lagi,soon
badan,body
anjing,dog
keluarga,family
langsung,direct
menimbulkan,pose
meninggalkan,leave
lagu,song
mengukur,measure
pintu,door
produk,product
hitam,black
pendek,short
angka,numeral
kelas,class
angin,wind
soalan,question
berlaku,happen
lengkap,complete
kapal,ship
kawasan,area
setengah,half
batuan,rock
perintah,order
api,fire
selatan,south
masalah,problem
sekeping,piece
memberitahu,told
tahu,knew
lulus,pass
sejak,since
atas,top
keseluruhan,whole
raja,king
jalan,street
inci,inch
membiak,multiply
apa-apa,nothing
kursus,course
tinggal,stay
roda,wheel
penuh,full
kuasa,force
biru,blue
objek,object
membuat keputusan,decide
permukaan,surface
dalam,deep
bulan,moon
pulau,island
kaki,foot
sistem,system
sibuk,busy
ujian,test
rekod,record
bot,boat
biasa,common
emas,gold
mungkin,possible
kapal terbang,plane
kedudukan,stead
kering,dry
tertanya-tanya,wonder
ketawa,laugh
ribu,thousand
lalu,ago
berlari,ran
semak,check
permainan,game
bentuk,shape
menyamakan,equate
panas,hot
miss,miss
dibawa,brought
haba,heat
salji,snow
tayar,tire
membawa,bring
ya,yes
jauh,distant
mengisi,fill
timur,east
cat,paint
bahasa,language
antara,among
unit,unit
kuasa,power
bandar,town
denda,fine
tertentu,certain
terbang,fly
jatuh,fall
membawa,lead
menangis,cry
gelap,dark
mesin,machine
nota,note
tunggu,wait
pelan,plan
angka,figure
bintang,star
kotak,box
kata nama,noun
bidang,field
selebihnya,rest
betul,correct
dapat,able
pound,pound
dilakukan,done
kecantikan,beauty
pemacu,drive
berdiri,stood
mengandungi,contain
hadapan,front
mengajar,teach
minggu,week
akhir,final
memberi,gave
hijau,green
oh,oh
cepat,quick
membangunkan,develop
lautan,ocean
panas,warm
percuma,free
minit,minute
kuat,strong
khas,special
fikiran,mind
di belakang,behind
jelas,clear
ekor,tail
menghasilkan,produce
fakta,fact
ruang,space
mendengar,heard
terbaik,best
jam,hour
lebih baik,better
benar,true
semasa,during
ratus,hundred
lima,five
ingat,remember
langkah,step
awal,early
memegang,hold
barat,west
tanah,ground
kepentingan,interest
mencapai,reach
cepat,fast
kata kerja,verb
menyanyi,sing
mendengar,listen
enam,six
jadual,table
perjalanan,travel
kurang,less
pagi,morning
sepuluh,ten
mudah,simple
beberapa,several
