com,as
I,I
seva,his
que,that
ell,he
era,was
per,for
en,on
són,are
amb,with
que,they
ser,be
en,at
significarà,one
tenir,have
aquest,this
des,from
per,by
calenta,hot
paraula,word
però,but
ho,what
alguns,some
és,is
el,it
vostè,you
o,or
tingut,had
la,the
d’,of
a,to
i,and
ella,a
en,in
nosaltres,we
pot,can
sortida,out
un altre,other
eren,were
que,which
fer,do
seva,their
temps,time
si,if
ho farà,will
com,how
dit,said
ocupat,an
cada,each
dir,tell
fa,does
conjunt,set
mar,three
voler,want
aire,air
bé,well
també,also
jugar,play
petit,small
fi,end
posar,put
casa,home
llegir,read
mà,hand
port,port
gran,large
lletrejar,spell
afegir,add
fins i tot,even
terra,land
aquí,here
ha,must
gran,big
alta,high
tals,such
segueixi,follow
acte,act
per què,why
preguntar,ask
homes,men
canvi,change
es va anar,went
llum,light
tipus,kind
off,off
necessitarà,need
casa,house
foto,picture
tractar,try
nosaltres,us
nou,again
animals,animal
punt,point
mare,mother
món,world
a prop,near
construir,build
acte,self
terra,earth
pare,father
qualsevol,any
nou,new
treball,work
part,part
prendre,take
aconseguir,get
lloc,place
fet,made
viure,live
on,where
després,after
esquena,back
poc,little
només,only
ronda,round
home,man
anys,year
vi,came
espectacle,show
cada,every
bona,good
em,me
donar,give
nostra,our
sota,under
nom,name
molt,very
a través,through
només,just
forma,form
frase,sentence
gran,great
pensar,think
dir,say
ajudar,help
sota,low
línia,line
diferir,differ
"al seu torn,",turn
causa,cause
molt,much
significarà,mean
abans,before
moviment,move
dret,right
nen,boy
edat,old
massa,too
mateixa,same
ella,she
tot,all
hi,there
quan,when
fins,up
ús,use
seva,your
camí,way
sobre,about
molts,many
"a continuació,",then
ells,them
escriure,write
faria,would
com,like
així,so
aquests,these
seva,her
llarg,long
fer,make
cosa,thing
veure,see
ell,him
2:00,two
té,has
buscar,look
més,more
dia,day
podia,could
anar,go
venir,come
va fer,did
nombre,number
so,sound
no,no
més,most
persones,people
el meu,my
sobre,over
saber,know
aigua,water
que,than
anomenada,call
primer,first
que,who
pot,may
baix,down
costat,side
estat,been
ara,now
trobar,find
cap,head
de peu,stand
propi,own
pàgina,page
ha,should
país,country
trobat,found
resposta,answer
escola,school
créixer,grow
estudi,study
encara,still
aprendre,learn
planta,plant
coberta,cover
aliments,food
sol,sun
saber,four
entre,between
estat,state
mantenir,keep
ull,eye
mai,never
última,last
deixar que,let
pensat,thought
ciutat,city
arbre,tree
creuar,cross
granja,farm
dur,hard
inici,start
podria,might
història,story
serra,saw
ara,far
mar,sea
dibuixar,draw
esquerra,left
tarda,late
run,run
no,don’t
mentre,while
premsa,press
prop,close
nit,night
reals,real
vida,life
pocs,few
nord,north
llibre,book
portar,carry
prendre,took
ciència,science
menjar,eat
habitació,room
amic,friend
començar,began
idea,idea
peixos,fish
muntanya,mountain
aturi,stop
un cop,once
base,base
escoltar,hear
cavall,horse
tall,cut
segur,sure
veure,watch
de color,color
cara,face
fusta,wood
principal,main
oberta,open
sembla,seem
junts,together
següent,next
blanc,white
nens,children
començar,begin
aconseguit,got
caminar,walk
exemple,example
alleujar,ease
paper,paper
grup,group
sempre,always
música,music
els,those
tant,both
marca,mark
sovint,often
carta,letter
fins,until
milla,mile
riu,river
cotxe,car
peus,feet
cura,care
segon,second
suficient,enough
pla,plain
noia,girl
habitual,usual
jove,young
llest,ready
per sobre de,above
mai,ever
vermell,red
llista,list
encara,though
sentir,feel
xerrada,talk
ocell,bird
aviat,soon
cos,body
gos,dog
família,family
directa,direct
plantejar,pose
deixar,leave
cançó,song
mesurar,measure
porta,door
producte,product
negre,black
curta,short
numeral,numeral
classe,class
vent,wind
pregunta,question
succeir,happen
completa,complete
vaixell,ship
zona,area
mitjà,half
roca,rock
fi,order
foc,fire
sud,south
problema,problem
peça,piece
dit,told
sabia,knew
passar,pass
des,since
superior,top
tot,whole
rei,king
carrer,street
polzades,inch
multiplicar,multiply
res,nothing
curs,course
quedar,stay
roda,wheel
complet,full
força,force
blau,blue
objecte,object
decidir,decide
superfície,surface
profunda,deep
lluna,moon
illa,island
peu,foot
sistema,system
ocupat,busy
prova,test
registre,record
vaixell,boat
comú,common
or,gold
possible,possible
pla,plane
lloc,stead
seca,dry
pregunto,wonder
riure,laugh
mil,thousand
fa,ago
córrer,ran
comprovar,check
joc,game
forma,shape
equiparar,equate
calenta,hot
senyoreta,miss
portat,brought
calor,heat
neu,snow
pneumàtics,tire
portar,bring
si,yes
distant,distant
omplir,fill
a l’est,east
pintar,paint
idioma,language
entre,among
unitat,unit
poder,power
ciutat,town
fina,fine
certa,certain
volar,fly
caure,fall
conduir,lead
crit,cry
fosc,dark
màquina,machine
nota,note
esperar,wait
pla de,plan
figura,figure
estrella,star
quadre,box
substantiu,noun
terreny,field
resta,rest
correcta,correct
capaç,able
lliura,pound
done,done
bellesa,beauty
unitat,drive
destacat,stood
contenir,contain
davant,front
ensenyar,teach
setmana,week
definitiva,final
va donar,gave
verd,green
oh,oh
ràpid,quick
desenvolupar,develop
oceà,ocean
calenta,warm
lliure,free
minuts,minute
fort,strong
especial,special
ment,mind
darrere,behind
clar,clear
cua,tail
produeix,produce
fet,fact
espai,space
sentit,heard
millor,best
hores,hour
millor,better
cert,true
durant,during
cent,hundred
llit,five
recordar,remember
pas,step
primerenca,early
mantenir,hold
oest,west
sòl,ground
interès,interest
arribar,reach
ràpid,fast
verb,verb
cantar,sing
escoltar,listen
passeig,six
taula,table
viatges,travel
menys,less
demà,morning
estrany,ten
simple,simple
diversos,several
vocal,vowel
cap,toward
guerra,war
establir,lay
contra,against
patró,pattern
lenta,slow
centre,center
estimar,love
persona,person
diners,money
servir,serve
apareixerà,appear
carretera,road
mapa,map
pluja,rain
regla,rule
governar,govern
halar,pull
fred,cold
avís,notice
veu,voice
energia,energy
caça,hunt
probable,probable
llit,bed
germà,brother
ou,egg
passeig,ride
cel · lular,cell
creure,believe
potser,perhaps
recollir,pick
sobtada,sudden
comptar,count
plaça,square
