катары,as
мен,I
анын,his
ошол,that
ал,he
болду,was
үчүн,for
боюнча,on
болуп саналат,are
менен,with
алар,they
болуу,be
боюнча,at
бир,one
бар,have
бул,this
чейин,from
менен,by
ысык,hot
сөз,word
бирок,but
эмне,what
кээ бир,some
болуп саналат,is
ал,it
сиз,you
же,or
бар болчу,had
тиштер,teeth
боюнча,of
үчүн,to
жана,and
бир,a
боюнча,in
биз,we
алат,can
чыккан,out
башка,other
болгон,were
кайсы,which
эмне,do
алардын,their
убакыт,time
эгер,if
болот,will
кантип,how
мындай деди:,said
бир,an
ар бир,each
айтып,tell
кылат,does
коюлган,set
үч,three
каалоо,want
аба,air
жакшы,well
дагы,also
ойноо,play
кичине,small
Бир мезгилдин акырына карата,end
коюу,put
үй,home
окуу,read
кол,hand
порт,port
чоң,large
сыйкырлоо,spell
кошуу,add
|ал тургай,|,even
жер,land
бул жерде,here
керек,must
чоң,big
бийик,high
ушундай,such
ээрчүү,follow
иш,act
неге,why
суроо,ask
эркектер,men
өзгөртүү,change
барды,went
жарык,light
түр,kind
өчүрүү,off
керек,need
үй,house
сүрөт,picture
аракет кылуу,try
бизге,us
дагы бир жолу,again
жаныбар,animal
чекит,point
эне,mother
дүйнө,world
жанында,near
куруу,build
өз алдынча башкаруу,self
жер,earth
ата,father
кандайдыр,any
жаңы,new
иш,work
бөлүк,part
кабыл алуу,take
алуу,get
орун,place
жасалган,made
жашоо,live
кайда,where
кийин,after
кайра,back
кичине,little
гана,only
тегерек,round
адам,man
жыл,year
болду,came
көрсөтүү,show
ар бир,every
жакшы,good
мага,me
берүү,give
биздин,our
астында,under
ысым,name
абдан,very
аркылуу,through
так,just
түрү,form
сүйлөм,sentence
абдан жакшы,great
ойлоо,think
айтуу,say
жардам,help
төмөн,low
сызык,line
ар кандай,differ
бурулуш,turn
себеп,cause
көп,much
деген,mean
мурун,before
жылуу,move
туура,right
бала,boy
карыган,old
дагы,too
ошондой,same
ал,she
бардык,all
жок,there
качан,when
чейин,up
колдонуу,use
сенин,your
жол,way
жөнүндө,about
көп,many
ошондо,then
аларды,them
жазуу,write
турган,would
сыяктуу,like
ушундай,so
бул,these
анын,her
узун,long
жасоо,make
буюм,thing
көрүү,see
анын,him
эки,two
элек,has
кароо,look
дагы,more
күн,day
мүмкүн,could
|барып,|,go
келген,come
кылды,did
сан,number
тыбыш,sound
жок,no
көпчүлүк,most
эл,people
менин,my
