bi,as
Mo ti,I
rẹ,his
ti,that
o si,he
je,was
fun,for
lori,on
ni o wa,are
pẹlu,with
ti won,they
ki o wa ni,be
ni,at
ọkan,one
ni,have
yi,this
lati,from
nipa,by
gbona,hot
ọrọ,word
ṣugbọn,but
kini,what
diẹ ninu awọn,some
ni,is
o,it
ti o,you
tabi,or
ní,had
awọn,the
ti awọn,of
to,to
ati ki o,and
kan,a
ni,in
a,we
le,can
jade,out
miiran,other
wọn,were
eyi ti,which
ṣe,do
wọn,their
akoko,time
ti o ba ti,if
yoo,will
Bawo,how
wi,said
ohun,an
kọọkan,each
sọ fun,tell
wo ni,does
ṣeto,set
mẹta,three
fẹ,want
air,air
daradara,well
tun,also
mu ṣiṣẹ,play
kekere,small
opin,end
fi,put
ile,home
ka,read
ọwọ,hand
ibudo,port
tobi,large
sipeli,spell
fi,add
ani,even
ilẹ,land
nibi,here
gbọdọ,must
nla,big
ga,high
iru,such
tẹle,follow
igbese,act
idi,why
beere,ask
awọn ọkunrin,men
ayipada,change
si lọ,went
ina,light
Iru,kind
pa,off
nilo,need
ile,house
aworan,picture
gbiyanju,try
wa,us
lẹẹkansi,again
eranko,animal
ojuami,point
iya,mother
aye,world
sunmọ,near
kọ,build
ara,self
aiye,earth
baba,father
eyikeyi,any
titun,new
iṣẹ,work
apakan,part
ya,take
gba,get
ibi,place
ṣe,made
gbe,live
ibi ti,where
lẹhin,after
pada,back
kekere,little
nikan,only
yika,round
eniyan,man
odun,year
wá,came
hàn,show
gbogbo,every
ti o dara,good
mi,me
fun,give
wa,our
labẹ,under
orukọ,name
gan,very
nipasẹ,through
o kan,just
fọọmu,form
gbolohun,sentence
nla,great
ro,think
sọ,say
Egba Mi O,help
kekere,low
ila,line
yato,differ
Tan,turn
fa,cause
Elo,much
túmọ,mean
ki o to,before
Gbe,move
ọtun,right
ọmọkunrin,boy
ti atijọ,old
ju,too
kanna,same
o,she
gbogbo,all
nibẹ,there
Nigbawo,when
soke,up
lilo,use
rẹ,your
ọna,way
nipa,about
ọpọlọpọ,many
ki o si,then
wọn,them
kọ,write
ṣe,would
bi,like
ki,so
wọnyi,these
rẹ,her
gun,long
ṣe,make
ohun,thing
wo,see
u,him
meji,two
ni o ni,has
wo,look
diẹ,more
ọjọ,day
le,could
lọ,go
wa,come
ṣe,did
nọmba,number
dun,sound
ko si,no
julọ,most
eniyan,people
mi,my
lori,over
mọ,know
omi,water
ju,than
ipe,call
akọkọ,first
ti o,who
le,may
si isalẹ,down
ẹgbẹ,side
ti,been
bayi,now
ri,find
ori,head
duro,stand
ti ara,own
iwe,page
yoo,should
orilẹ-ede,country
ri,found
idahun,answer
ile-iwe,school
dagba,grow
iwadi,study
