dị ka,as
m,I
ya,his
na,that
enye,he
bụ,was
n’ihi na,for
ụfọdụ,on
ma ọ bụrụ na,are
ọrụ,with
ha,they
ịbụ,be
na,at
otu,one
nwere,have
a,this
si,from
site,by
na-ekpo ọkụ,hot
okwu,word
ma,but
ihe,what
ụfọdụ,some
bụ,is
ya,it
ị,you
ma ọ bụ,or
nwere,had
na,the
nke,of
na-,to
na,and
a,a
na,in
anyị,we
ike,can
si,out
ọzọ,other
ndị,were
nke,which
eme,do
ha,their
oge,time
ma ọ bụrụ na,if
ekpe,will
otú,how
kwuru,said
ihe,an
ọ bụla,each
ịgwa,tell
ke,does
set,set
atọ,three
chọrọ,want
ikuku,air
ọma,well
na-,also
igwu egwu,play
obere,small
njedebe,end
tinye,put
n’ụlọ,home
na-agụ,read
aka,hand
ọdụ ụgbọ mmiri,port
nnukwu,large
asụpe,spell
tinye,add
ọbụna,even
ala,land
ebe a,here
ana,must
nnukwu,big
elu,high
dị,such
na-eso,follow
eme,act
ya mere,why
ịjụ,ask
ndị ikom,men
mgbanwe,change
wee,went
ìhè,light
ụdị,kind
anya,off
mkpa,need
ụlọ,house
foto,picture
na-agbalị,try
anyị,us
ọzọ,again
anụmanụ,animal
ebe,point
nne,mother
ụwa,world
nso,near
ewu,build
onwe,self
ụwa,earth
nna,father
ọ bụla,any
ọhụrụ,new
ọrụ,work
akụkụ,part
nara,take
nweta,get
ebe,place
mere,made
ndụ,live
ebe,where
mgbe,after
azụ,back
obere,little
naanị,only
gburugburu,round
nwoke,man
afọ,year
wee,came
izi,show
ọ bụla,every
mma,good
m,me
nye,give
anyị,our
n’okpuru,under
aha,name
nnọọ,very
site na,through
dị nnọọ,just
ụdị,form
ikpe,sentence
akwa,great
chere,think
na-ekwu,say
aka,help
ala,low
akara,line
iche,differ
N’aka,turn
kpatara,cause
ukwuu,much
pụtara,mean
n’ihu,before
nkwaghari,move
nri,right
nwa,boy
ochie,old
oke,too
otu,same
ọ,she
niile,all
n’ebe ahụ,there
mgbe,when
elu,up
iji,use
gị,your
ụzọ,way
banyere,about
ọtụtụ,many
mgbe ahụ,then
ha,them
dee,write
ga-,would
dị ka,like
otú,so
ndị a,these
ya,her
ogologo,long
eme ka,make
ihe,thing
ịhụ,see
ya,him
abụọ,two
nwere,has
anya,look
ọzọ,more
ụbọchị,day
ike,could
aga,go
bịa,come
mere,did
ọnụ ọgụgụ,number
ada,sound
mba,no
kacha,most
ndị mmadụ,people
m,my
n’elu,over
mara,know
mmiri,water
karịa,than
oku,call
mbụ,first
onye,who
ike,may
ala,down
n’akụkụ,side
kemgbe,been
ugbu a,now
ịchọta,find
isi,head
eguzo,stand
aka,own
peeji nke,page
kwesịrị,should
obodo,country
hụrụ,found
azịza,answer
ụlọ akwụkwọ,school
na-eto,grow
ọmụmụ,study
ka,still
ịmụta,learn
osisi,plant
mkpuchi,cover
nri,food
anyanwụ,sun
anọ,four
n’etiti,between
ala,state
na-,keep
anya,eye
mgbe,never
ikpeazụ,last
ka,let
chere,thought
obodo,city
osisi,tree
ịgafe,cross
ugbo,farm
ike,hard
mmalite,start
ike,might
akụkọ,story
ikwo,saw
anya,far
osimiri,sea
ise,draw
ekpe,left
oge,late
omume,run
emela,don’t
ebe,while
akuko,press
nso,close
abalị,night
n’ezie,real
ndụ,life
ole na ole,few
ugwu,north
akwụkwọ,book
ebu,carry
were,took
sayensị,science
eri,eat
ụlọ,room
enyi,friend
malitere,began
echiche,idea
azụ,fish
ugwu,mountain
kwụsị,stop
ozugbo,once
isi,base
hear,hear
ịnyịnya,horse
ịkpụ,cut
hụ,sure
na-ekiri,watch
agba,color
ihu,face
osisi,wood
isi,main
oghe,open
iyi,seem
ọnụ,together
ọzọ,next
ọcha,white
ụmụ,children
na-amalite,begin
wee,got
na-eje ije,walk
atụ,example
mfe,ease
akwụkwọ,paper
otu,group
mgbe nile,always
music,music
ndị,those
ma,both
akara,mark
mgbe,often
ozi,letter
ruo mgbe,until
mile,mile
osimiri,river
ụgbọ ala,car
ụkwụ,feet
nlekọta,care
nke abụọ,second
ezuru,enough
larịị,plain
nwa agbọghọ,girl
na-adị,usual
nwa,young
njikere,ready
n’elu,above
mgbe,ever
acha ọbara ọbara,red
ndepụta,list
ezie,though
na-eche,feel
okwu,talk
nnụnụ,bird
anya,soon
ozu,body
nkịta,dog
ezinụlọ,family
kpọmkwem,direct
abụrụ,pose
ahapụ,leave
song,song
ịlele,measure
ụzọ,door
ngwaahịa,product
ojii,black
obere,short
onuogugu,numeral
otu,class
