عنوان,as
من,I
خود,his
که,that
او,he
بود,was
برای,for
در,on
هستیم,are
با,with
آنها,they
بودن,be
در,at
یک,one
دارند,have
این,this
از,from
توسط,by
داغ,hot
کلمه,word
اما,but
چه,what
برخی از,some
است,is
آن,it
شما,you
و یا,or
حال,had
تر,the
از,of
به,to
و,and
دست,a
در,in
ما,we
می توانید,can
از,out
دیگر,other
بود,were
که,which
انجام,do
شان,their
زمان,time
اگر,if
خواهد شد,will
چگونه,how
گفت:,said
پا,an
هر,each
بگو,tell
میکند,does
مجموعه,set
سه,three
می خواهم,want
هوا,air
به خوبی,well
همچنین,also
بازی,play
کوچک,small
پایان,end
قرار دادن,put
خانه,home
بهعنوان,read
دست,hand
بندر,port
بزرگ,large
طلسم,spell
اضافه,add
حتی,even
زمین,land
اینجا,here
باید,must
بزرگ,big
بالا,high
از جمله,such
به دنبال,follow
عمل,act
به همین دلیل,why
بپرسید,ask
مردها,men
تغییر,change
رفت,went
نور,light
نوع,kind
خاموش,off
نیاز,need
خانه,house
تصویر,picture
سعی کنید,try
ما,us
دوباره,again
حیوانات,animal
نقطه,point
مادر,mother
جهان,world
در نزدیکی,near
ساخت,build
خود,self
زمین,earth
پدر,father
هر,any
جدید,new
کار,work
بخش,part
را,take
دریافت,get
محل,place
ساخته شده,made
زنده,live
که در آن,where
پس از,after
به عقب,back
کمی,little
تنها,only
دور,round
مرد,man
سال,year
آمد,came
نمایش,show
هر,every
خوب,good
به من,me
را,give
ما,our
در,under
نامونام,name
بسیار,very
از طریق,through
فقط,just
فرم,form
حکم,sentence
بزرگ,great
فکر کردن,think
می گویند,say
کمک,help
کم,low
خط,line
متفاوت,differ
به نوبه خود,turn
علت,cause
بسیار,much
متوسط,mean
قبل,before
حرکت,move
راست,right
پسر,boy
قدیمی,old
هم,too
همان,same
او,she
همه,all
وجود دارد,there
وقتی که,when
بالا,up
استفاده,use
خود را,your
راه,way
در مورد,about
بسیاری از,many
پس از آن,then
آنها را,them
نوشتن,write
را,would
مانند,like
تا,so
اینها,these
او,her
طولانی,long
را,make
چیزی که,thing
ببینید,see
او,him
دو,two
دارد,has
نگاه,look
تر,more
روز,day
می تواند,could
به,go
آمده,come
انجام,did
تعداد,number
صدا,sound
هیچ,no
بیشترین,most
مردم,people
من,my
روی,over
می دانم,know
اب,water
نسبت به,than
تماس,call
اولین,first
که,who
ممکن است,may
پایین,down
سمت,side
بوده,been
ساعت,now
پیدا کردن,find
سر,head
ایستادن,stand
خود,own
صفحه,page
باید,should
