мисли,as
ман,I
вай,his
он,that
вай,he
буд,was
барои,for
ба,on
доранд,are
аз,with
онҳо,they
будан,be
дар,at
як,one
доранд,have
ин,this
аз,from
бо,by
гарм,hot
сухан,word
аммо,but
чӣ,what
баъзе,some
|аст,|,is
ин,it
шумо,you
ё,or
|буд,|,had
дар,the
аз,of
ба,to
ва,and
як,a
дар,in
мо,we
метавонад,can
берун аз,out
дигар,other
буданд,were
кадом,which
кор,do
онҳо,their
вақт,time
агар,if
|хоҳад,|,will
чӣ хел,how
гуфт:,said
як,an
ҳар як,each
|мегӯям,|,tell
кунад,does
маҷмӯи,set
се,three
мехоҳанд,want
ҳаво,air
хуб,well
ҳамчунин,also
бозӣ,play
майда,small
поён,end
гузошта,put
хона,home
хондан,read
даст,hand
бандаргоҳ,port
калон,large
насабатонро,spell
илова кардан,add
ҳатто,even
замин,land
ин ҷо,here
бояд,must
калон,big
баланд,high
монанди,such
пайравӣ,follow
амал,act
чаро,why
пурсидан,ask
мардум,men
иваз,change
рафт,went
сабук,light
навъ,kind
хомӯш кардан,off
бояд,need
хона,house
расм,picture
кӯшиш,try
мо,us
аз нав,again
ҳайвон,animal
нуқтаи,point
модар,mother
Ҷаҳон,world
наздики,near
сохтан,build
худ-,self
замин,earth
падар,father
ҳар як,any
нав,new
кор,work
қисми,part
мегирад,take
гирифтан,get
ҷои,place
дод,made
зинда,live
ки дар он,where
баъд аз,after
бозгашт,back
хурд,little
танҳо,only
гирд,round
одам,man
сол,year
омад,came
Шоу,show
ҳар,every
хуб,good
ба ман,me
додан,give
мо,our
зери,under
ном,name
бисёр,very
ба воситаи,through
танҳо,just
шакл,form
ҳукми суд,sentence
калон,great
фикр,think
гуфтан,say
кӯмак,help
паст,low
хати,line
фарқ,differ
навбати,turn
сабаб,cause
хеле,much
маъно,mean
пеш аз,before
ҳаракат,move
дуруст,right
писарбача,boy
кӯҳна,old
аз ҳад зиёд,too
якхела,same
вай,she
ҳама,all
он ҷо,there
кай,when
то,up
истифода бурдан,use
шумо,your
роҳ,way
дар бораи,about
бисёр,many
баъд,then
онҳо,them
навиштан,write
розй,would
мисли,like
ҳамин тавр,so
онҳо,these
вай,her
тӯлонӣ,long
кунад,make
чиз,thing
дидан,see
вай,him
ду,two
дорад,has
нигоҳ,look
бештар,more
рӯз,day
метавонад,could
рафтан,go
омад,come
кард,did
шумора,number
садо,sound
нест,no
аксари,most
мардум,people
аз ман,my
дар болои,over
донистан,know
об,water
нисбат ба,than
занг задан,call
аввал,first
кӣ,who
май,may
поён,down
тараф,side
шуд,been
ҳозир,now
ёфт,find
сар,head
истодан,stand
худ,own
саҳифа,page
бояд,should
кишвар,country
пайдо,found
ҷавоби,answer
мактаб,school
рӯёнидем,grow
омӯзиши,study
то ҳол,still
омӯхтан,learn
растанӣ,plant
Сарпӯши,cover
таъом,food
офтоб,sun
чаҳор,four
миёни,between
давлат,state
доштан,keep
чашм,eye
ҳаргиз,never
охирин,last
бигзор,let
фикр,thought
шаҳр,city
дарахт,tree
убур,cross
ферма,farm
мушкил,hard
оѓоз,start
мабодо,might
ошёна,story
р,saw
дур,far
баҳр,sea
кашидан,draw
чап,left
дер,late
давидан,run
накунед,don’t
ҳол он,while
матбуот,press
наздик,close
шаб,night
воқеии,real
зиндагӣ,life
якчанд,few
шимол,north
китоб,book
анҷом,carry
|гирифта,|,took
илм,science
хӯрдан,eat
хона,room
дугона,friend
сар,began
идеяи,idea
моҳӣ,fish
кӯҳ,mountain
ист,stop
бор,once
база,base
|мешунавед,|,hear
асп,horse
|набуред,|,cut
ҳосил,sure
тамошо кардан,watch
ранг,color
рӯй,face
дарахт,wood
асосӣ,main
кушодан,open
назар,seem
ҳамроҳ,together
баъдӣ,next
сафед,white
кӯдакон,children
оғоз,begin
гирифта,got
рафтан,walk
мисол,example
