bezala,as
I,I
bere,his
duten,that
zuen,he
izan zen,was
for,for
an,on
daude,are
Honekin,with
dute,they
izan,be
at,at
bat,one
dute,have
honetan,this
tik,from
arabera,by
hot,hot
hitza,word
baina,but
zer,what
batzuk,some
da,is
berau,it
you,you
edo,or
izan,had
du,the
of,of
arte,to
eta,and
a,a
in,in
dugu,we
ahal,can
out,out
beste,other
ziren,were
bertan,which
egin,do
beren,their
denbora,time
bada,if
izango,will
nola,how
esan,said
baten,an
bakoitzak,each
esango,tell
ez du,does
set,set
hiru,three
nahi,want
aire,air
ondo,well
halaber,also
jolastu,play
txiki,small
end,end
jarri,put
hasiera,home
irakurri,read
eskuko,hand
portuko,port
handi,large
ortografia,spell
gehitu,add
are,even
lurrak,land
hemen,here
muztioa,must
big,big
handiko,high
"hala nola,",such
jarraitu,follow
ekintza,act
zergatik,why
eskatu,ask
gizonak,men
aldaketa,change
joan,went
argia,light
nolako,kind
off,off
behar,need
etxea,house
argazki,picture
saiatu,try
gurekin,us
berriro,again
animalia,animal
puntua,point
amak,mother
munduan,world
gertu,near
eraikitzeko,build
auto,self
lurra,earth
aita,father
edozein,any
berria,new
lana,work
part,part
hartu,take
lortu,get
leku,place
egin,made
bizi,live
non,where
ondoren,after
atzera,back
apur,little
bakarrik,only
txandan,round
man,man
urteko,year
dugunik,came
show,show
behin,every
ona,good
me,me
eman,give
gure,our
pean,under
izena,name
oso,very
bidez,through
besterik,just
formulario,form
Gogoratu,sentence
handia,great
uste,think
esan,say
lagun,help
txikia,low
line,line
datoz,differ
txanda,turn
kausa,cause
askoz,much
esan nahi,mean
aurretik,before
mugimendu,move
eskuineko,right
mutiko,boy
zaharra,old
too,too
bera,same
zuen,she
guztiak,all
ez,there
denean,when
sortu,up
erabilera,use
zure,your
era,way
buruz,about
asko,many
Orduz,then
horiek,them
idatzi,write
iba,would
bezala,like
"beraz,",so
horiek,these
bere,her
luzea,long
egiteko,make
gauza,thing
ikusi,see
zion,him
bi,two
ditu,has
begiratu,look
gehiago,more
egun,day
Could,could
joan,go
zatoz,come
egin,did
zenbakia,number
soinua,sound
no,no
gehien,most
jende,people
nire,my
baino gehiago,over
jakingo,know
ura,water
baino,than
deia,call
lehenengoa,first
nor,who
