njengoba,as
I,I
wakhe,his
ukuthi,that
yena,he
kwaba,was
ngoba,for
on,on
kukhona,are
nge,with
bona,they
kube,be
at,at
eyodwa,one
abe,have
le,this
kusuka,from
by,by
esishisayo,hot
igama,word
kodwana,but
lokho,what
Kwezinye,some
kuyinto,is
it,it
wena,you
noma,or
kwadingeka,had
lo,the
of,of
kuya,to
futhi,and
a,a
in,in
thina,we
okusemandleni,can
ukuphuma,out
ezinye,other
babengamadoda,were
okuyinto,which
enza,do
yabo,their
nesikhathi,time
uma,if
kuthanda,will
indlela,how
uthe,said
an,an
ngamunye,each
ukutshela,tell
enza,does
setha,set
amathathu,three
bafuna,want
air,air
kahle,well
futhi,also
udlale,play
amancane,small
Ukuphela,end
abeke,put
Ikhaya,home
funda,read
Isandla,hand
echwebeni,port
ende,large
luzosho,spell
ukwengeza,add
yebo,even
Izwe,land
lapha,here
kumele,must
enkulu,big
high,high
enjalo,such
ukulandela,follow
isenzo,act
kungani,why
cela,ask
amadoda,men
ushintsho,change
waya,went
Ukukhanya,light
uhlobo,kind
off,off
badinga,need
indlu,house
yendaba,picture
sizame,try
nathi,us
futhi,again
animal,animal
phuzu,point
umama,mother
umhlaba,world
tsini,near
ukwakha,build
wokuzilimaza,self
emhlabeni,earth
Ubaba,father
yisiphi,any
omusha,new
Umsebenzi,work
okuyingxenye,part
kuthathe,take
uthole,get
indawo,place
ezenziwe,made
siphile,live
lapho,where
emva,after
back,back
kancane,little
kodwa,only
nxazonke,round
man,man
ngonyaka,year
weza,came
bonisa,show
njalo,every
okuhle,good
me,me
pha,give
ethu,our
ngaphansi,under
Igama,name
kakhulu,very
ngokusebenzisa,through
nje,just
ifomu,form
uhlamvu,sentence
okukhulu,great
acabange,think
bathi,say
usize,help
ongaphakeme,low
line,line
ihluke,differ
baphendukela,turn
kwesizathu,cause
okuningi,much
asho,mean
ngaphambi,before
ukuthutha,move
kwesokudla,right
mfana,boy
endala,old
futhi,too
efanayo,same
yena,she
konke,all
khona,there
lapho,when
up,up
ukusetshenziswa,use
sakho,your
Indlela,way
mayelana,about
abaningi,many
ke,then
nabo,them
ukubhala,write
belungafica,would
like,like
kanjalo,so
la,these
wakhe,her
eside,long
ukwenza,make
Into,thing
bheka,see
naye,him
ezimbili,two
ine,has
bhekani,look
ngaphezulu,more
Usuku,day
okusemandleni,could
hamba,go
uze,come
wenza,did
Inombolo,number
kuzwakale,sound
akukho,no
iningi,most
Abantu,people
yami,my
phezu,over
bazi,know
kwamanzi,water
kunalokho,than
call,call
okokuqala,first
ngubani,who
may,may
phasi,down
side,side
kwaba,been
Manje,now
thola,find
Ikhanda,head
nime,stand
siqu,own
page,page
kufanele,should
izwe,country
wathola,found
Impendulo,answer
esikoleni,school
ukhule,grow
Ukutadisha,study
namanje,still
ufunde,learn
plant,plant
embesa,cover
ngokudla,food
sun,sun
ezine,four
emkhatsini,between
isimo,state
qhubeka,keep
iso,eye
bonaze,never
okokugcina,last
ake,let
bacabanga,thought
dolobha,city
isihlahla,tree
ukuwela,cross
ipulazi,farm
kanzima,hard
isiqalo,start
izikhwepha,might
Indaba,story
okwabonwa,saw
le,far
ulwandle,sea
udwebe,draw
kwesokunxele,left
sekwephuzile,late
sigijime,run
ungenzi,don’t
ngenkathi,while
cindezela,press
ngokuminyanisa,close
ebusuku,night
kwangempela,real
kuphila,life
ambalwa,few
enyakatho,north
Incwadi,book
athwale,carry
wathatha,took
isayensi,science
udle,eat
Igumbi,room
umngani,friend
waqala,began
umqondo,idea
izinhlanzi,fish
ntaba,mountain
ima,stop
kanye,once
isiza,base
zwa,hear
ihhashi,horse
ukusika,cut
isiqiniseko,sure
qaphela,watch
Umbala,color
Ubuso,face
izinkuni,wood
eziyinhloko,main
evulekile,open
babonakala,seem
ndawonye,together
olandelayo,next
elimhlophe,white
izingane,children
uqale,begin
wavuka,got
uhambe,walk
Isibonelo,example
ekudambiseni,ease
ephepheni,paper
iqoqo,group
njalo,always
umculo,music
nalabo,those
kokubili,both
uphawu,mark
ngokuvamile,often
incwadi,letter
kuze,until
lwamakhilomitha,mile
emfuleni,river
Imoto,car
izinyawo,feet
ukunakekelwa,care
kwesibili,second
ngokwanele,enough
ithafa,plain
ntombazane,girl
evamile,usual
young,young
ngomumo,ready
ngenhla,above
njalo,ever
obomvu,red
Uhlu,list
noma,though
bazizwa,feel
inkulumo,talk
nyoni,bird
Ngokushesha,soon
Umzimba,body
inja,dog
umndeni,family
ngqo,direct
abalona,pose
ushiye,leave
song,song
ukulinganisa,measure
Umnyango,door
umkhiqizo,product
omnyama,black
okufutshane,short
inani,numeral
ikilasi,class
ovunguzayo,wind
Umbuzo,question
kwenzeke,happen
kuqedile,complete
Umkhumbi,ship
indawo,area
isigamu,half
idwala,rock
oda,order
umlilo,fire
