minangka,as
aku,I
kang,his
sing,that
piyambakipun,he
ana,was
kanggo,for
ing,on
sing,are
karo,with
padha,they
dadi,be
ing,at
siji,one
duwe,have
iki,this
saka,from
dening,by
panas,hot
tembung,word
nanging,but
apa,what
sawetara,some
punika,is
iku,it
sampeyan,you
utawa,or
wis,had
ing,the
saka,of
kanggo,to
lan,and
sing,a
ing,in
kita,we
bisa,can
metu,out
liyane,other
padha,were
kang,which
apa,do
sing,their
wektu,time
yen,if
bakal,will
carane,how
ngandika,said
lan,an
saben,each
ngomong,tell
ora,does
pesawat,set
telung,three
pengin,want
udhara,air
uga,well
uga,also
muter,play
cilik,small
mburi,end
sijine,put
ngarep,home
maca,read
tangan,hand
port,port
gedhe,large
Nulis,spell
nambah,add
malah,even
tanah,land
kene,here
kudu,must
amba,big
dhuwur,high
kayata,such
tindakake,follow
tumindak,act
kok,why
takon,ask
wong,men
pangowahan,change
tindak,went
cahya,light
jenis,kind
mati,off
kudu,need
house,house
gambar,picture
nyoba,try
kita,us
maneh,again
kewan,animal
titik,point
ibune,mother
donya,world
cedhak,near
mbangun,build
poto,self
bumi,earth
rama,father
sembarang,any
anyar,new
karya,work
part,part
njupuk,take
njaluk,get
Panggonan,place
digawe,made
manggon,live
ngendi,where
sawise,after
bali,back
sethitik,little
mung,only
babak,round
wong,man
taun,year
teka,came
gambar,show
saben,every
apik,good
kula,me
menehi,give
kita,our
ing,under
jeneng,name
banget,very
liwat,through
mung,just
wangun,form
ukara,sentence
gedhe,great
mikir,think
ngomong,say
bantuan,help
kurang,low
baris,line
beda-beda,differ
siji,turn
sabab,cause
akeh,much
tegese,mean
sadurunge,before
pamindhahan,move
tengen,right
cah lanang,boy
lawas,old
banget,too
padha,same
dheweke,she
kabeh,all
ana,there
nalika,when
munggah,up
nggunakake,use
Panjenengan,your
cara,way
babagan,about
akeh,many
banjur,then
wong,them
nulis,write
ngatur,would
kaya,like
supaya,so
iki,these
dheweke,her
dawa,long
nggawe,make
bab,thing
ndeleng,see
wong,him
loro,two
wis,has
katon,look
liyane,more
dina,day
bisa,could
pindhah,go
teka,come
iya,did
nomer,number
muni,sound
ora,no
paling,most
wong,people
sandi,my
liwat,over
ngerti,know
banyu,water
saka,than
telpon,call
pisanan,first
sing,who
bisa,may
mudhun,down
sisih,side
wis,been
saiki,now
nemokake,find
sirah,head
ngadeg,stand
dhewe,own
kaca,page
ngirim,should
negara,country
ketemu,found
jawaban,answer
sekolah,school
tuwuh,grow
sinau,study
isih,still
sinau,learn
tanduran,plant
tutup,cover
pangan,food
srengenge,sun
papat,four
antarane,between
negara,state
tetep,keep
mripat,eye
tau,never
pungkasan,last
supaya,let
panginten,thought
kutha,city
wit,tree
nglintasi,cross
farm,farm
hard,hard
wiwitan,start
bisa uga,might
crita,story
saw,saw
adoh,far
segara,sea
tarik,draw
ngiwa,left
pungkasan,late
roto,run
ora,don’t
nalika,while
penet,press
cedhak,close
wengi,night
nyata,real
urip,life
sawetara,few
lor,north
buku,book
nindakake,carry
njupuk,took
ilmu,science
mangan,eat
kamar,room
kanca,friend
wiwit,began
idea,idea
iwak,fish
gunung,mountain
mungkasi,stop
sapisan,once
dasar,base
krungu,hear
jaran,horse
Motong,cut
manawa,sure
nonton,watch
werna,color
pasuryan,face
kayu,wood
utama,main
mbukak,open
koyone,seem
bebarengan,together
sabanjure,next
putih,white
anak,children
miwiti,begin
tak,got
lumaku,walk
tuladha,example
ease,ease
kertas,paper
klompok,group
tansah,always
music,music
sing,those
loro,both
tandha,mark
asring,often
huruf,letter
nganti,until
mil,mile
kali,river
montor,car
kaki,feet
care,care
kapindho,second
cukup,enough
kosong,plain
prawan,girl
biasanipun,usual
enom,young
siap,ready
ndhuwur,above
tau,ever
abang,red
dhaftar,list
sanadyan,though
aran,feel
Dhiskusi,talk
manuk,bird
rauh,soon
awak,body
asu,dog
kulawarga,family
langsung,direct
nuduhke,pose
ninggalake,leave
song,song
ngukur,measure
lawang,door
produk,product
ireng,black
short,short
angka,numeral
kelas,class
angin,wind
Pitakonan,question
kelakon,happen
lengkap,complete
kapal,ship
area,area
setengah,half
watu,rock
supaya,order
geni,fire
kidul,south
masalah,problem
Piece,piece
marang,told
sumurup,knew
pass,pass
wiwit,since
ndhuwur,top
kabèh,whole
king,king
werna,street
inch,inch
Multiply,multiply
boten,nothing
mesthi,course
tetep,stay
setir,wheel
lengkap,full
pasukan,force
biru,blue
obyek,object
arep,decide
lumahing,surface
jero,deep
rembulan,moon
pulo,island
mlaku,foot
sistem,system
sibuk,busy
test,test
rekaman,record
baita,boat
umum,common
emas,gold
bisa,possible
bidang,plane
nggentosi,stead
garing,dry
wonder,wonder
ngguyu,laugh
ewu,thousand
ago,ago
mlayu,ran
mriksa,check
permainan,game
wangun,shape
equate,equate
panas,hot
miss,miss
nggawa,brought
panas,heat
salju,snow
ban,tire
nggawa,bring
ya,yes
adoh,distant
isi,fill
wétan,east
Paint,paint
basa,language
antarane,among
unit,unit
daya,power
kutha,town
nggoleki,fine
tartamtu,certain
fly,fly
tiba,fall
mimpin,lead
mewek,cry
peteng,dark
machine,machine
cathetan,note
ngenteni,wait
rencana,plan
tokoh,figure
lintang,star
kothak,box
tembung,noun
lapangan,field
liyane,rest
bener,correct
bisa,able
pound,pound
wis,done
kaendahan,beauty
drive,drive
jumeneng,stood
ngemot,contain
ngarep,front
mulang,teach
minggu,week
pungkasan,final
marang,gave
ijo,green
oh,oh
cepet,quick
berkembang,develop
segara,ocean
anget,warm
free,free
menit,minute
kuwat,strong
khusus,special
atine,mind
konco,behind
cetha,clear
buntut,tail
gawé,produce
kasunyatan,fact
papan,space
krungu,heard
paling,best
jam,hour
luwih apik,better
bener,true
sak,during
atus,hundred
limang,five
elinga,remember
langkah,step
awal,early
terus,hold
kulon,west
lemah,ground
kapentingan,interest
tekan,reach
cepet,fast
kriyo,verb
sing,sing
ngrungokake,listen
enem,six
Tabel,table
travel,travel
kurang,less
esuk,morning
sepuluh,ten
prasaja,simple
sawetara,several
aksara,vowel
menyang,toward
perang,war
lay,lay
marang,against
pola,pattern
alon,slow
tengah,center
tresna,love
wong,person
dhuwit,money
ngawula,serve
katon,appear
dalan,road
peta,map
udan,rain
aturan,rule
mrentah,govern
narik,pull
kadhemen,cold
kabar,notice
swara,voice
energi,energy
goleki,hunt
kemungkinan,probable
amben,bed
adik,brother
endhog,egg
kulo,ride
sel,cell
pracaya,believe
mbok menawa,perhaps
Pick,pick
dadakan,sudden
Count,count
kothak,square
alesan,reason
dawa,length
makili,represent
gambar,art
subyek,subject
wilayah,region
ukuran,size
beda-beda,vary
dumunung,settle
nganggo,speak
bobot,weight
umum,general
Ès,ice
prakara,matter
bunder,circle
pasangan,pair
kalebu,include
dibagi,divide
syllable,syllable
felt,felt
grand,grand
werni,ball
durung,yet
gelombang,wave
nyelehake,drop
jantung,heart
aku,am
saiki,present
heavy,heavy
tari,dance
engine,engine
posisi,position
lengen,arm
sudhut,wide
sail,sail
materi,material
sekedhik,fraction
alas,forest
njagong,sit
lomba,race
jendhela,window
nyimpen,store
panas,summer
Sepur,train
turu,sleep
mbuktekaken,prove
Lone,lone
wentis,leg
ngleksanani,exercise
tembok,wall
nyekel,catch
gunung,mount
pengin,wish
langit,sky
Papan,board
bungah,joy
mangsa,winter
agangan,sat
ditulis,written
alam bébas,wild
instrument,instrument
katahan,kept
kaca,glass
suket,grass
cow,cow
proyek,job
pinggiran,edge
tandha,sign
riko,visit
kepungkur,past
alus,soft
fun,fun
padhang,bright
gas,gas
cuaca,weather
sasi,month
yuta,million
metokake,bear
Rampung,finish
seneng,happy
Mugi,hope
kembang,flower
nglambeni,clothe
aneh,strange
ical,gone
perdagangan,trade
melodi,melody
trip,trip
kantor,office
nampa,receive
saurutan,row
tutuk,mouth
pas,exact
simbol,symbol
mati,die
paling,least
alangan,trouble
bengok,shout
kajaba,except
wrote,wrote
winih,seed
Nada,tone
nggabungake,join
suggest,suggest
resik,clean
break,break
Lady,lady
yard,yard
munggah,rise
ala,bad
jotosan,blow
lenga,oil
getih,blood
demek,touch
tansaya,grew
sen,cent
nyampur,mix
tim,team
kabel,wire
biaya,cost
ilang,lost
coklat,brown
nyandhang,wear
Taman,garden
witjaksono,equal
dikirim,sent
milih,choose
ambruk,fell
pas,fit
mili,flow
padha,fair
bank,bank
ngumpulake,collect
nyimpen,save
kontrol,control
desimal,decimal
