로,as
나는,I
그의,his
그,that
그,he
했다,was
에 대한,for
에,on
아르,are
와,with
그들,they
있다,be
에,at
일,one
이,have
이,this
부터,from
에 의해,by
뜨거운,hot
단어,word
하지만,but
무엇,what
다소,some
이다,is
그,it
당신,you
또는,or
했다,had
에,the
의,of
에,to
과,and
이,a
에,in
우리,we
수,can
아웃,out
다른,other
했다,were
하는,which
할,do
자신의,their
시간,time
면,if
것,will
방법,how
말했다,said
이,an
각,each
이야기,tell
하지,does
세트,set
세,three
필요,want
공기,air
잘,well
또한,also
재생,play
작은,small
끝,end
넣어,put
홈,home
읽기,read
손,hand
포트,port
큰,large
철자,spell
추가,add
도,even
땅,land
여기,here
해야,must
큰,big
높은,high
이러한,such
따라,follow
행위,act
이유,why
문의,ask
남자,men
변경,change
갔다,went
빛,light
종류,kind
오프,off
필요가있다,need
집,house
사진,picture
시험,try
우리,us
다시,again
동물,animal
포인트,point
어머니,mother
세계,world
가까운,near
구축,build
자기,self
지구,earth
아버지,father
모든,any
새로운,new
일,work
일부,part
소요,take
도착,get
장소,place
만든,made
살고있다,live
어디에,where
후,after
다시,back
작은,little
만,only
둥근,round
사람,man
년,year
온,came
쇼,show
모든,every
좋은,good
나를,me
제공,give
우리의,our
아래의,under
이름,name
대단히,very
를 통해,through
단지,just
양식,form
문장,sentence
큰,great
생각,think
말,say
도움,help
낮은,low
온라인,line
차이,differ
회전,turn
원인,cause
많은,much
의미,mean
이전,before
움직임,move
바로,right
소년,boy
늙은,old
너무,too
동일,same
그녀,she
모든,all
그곳에,there
때,when
올라,up
사용,use
당신의,your
방법,way
에 대한,about
많은,many
다음,then
그,them
쓰기,write
것,would
같은,like
그래서,so
이들,these
그녀의,her
긴,long
확인,make
일,thing
참조,see
그,him
두,two
이,has
봐,look
더,more
일,day
수,could
이동,go
올,come
한,did
수,number
소리,sound
없음,no
가장,most
사람들,people
내,my
이상,over
알고,know
물,water
보다,than
통화,call
첫째,first
사람,who
수도,may
아래로,down
측면,side
하고,been
지금,now
발견,find
머리,head
서,stand
자신의,own
페이지,page
해야,should
