sida,as
ayaan,I
uu,his
in,that
uu,he
ahaa,was
for,for
on,on
waa,are
la,with
ay,they
noqon,be
at,at
mid ka mid,one
leeyihiin,have
this,this
laga bilaabo,from
by,by
kulul,hot
erayga,word
laakiin,but
waxa,what
qaar ka mid ah,some
waa,is
waxa,it
aad,you
ama,or
lahayd,had
ka,the
ah,of
si ay u,to
iyo,and
a,a
in,in
waxaan,we
awood,can
out,out
kale,other
jiray,were
taas oo,which
samayn,do
ay,their
waqtiga,time
haddii,if
dardaaran,will
sida,how
ayuu yiri,said
ah,an
kasta,each
sheeg,tell
ma,does
set,set
saddex,three
doonaysid in,want
hawada,air
sidoo,well
sidoo kale,also
ciyaaro,play
yar,small
dhamaadka,end
dhigay,put
guriga,home
akhriyi,read
gacanta,hand
dekedda,port
waaweyn,large
muddo,spell
ku dar,add
xataa,even
dhulka,land
halkan,here
waa in,must
weyn,big
sare,high
noocaas ah,such
raacaan,follow
fal,act
sababta,why
weydii,ask
ragga,men
isbedelka,change
u galay,went
nalka,light
nooca,kind
fasax,off
u baahan,need
guriga,house
sawir,picture
isku day,try
us,us
mar kale,again
xoolaha,animal
dhibcood,point
hooyo,mother
adduunka,world
dhow,near
dhiso,build
self,self
dhulka,earth
aabaha,father
wax,any
cusub,new
shaqada,work
qayb ka mid,part
qaadato,take
heli,get
meel,place
sameeyey,made
ku nooshahay,live
halkaas oo,where
ka dib,after
back,back
yar,little
kaliya,only
wareega,round
nin,man
sano,year
yimid,came
show,show
kasta,every
wanaag,good
ii,me
siin,give
our,our
under,under
magaca,name
aad u,very
iyada oo,through
kaliya,just
foomka,form
xukunka,sentence
weyn,great
u malaynayso,think
dheh,say
caawin,help
hooseeyo,low
line,line
kala duwan,differ
markooda,turn
sababta,cause
badan,much
macnaheedu,mean
ka hor inta,before
dhaqaaqo,move
xaq u,right
wiil,boy
jir,old
sidoo kale,too
isla,same
iyada,she
dhan,all
waxaa,there
marka,when
ilaa,up
isticmaalka,use
aad,your
hab,way
ku saabsan,about
badan,many
markaas,then
iyaga oo,them
qori,write
lahaa,would
sida,like
si,so
waxay,these
iyada,her
dheer,long
sameeyo,make
wax,thing
eeg,see
isaga,him
laba,two
waxay leedahay,has
fiiri,look
dheeraad ah,more
maalin,day
kari,could
tagaan,go
yimaado,come
yeeleen,did
lambarka,number
dhawaaqu,sound
no,no
ugu,most
dadka,people
aan,my
ka badan,over
ogahay,know
biyaha,water
ka badan,than
wac,call
marka hore,first
kuwaas oo,who
waxaa laga yaabaa,may
hoos,down
kooxda,side
ahaa,been
hadda,now
ka heli,find
madaxa,head
taagan,stand
gaarka ah,own
bogga,page
waa in,should
dalka,country
helay,found
jawaabta,answer
dugsiga,school
koraan,grow
daraasad,study
weli,still
bartaan,learn
warshad,plant
dabool,cover
cunto,food
qorraxda,sun
afar,four
ka dhexeeya,between
state,state
hayn,keep
indhaha,eye
marnaba,never
ee la soo dhaafay,last
ha,let
fikirka,thought
magaalada,city
geed,tree
gudbaan,cross
beeraha,farm
adag,hard
bilowga,start
itaal,might
sheeko,story
miinshaar,saw
Ilaa hadda,far
badda,sea
sawiraan,draw
ka tagay,left
dabayaaqadii,late
orod,run
sameeyaan ma,don’t
halka,while
-saxaafadeed,press
dhow,close
habeen,night
dhabta ah,real
nolosha,life
yar,few
waqooyiga,north
buugga,book
qaado,carry
qaaday,took
sayniska,science
cunin,eat
qolka,room
saaxiib,friend
bilaabeen,began
fikrad,idea
kalluunka,fish
buur,mountain
joojin,stop
mar,once
saldhig,base
bay maqlaan,hear
faras,horse
jaris,cut
Hubi in,sure
daawado,watch
midabka,color
weji,face
alwaax,wood
main,main
furan,open
muuqdaan,seem
wada,together
soo socda,next
cad,white
carruurta,children
bilaabaan,begin
helay,got
socon,walk
tusaale ahaan,example
sahal,ease
warqad,paper
kooxda,group
had iyo jeer,always
music,music
kuwa,those
labada,both
calaamadda,mark
badanaa,often
warqad,letter
ilaa,until
mile,mile
webi,river
baabuur,car
