جيئن,as
مون کي,I
سندس,his
ته,that
هن چيو ته,he
هو,was
لاء,for
تي,on
آهن,are
سان,with
اھي,they
ٿي,be
تي,at
هڪ,one
آهي,have
هن,this
کان,from
جي,by
گرم,hot
لفظ,word
پر,but
ڇا,what
ڪجهه,some
آهي,is
ان,it
توهان,you
يا,or
پيو,had
جي,the
جي,of
جي طرف,to
۽,and
هڪ,a
۾,in
اسان,we
سگهن ٿا,can
ٻاهر,out
ٻئي,other
ويا,were
ڪھڙي,which
ٿا,do
سندن,their
وقت,time
ته,if
ٿيندو,will
ڪيئن,how
چيو,said
هڪ,an
هر,each
ٻڌايو,tell
ٿو,does
مقرر,set
ٽي,three
چاهي ٿو,want
هوائي,air
چڱي,well
به,also
راند,play
ننڍي,small
آخر ۾,end
وجهي,put
گهر,home
پڙهڻ,read
هٿ,hand
پورٽ,port
وڏي,large
ڪيلن مان,spell
شامل,add
به,even
ملڪ,land
هتي,here
هجي,must
وڏي,big
تيز,high
اهڙي,such
جي تابعداري ڪريو,follow
ايڪٽ,act
ڇو,why
پڇا ڳاڇا,ask
ماڻھن کي,men
تبديلي,change
ويو,went
نور,light
قسم,kind
بند,off
ضرورت,need
گھر,house
تصوير,picture
ڪوشش ڪر,try
اسان,us
ٻيهر,again
حيوان,animal
نڪتو,point
ماءُ,mother
دنيا,world
ويجھو,near
کپن,build
خود,self
زمين,earth
پيءُ,father
ڪنهن به,any
نئون,new
ڪم,work
حصو,part
وٺي,take
حاصل,get
جاء,place
ڪيو,made
رهن ٿا,live
جتي,where
پوء,after
واپس,back
ٿورو,little
صرف,only
لکين,round
انسان,man
سال,year
آيو,came
نظر,show
هر,every
سٺو,good
مون کي,me
ڏي,give
اسان,our
هيٺ,under
نالو,name
تمام,very
جي ذريعي,through
بس,just
فارم,form
سزا,sentence
زبردست,great
خيال,think
چون ٿا,say
مدد,help
گهٽ,low
ليڪ,line
اختلاف,differ
موڙ,turn
سبب,cause
گهڻو,much
مطلب,mean
کان اڳ,before
پيش,move
ساڄو,right
ڇوڪرو,boy
پراڻي,old
به,too
ساڳئي,same
هوء,she
سڀ,all
نه,there
جڏهن,when
مٿي,up
استعمال,use
تنهنجو,your
واٽ,way
جي باري ۾,about
ڪيترن ئي,many
پوء,then
انھن کي,them
لکڻ,write
ها,would
جهڙو,like
پوء,so
انهن,these
سندس,her
ايتري,long
ڪر,make
شيء,thing
ڏسڻ,see
کيس,him
ٻه,two
ڪئي آهي,has
نظر,look
وڌيڪ,more
ڏينهن,day
ٿي سگهي,could
وڃو,go
اچي,come
ڪيو,did
تعداد,number
آواز,sound
نه,no
سڀ کان,most
ماڻهو,people
منهنجي,my
جي حوالي سان,over
خبر,know
پاڻي,water
کان,than
سڏ,call
پهريون,first
جو,who
مئي,may
نازل,down
پاسي,side
ٿي,been
هاڻي,now
مل,find
سر,head
موقف,stand
پنهنجي,own
صفحو,page
وڃي,should
ملڪ,country
مليو,found
جواب,answer
اسڪول,school
سٺا,grow
مطالعي,study
