ut,as
sum,I
eius,his
quod,that
ipse,he
fuit,was
nam,for
in,on
"sunt,",are
cum,with
illi,they
esse,be
at,at
unum,one
habent,have
hoc,this
de,from
by,by
calidum,hot
"verbo,",word
sed,but
quod,what
aliqua,some
est,is
quod,it
"vos,",you
vel,or
quod,had
in,the
de,of
ut,to
et,and
a,a
in,in
nos,we
potest,can
ex,out
alia,other
erant,were
quibus,which
facite,do
eorum,their
tempore,time
si,if
voluntas,will
quam,how
Dixitque,said
an,an
quisque,each
indica,tell
quod,does
set,set
tribus,three
volo,want
"aer,",air
etiam,well
etiam,also
fabula,play
parva,small
finem,end
posuit,put
domum,home
lego,read
manibus,hand
"portus,",port
magna,large
eamque,spell
addunt,add
etiam,even
"terra,",land
hic,here
necesse,must
magnum,big
princeps,high
talis,such
sequitur,follow
"actum,",act
quid,why
quaeris,ask
homines,men
mutatio,change
abiit,went
lucem,light
quaedam,kind
off,off
opus,need
domus,house
ipsum,picture
tentant,try
nos,us
rursus,again
pecus,animal
punctum,point
"mater,",mother
orbis,world
prope,near
ædificabis,build
ipsum,self
"terra,",earth
"pater,",father
aliqua,any
novum,new
opus,work
"pars,",part
accipe,take
adepto,get
pro eo,place
factum,made
vivo,live
ubi,where
postquam,after
rursus,back
parum,little
nisi,only
per,round
hominis,man
anno,year
factum,came
ostende,show
omnis,every
"bonum,",good
me,me
dabit,give
nostrum,our
sub,under
nomen,name
ipsum,very
per,through
iustus,just
"forma,",form
sententia,sentence
magna,great
puto,think
dicunt,say
adiuva,help
"humilis,",low
line,line
"differunt,",differ
vicissim,turn
"causa,",cause
tantum,much
significant,mean
antequam,before
movemur,move
ius,right
"puer,",boy
Vetus,old
etiam,too
idem,same
quae,she
omnes,all
ibi,there
cum,when
ascendit,up
"usus,",use
tuus,your
modo,way
de,about
multis,many
tunc,then
eorum,them
scribo,write
utinam,would
sicut,like
ita,so
haec,these
eius,her
longis,long
fac,make
aliquid,thing
video,see
eo,him
duobus,two
habet,has
respice,look
more,more
"die,",day
potuit,could
"vade,",go
venit,come
Feceruntque,did
numerus,number
tuba canerent,sound
nulla,no
maxime,most
"populus,",people
mea,my
supra,over
scitis,know
aquam,water
quam,than
call,call
prima,first
"qui,",who
ut,may
descendit,down
latere,side
fuit,been
nunc,now
invenies,find
"caput,",head
stant,stand
ipse,own
page,page
ut,should
patriae,country
invenit,found
"dicendum,",answer
scholae,school
crescat,grow
studiorum,study
etiam,still
discant,learn
herba,plant
Cover,cover
cibum,food
solis,sun
"quatuor,",four
inter,between
status,state
custodi,keep
oculus,eye
numquam,never
novissime,last
dimitte,let
cogitavit,thought
urbem,city
lignum,tree
transire,cross
fundum,farm
difficile,hard
initium,start
ut,might
fabula,story
Viderunt omnes,saw
tantum,far
"mare,",sea
hauriret,draw
reliquit,left
quondam,late
currunt,run
non,don’t
cum,while
turba,press
proxime,close
noctis,night
ipsum,real
"vita,",life
pauci,few
aquilonem,north
liber,book
ferte,carry
tulit,took
"scientia,",science
manducare,eat
locus,room
amicitia,friend
coeperunt,began
idea,idea
"pisces,",fish
montem,mountain
subsisto,stop
quondam,once
basi,base
audite,hear
equo,horse
sectis,cut
certus,sure
vigilate,watch
colorem,color
faciem,face
lignum,wood
main,main
aperi,open
videtur,seem
simul,together
postero,next
album,white
filii,children
incipe,begin
obtinuit,got
ambulate,walk
exemplum,example
relevare,ease
cartam,paper
group,group
semper,always
musica,music
eorum,those
et,both
caracterem,mark
saepe,often
litteris,letter
usque,until
mille passuum,mile
fluvio,river
car,car
"pedes,",feet
"cura,",care
secundo,second
sufficit,enough
"patet,",plain
puella,girl
more,usual
adulescens,young
parata,ready
supra,above
in perpetuum,ever
red,red
album,list
tametsi,though
sentio,feel
Disputatio,talk
avem,bird
mox,soon
"corpus,",body
canem,dog
familia,family
dirige,direct
"aut statum,",pose
relinquo,leave
canticum,song
metiretur,measure
ostium,door
Vestibulum,product
nigrum,black
breves,short
numerales,numeral
class,class
spiritus,wind
quaestio,question
fieri,happen
completum,complete
navem,ship
area,area
dimidiam,half
petræ,rock
ut,order
"ignis,",fire
austri,south
forsit,problem
frustrum,piece
nuntiavit,told
cognovit,knew
factum,pass
cum,since
top,top
omnis,whole
"rex,",king
platea,street
inch,inch
multiplicabo,multiply
aliquid,nothing
scilicet,course
manete,stay
rotam,wheel
pleni,full
vi,force
hyacintho,blue
obiectum,object
decernere,decide
superficies,surface
abyssus,deep
lunam,moon
"insulam,",island
pede,foot
ratio,system
occupatus,busy
aliquam,test
testimonium,record
navicula,boat
commune,common
"aurum,",gold
potest,possible
planum,plane
pro eo,stead
siccum,dry
"admiramini,",wonder
rideat,laugh
milia,thousand
ago,ago
"cucurrit,",ran
reprehendo,check
ludum,game
figura,shape
aequat,equate
calidum,hot
requisierit,miss
adduxerunt,brought
calor,heat
"nix,",snow
piget,tire
adducet,bring
etiam,yes
distant,distant
imple,fill
orientem,east
"pingere,",paint
lingua,language
in,among
unitas,unit
potestatem,power
urbem,town
Postremo,fine
quaedam,certain
fuge,fly
ceciderit,fall
ducit,lead
clamor,cry
obscuro,dark
apparatus,machine
note,note
exspecta,wait
