အဖြစ်,as
ကျွန်တော်,I
သူ၏,his
ထို,that
သူ,he
ခဲ့,was
အတွက်,for
အပေါ်,on
များမှာ,are
နှင့်,with
သူတို့,they
ဖြစ်,be
တွင်,at
တစ်,one
ရှိ,have
ဤ,this
မှ,from
အားဖြင့်,by
ပူသော,hot
စကားလုံး,word
ဒါပေမဲ့,but
ဘာလဲ,what
အချို့သော,some
ဖြစ်,is
က,it
ခင်ဗျား,you
သို့မဟုတ်,or
ရှိခဲ့,had
ထို,the
၏,of
သို့,to
နှင့်,and
တစ်ဦး,a
တွင်,in
ကျွန်တော်တို့,we
နိုင်,can
ထုတ်,out
အခြား,other
ခဲ့ကြတယ်,were
အရာ,which
ပြုပါ,do
သူတို့၏,their
အချိန်,time
အကယ်.,if
လိမ့်မည်,will
ဘယ်လိုလဲ,how
ကပြောပါတယ်,said
တစ်ခု,an
တစ်ခုချင်းစီ,each
ပြောပြ,tell
မ,does
အစုံ,set
သုံး,three
အလိုရှိ,want
လေ,air
ကောင်းစွာ,well
လည်း,also
ကစား,play
သေးငယ်သော,small
အဆုံး,end
ထား,put
နေအိမ်,home
ဖတ်,read
လက်,hand
port ကို,port
ကြီးမားတဲ့,large
စာလုံးပေါင်း,spell
ပေါင်း,add
ပင်,even
မြေယာ,land
ဒီမှာ,here
ရ,must
ကြီးမားသော,big
မြင့်သော,high
ထိုကဲ့သို့သော,such
လိုက်,follow
လုပ်ရပ်,act
အဘယ်ကြောင့်,why
မေးမြန်း,ask
ယောက်ျား,men
ပွောငျးလဲ,change
သွားလေ၏,went
အလင်း,light
အမျိုးအစား,kind
သွား,off
လိုအပ်,need
အိမ်,house
ရုပ်ပုံ,picture
ကြိုးစား,try
ကျွန်တော်တို့ကို,us
နောက်တဖန်အ,again
တိရစ္ဆာန်အ,animal
အမှတ်,point
မိခင်,mother
ကမ္ဘာ,world
အနား,near
တည်ဆောက်,build
မိမိ,self
မြေကြီးပေါ်မှာ,earth
ဖခင်,father
မည်သည့်,any
အသစ်,new
အလုပ်,work
အပိုင်း,part
ယူ,take
ရယူ,get
နေရာ,place
ဖန်ဆင်းတော်,made
အသက်ရှင်သော,live
ဘယ်မှာ,where
ပြီးနောက်,after
ပြန်.,back
အနည်းငယ်,little
သာ,only
လှည့်လည်,round
ယောက်ျား,man
ခုနှစ်,year
လာကြ၏,came
ပြသ,show
တိုင်း,every
ကောင်းသော,good
အကြှနျုပျ,me
ပေး,give
ကျွန်တော်တို့၏,our
အောက်,under
နာမကို,name
အလွန်,very
ဖြတ်.,through
့,just
ပုံသဏ္ဌာန်,form
ဝါကျ,sentence
ကြီးမားသော,great
ထင်,think
ပြော,say
ကူညီကြပါ,help
နိမ့်ကျ,low
လိုင်း,line
ကွဲပြားခြားနား,differ
အလှည့်,turn
အကွောငျး,cause
အလွန်,much
ဆိုလို,mean
ရှေ့က,before
လှုပ်ရှား,move
မှန်သော,right
လူကလေး,boy
အဟောင်း,old
လွန်း,too
တူညီတဲ့,same
သူမ,she
အားလုံး,all
ဟိုမှာ,there
ဘယ်တော့လဲ,when
တက်,up
အသုံးပြု,use
သင့်,your
လမ်း,way
အကွောငျး,about
များသော,many
ထိုအခါ,then
သူတို့ကို,them
ရေးသား,write
အလိုတခုတည်း,would
ကဲ့သို့,like
ဒါကြောင့်,so
ဤ,these
သူမ၏,her
ရှည်လျားသော,long
အောင်,make
အရာ,thing
မြင်,see
သူ့ကို,him
နှစ်,two
ရှိပါတယ်,has
ကြည့်ရှု,look
နောက်ထပ်,more
နေ့,day
နိုင်,could
သွား,go
လာ,come
ပြု.,did
ဂဏန်း,number
သံကို,sound
အဘယ်သူမျှမ,no
အများဆုံး,most
လူထု,people
ငါ့,my
ကျော်,over
သိ,know
ရေ,water
ထက်,than
ခေါ်ဝေါ်,call
ပဌမ,first
အဘယ်သူသည်,who
နိုင်,may
ဆင်း,down
ဘက်,side
ဖြစ်,been
ယခု,now
ရှာတွေ့,find
ဦးခေါင်း,head
ရပ်နေ,stand
ပိုင်ဆိုင်,own
စာမျက်နှာ,page
သင့်,should
ပြည်,country
တွေ့ရှိ,found
အဖြေ,answer
ကြောငျး,school
ကြီးထွား,grow
လေ့လာ,study
ဆဲ,still
သင်ကြား,learn
စက်ရုံ,plant
အဖုံး,cover
အစာ,food
နေ,sun
လေး,four
အကြား,between
ပြည်နယ်,state
သိုထား,keep
မျက်စိ,eye
ဘယ်တော့မှမ,never
နောက်ဆုံး,last
ကုန်အံ့,let
စိတ်ထင်,thought
မြို့,city
သစ်ပင်,tree
လက်ဝါးကပ်တိုင်,cross
လယ်ယာ,farm
ခိုင်မာသော,hard
စတင်,start
အစွမ်းသတ္တိ,might
ဇာတ်လမ်း,story
လွှ,saw
ဝေးလံသော,far
ပင်လယ်,sea
မဲ,draw
လက်ဝဲဘက်,left
နောက်ကျ,late
ပွေးသှား,run
မလုပ်ပါနှင့်,don’t
စဉ်,while
စာနယ်ဇင်းများ,press
ပိတ်,close
ည,night
စစ်မှန်သော,real
အသက်,life
နည်းသော,few
မြောက်ဘက်သို့,north
စာအုပ်,book
သယ်,carry
ကိုယူ,took
သိပ္ပံပညာရပ်,science
စား,eat
အခန်း,room
မိတ်ဆွေ,friend
စတင်ခဲ့သည်,began
စိတ်ကူး,idea
ငါး,fish
တောင်,mountain
ရပ်,stop
တခါ,once
အခြေစိုက်စခန်း,base
ကြား,hear
မြင်း,horse
ဖြတ်,cut
သေချာ,sure
အစောင့်,watch
အရောင်,color
မျက်နှာ,face
သစ်သား,wood
အဓိက,main
ဖွင့်လှစ်,open
ထင်ရ,seem
အတူတူ,together
နောက်တစ်ခု,next
အဖြူ,white
ကလေးများ,children
အစ,begin
တယ်,got
လမျးလြှောကျသှား,walk
နမူနာ,example
ငြိမ်ဝပ်စွာနေ,ease
စက္ကူ,paper
အစု,group
အမြဲ,always
ဂီတ,music
ထို,those
နှစ်ဦးစလုံး,both
အမှတ်,mark
ခဏခဏ,often
စာ,letter
သည်အထိ,until
မိုင်,mile
မြစ်,river
ကား,car
ခြေဘဝါးတော်,feet
ပြုစုစောင့်ရှောက်မှု,care
ဒုတိယ,second
လုံလောက်သော,enough
လွင်ပြင်,plain
မိန်းကလေး,girl
ခါတိုင်းလို,usual
ငယ်ရွယ်,young
အသင့်ရှိ,ready
အထက်,above
အစဉ်,ever
နီသော,red
စာရင်း,list
သော်လည်း,though
ခံစား,feel
ဆွေးနွေးချက်,talk
ငှက်,bird
မကြာမီ,soon
ကိုယ်ခန္ဓာ,body
ခှေး,dog
မိသားစု,family
ညွှန်ပြ,direct
ရှိုး,pose
ထွက်သွား,leave
သီချင်း,song
တိုင်းတာ,measure
တံခါးပေါက်,door
ထုတ်ကုန်,product
အနက်ရောင်,black
တိုတောင်းသော,short
ဂဏန်း,numeral
အမျိုးအစား,class
လေတိုက်,wind
မေးခွန်း,question
ဖြစ်ပျက်,happen
ပြည့်စုံသော,complete
သငေ်္ဘာ,ship
ဧရိယာ,area
တဝက်,half
ကျောက်လုံးကြီး,rock
အစီအစဉ်,order
မီး,fire
တောင်,south
ပြဿနာ,problem
အပိုင်းအစ,piece
သို့ပြောသည်,told
သိ.,knew
သွား,pass
မှစ.,since
ထိပ်တန်း,top
အလုံးစုံ,whole
မင်းကြီးသည်,king
လမ်း,street
လက်မ,inch
များပြား,multiply
အဘယ်အရာကိုမျှ,nothing
သင်တန်း,course
နေခြင်း,stay
ဘီး,wheel
ပြည့်သော,full
အင်အား,force
ပြာသော,blue
ကန့်ကွက်,object
ဆုံးဖြတ်,decide
မျက်နှာပြင်,surface
နက်သော,deep
လ,moon
ကျွန်း,island
ခြေလျင်,foot
စံနစ်,system
အလုပ်ရှုပ်သည်,busy
စမ်းသပ်,test
စံချိန်,record
လှေ,boat
ဘုံ,common
ရွှေစင်,gold
ဖြစ်နိုင်သော,possible
လေယာဉ်သည်,plane
ခမည်းတော်အရာ၌,stead
ခြောက်သွေ့သော,dry
အံ့ဘွယ်သောအမှု,wonder
ရယ်မော,laugh
တထောင်,thousand
လွန်ခဲ့တဲ့,ago
ပြေး,ran
စစ်ဆေးခြင်း,check
ဂိမ်း,game
ပုံသဏ္ဌာန်,shape
တူညီနေသည်,equate
ပူသော,hot
လွမ်း,miss
သို့ဆောင် ခဲ့.,brought
အပူ,heat
မိုးပွင့်,snow
တာယာ,tire
ယူလာ,bring
ဟုတ်ကဲ့,yes
ဝေးကွာသော,distant
ဖြည့်,fill
အရှေ့,east
ဆေးသုတ်,paint
ဘာသာစကား,language
အနက်,among
ယူနစ်,unit
စွမ်းအား,power
မြို့,town
ကောင်းသော,fine
အချို့,certain
ယင်ကောင်,fly
ကျ,fall
ခဲ,lead
အော်ဟစ်,cry
မှောင်မိုက်,dark
စက်ယန္တရား,machine
မှတ်ချက်,note
စောင့်,wait
စီမံကိန်း,plan
ဂဏန်း,figure
ကြယ်,star
သေတ္တာ,box
နာမ်,noun
လယ်ယာ,field
အနားယူ,rest
မှန်ကန်သော,correct
နိုင်,able
ပေါင်,pound
အဖေပြီးအောင်,done
လှပမှု,beauty
မောင်း,drive
ရပ်နေကြ၏,stood
ပါဝင်,contain
ရှေ့,front
သင်ပေး,teach
ရက်သတ္တပတ်,week
ဖိုင်နယ်,final
ကိုပေး၏,gave
စိမ်းလန်းသော,green
Oh,oh
မြန်ဆန်ပြီး,quick
တိုးတက်,develop
သမုဒ္ဒရာ,ocean
ပူနွေးသော,warm
အခမဲ့,free
မိနစ်,minute
အားကြီးသော,strong
အထူး,special
စိတ်ကို,mind
နောက်တွင်,behind
ရှင်းလင်းသော,clear
အမြီး,tail
ဟင်းသီးဟင်းရွက်,produce
အချက်အလက်,fact
အာကာသ,space
ကြားလျှင်,heard
အကောင်းဆုံး,best
နာရီ,hour
ပိုကောင်း,better
စစ်မှန်တဲ့,true
စဉ်အတွင်း,during
တရာ,hundred
ငါး,five
သတိရ,remember
လှမ်း,step
စောစော,early
ကိုင်,hold
အနောက်,west
မြေပြင်,ground
ဝါသနာ,interest
ရောက်ရှိ,reach
လျင်မြန်စွာ,fast
ကြိယာ,verb
Sing,sing
နားထောင်,listen
ခွောကျ,six
စားပှဲ,table
ခရီးသွား,travel
နည်းသော,less
နံနက်,morning
ဆယ်,ten
လွယ်ကူသော,simple
အတော်ကြာ,several
သရသံ,vowel
ကို,toward
စစ်,war
ချထား,lay
ဆန့်ကျင်,against
ပုံစံ,pattern
နှေးသော,slow
အလယ်ဗဟို,center
ချစ်ခြင်းမေတ္တာ,love
လူ,person
ပိုက်ဆံ,money
အစေခံ,serve
ပေါ်လာ,appear
လမ်း,road
မြေပုံကို,map
မိုးရေ,rain
အုပ်ချုပ်,rule
အုပ်ချုပ်,govern
ဆွဲပါ,pull
အအေး,cold
အသိပေးစာ,notice
အသံ,voice
အင်အား,energy
အမဲလိုက်ခြင်း,hunt
ဖြစ်နိုင်ခြေ,probable
အိပ်ရာ,bed
အစ်ကို,brother
ကြက်ဥ,egg
စီးနင်း,ride
ကလာပ်စည်း,cell
ယုံကြည်,believe
ဖြစ်ကောင်းဖြစ်နိုင်,perhaps
ခူး,pick
ရုတ်တရက်,sudden
ရေတွက်,count
စတုရန်းလေးထောင့,square
အကွောငျးရငျး,reason
အရှည်,length
ကိုယ်စားပြု,represent
အတတ်ပညာ,art
ဘာသာရပ်,subject
ဒေသ,region
အရွယ်,size
ကွဲပြားခြားနား,vary
စေ့စပ်,settle
စကားပြော,speak
အလေးချိန်,weight
ယေဘုယျ,general
ရေခဲ,ice
ကိစ္စ,matter
အဝိုင်း,circle
လင်မယား,pair
ပါဝင်,include
သွေးခွဲ,divide
syllable,syllable
ခံစားခဲ့ရ,felt
ခမ်းနားကြီးကျယ်,grand
အလုံး,ball
သေး,yet
လှိုငျး,wave
တစ်စက်,drop
နှလုံး,heart
နံနက်,am
လက်ဆောင်,present
လေးလံသော,heavy
အကအခုန်,dance
အင်ဂျင်ကို,engine
အနေအထား,position
လက်,arm
ကျယ်ဝန်းသော,wide
ရွက်,sail
ပစ္စည်း,material
အစိတ်အပိုင်း,fraction
