raws li,as
kuv,I
nws,his
uas,that
nws,he
yog,was
rau,for
on,on
yog,are
nrog,with
lawv,they
yuav,be
ntawm,at
ib,one
muaj,have
no,this
los ntawm,from
los ntawm,by
kub,hot
lo lus,word
tab sis,but
dab tsi,what
ib co,some
yog,is
nws,it
koj,you
los yog,or
muaj,had
tus,the
ntawm,of
mus rau,to
thiab,and
ib tug,a
nyob rau hauv,in
peb,we
tau,can
tawm,out
lwm yam,other
twb,were
uas,which
ua,do
lawv,their
lub sij hawm,time
yog tias,if
yuav,will
ua li cas,how
hais tias,said
ib,an
txhua,each
qhia,tell
puas,does
tso,set
peb,three
xav,want
cua,air
zoo,well
kuj,also
ua si,play
me me,small
kawg,end
muab tso rau,put
tsev,home
nyeem,read
tes,hand
chaw nres nkoj,port
loj,large
yees siv,spell
ntxiv,add
txawm,even
av,land
nyob ntawm no,here
yuav tsum,must
loj,big
siab,high
xws,such
ua raws li,follow
act,act
yog vim li cas,why
nug,ask
cov txiv neej,men
kev hloov,change
mus,went
lub teeb,light
zoo,kind
tawm,off
xav tau,need
tsev,house
daim duab,picture
sim,try
peb,us
dua,again
tsiaj,animal
taw tes,point
niam,mother
ntiaj teb no,world
nyob ze,near
tsim,build
nws tus kheej,self
lub ntiaj teb,earth
txiv,father
tej,any
tshiab,new
ua hauj lwm,work
ib feem,part
noj,take
tau,get
qhov chaw,place
ua,made
nyob,live
qhov chaw uas,where
tom qab,after
rov qab,back
me ntsis,little
tsuas,only
puag ncig,round
txiv neej,man
xyoo,year
tuaj,came
qhia tau tias,show
txhua txhua,every
zoo,good
kuv,me
muab,give
peb,our
nyob rau hauv,under
lub npe,name
heev,very
los ntawm,through
xwb,just
daim ntawv,form
kab lus,sentence
zoo,great
xav hais tias,think
hais,say
pab,help
tsawg,low
kab,line
txawv,differ
tig,turn
ua,cause
ntau,much
txhais li cas,mean
ua ntej,before
txav,move
txoj cai,right
me nyuam tub,boy
qub,old
heev,too
tib,same
nws,she
tag nrho cov,all
muaj,there
thaum,when
mus txog,up
siv,use
koj,your
txoj kev,way
txog,about
ntau,many
ces,then
lawv,them
sau ntawv,write
yuav,would
zoo li,like
yog li,so
cov,these
nws,her
ntev,long
ua,make
tshaj plaws,thing
saib,see
nws,him
ob,two
muaj,has
saib,look
ntau,more
hnub,day
ua,could
mus,go
tuaj,come
puas tau,did
muaj pes tsawg tus,number
sound,sound
tsis muaj,no
feem ntau,most
cov neeg,people
kuv,my
tshaj,over
paub,know
dej,water
tshaj,than
hu,call
thawj,first
uas,who
tau,may
down,down
sab,side
tau,been
tam sim no,now
nrhiav,find
lub taub hau,head
sawv ntsug,stand
tus kheej,own
page,page
yuav tsum,should
lub teb chaws,country
pom,found
lus teb,answer
lub tsev kawm ntawv,school
loj hlob,grow
txoj kev tshawb,study
tseem,still
kawm,learn
tsob nroj,plant
cover,cover
khoom noj khoom haus,food
hnub,sun
plaub,four
nruab nrab ntawm,between
lub xeev,state
kom,keep
qhov muag,eye
yeej tsis,never
kawg,last
cia,let
xav,thought
nroog,city
tsob ntoo,tree
hla,cross
ua liaj ua teb,farm
nyuaj,hard
pib,start
zaum,might
zaj dab neeg,story
kaw,saw
deb,far
hiav txwv,sea
kos,draw
tshuav,left
lig,late
khiav,run
ua tsis tau,don’t
thaum,while
xovxwm,press
ze,close
hmo ntuj,night
tiag tiag,real
lub neej,life
ob peb,few
sab qaum teb,north
phau ntawv,book
nqa,carry
coj,took
science,science
noj,eat
chav tsev,room
phooj ywg,friend
pib,began
lub tswv yim,idea
ntses,fish
roob,mountain
nres,stop
ib zaug,once
paus,base
hnov,hear
nees,horse
txiav,cut
paub tseeb,sure
saib,watch
xim nqaij daim tawv,color
lub ntsej muag,face
wood,wood
ntsiab,main
qhib,open
zoo li,seem
ua ke,together
tom ntej no,next
dawb,white
cov me nyuam,children
pib,begin
tau txais,got
mus kev,walk
Piv txwv li,example
tsis,ease
daim ntawv,paper
pab pawg neeg,group
yeej ib txwm,always
music,music
cov neeg,those
ob,both
cim,mark
feem ntau,often
tsab ntawv,letter
kom txog rau thaum,until
mile,mile
dej,river
tsheb,car
ob txhais taw,feet
kev saib xyuas,care
thib ob,second
txaus,enough
tiaj,plain
hluas nkauj,girl
li ib txwm,usual
hluas,young
npaj txhij,ready
saum toj no,above
puas tau,ever
liab,red
daim ntawv teev,list
tab sis yog,though
xav,feel
tham,talk
noog,bird
sai,soon
lub cev,body
aub,dog
tsev neeg,family
ncaj qha,direct
pose,pose
tawm,leave
song,song
ntsuas,measure
qhov rooj,door
khoom,product
dub,black
luv luv,short
tus nab npawj,numeral
chav kawm ntawv,class
cua,wind
lo lus nug,question
tshwm sim,happen
tiav,complete
nkoj,ship
cheeb tsam,area
ib nrab,half
pob zeb,rock
Yuav,order
