като,as
I,I
си,his
че,that
той,he
е,was
за,for
на,on
са,are
с,with
те,they
бъде,be
в,at
един,one
имат,have
тази,this
от,from
от,by
горещ,hot
дума,word
но,but
какво,what
някои,some
е,is
тя,it
ви,you
или,or
имаше,had
на,the
от,of
да,to
и,and
а,a
в,in
ние,we
може,can
от,out
други,other
бяха,were
които,which
правя,do
си,their
време,time
ако,if
ще,will
как,how
каза,said
един,an
всеки,each
кажете,tell
прави,does
комплект,set
три,three
искам,want
въздух,air
добре,well
също,also
играе,play
малък,small
край,end
постави,put
Начало,home
Прочети,read
ръка,hand
порт,port
голям,large
правописа,spell
добави,add
още,even
земя,land
тук,here
трябва,must
голям,big
високо,high
като,such
следвайте,follow
акт,act
защо,why
попитайте,ask
мъже,men
промяна,change
Отидох,went
светлина,light
вид,kind
разстояние,off
трябва,need
къща,house
снимка,picture
опитайте,try
нас,us
отново,again
животните,animal
точка,point
майка,mother
свят,world
в близост,near
изграждане,build
самостоятелно,self
Земята,earth
баща,father
всеки,any
нова,new
работа,work
част,part
предприеме,take
получите,get
място,place
направи,made
живея,live
където,where
след,after
обратно,back
малко,little
само,only
кръг,round
мъж,man
година,year
дойде,came
Покажи,show
всеки,every
добър,good
мен,me
даде,give
ни,our
под,under
име,name
много,very
чрез,through
просто,just
форма,form
изречение,sentence
голям,great
мисля,think
каже,say
помогне,help
ниска,low
Онлайн,line
различава,differ
ред,turn
кауза,cause
много,much
означава,mean
преди,before
ход,move
полето,right
момче,boy
стар,old
твърде,too
същата,same
тя,she
всички,all
там,there
когато,when
нагоре,up
употреба,use
си,your
начин,way
за,about
много,many
след това,then
тях,them
напиши,write
би,would
като,like
така,so
тези,these
си,her
дълго,long
направи,make
нещо,thing
виждам,see
го,him
две,two
има,has
потърсите,look
още,more
дни,day
може,could
отидете,go
дойде,come
направих,did
брой,number
звучи,sound
не,no
най-,most
хора,people
ми,my
над,over
знаете,know
вода,water
от,than
повикване,call
първи,first
които,who
може,may
надолу,down
страна,side
бил,been
сега,now
намерите,find
главата,head
стоя,stand
собствена,own
страница,page
трябва,should
страна,country
Намерени,found
отговор,answer
училище,school
растат,grow
проучване,study
още,still
научат,learn
растителна,plant
капак,cover
храна,food
слънце,sun
четири,four
между,between
състояние,state
запази,keep
око,eye
Никога не,never
последно,last
нека,let
Мислех,thought
град,city
дърво,tree
пресекат,cross
ферма,farm
Трудно,hard
начало,start
мощ,might
история,story
трион,saw
Доколкото,far
море,sea
изготвя,draw
наляво,left
късно,late
Run,run
не,don’t
докато,while
натиснете,press
в близост,close
нощ,night
недвижими,real
