as,as
já,I
jeho,his
že,that
se,he
byl,was
pro,for
na,on
jsou,are
s,with
se,they
být,be
na,at
jeden,one
mají,have
tento,this
od,from
od,by
horké,hot
slovo,word
ale,but
co,what
některé,some
je,is
to,it
jste,you
nebo,or
měl,had
výše,the
z,of
na,to
a,and
ostrov,a
v,in
my,we
moci,can
out,out
další,other
byly,were
které,which
dělat,do
jejich,their
čas,time
pokud,if
bude,will
jak,how
řekl,said
každý,each
říct,tell
dělá,does
set,set
tři,three
chtít,want
vzduchu,air
dobře,well
také,also
hrát,play
malé,small
konec,end
dát,put
domácí,home
číst,read
ruka,hand
přístav,port
velký,large
kouzlo,spell
přidat,add
dokonce,even
země,land
zde,here
musí,must
velký,big
vysoký,high
jako,such
následovat,follow
akt,act
proč,why
zeptat se,ask
muži,men
změna,change
šel,went
světlo,light
druh,kind
vypnutí,off
potřebují,need
dům,house
obrázek,picture
zkuste,try
nám,us
znovu,again
zvíře,animal
bod,point
matka,mother
svět,world
poblíž,near
stavět,build
já,self
Země,earth
otec,father
jakýkoli,any
nový,new
práce,work
část,part
se,take
dostat,get
místo,place
z,made
žít,live
kde,where
po,after
zpět,back
málo,little
pouze,only
kolo,round
muž,man
rok,year
přišel,came
výstava,show
každý,every
dobrý,good
mě,me
dát,give
naše,our
pod,under
název,name
velmi,very
přes,through
jen,just
forma,form
věta,sentence
velký,great
myslíte,think
říkají,say
pomoci,help
nízká,low
linka,line
lišit se,differ
turn,turn
příčina,cause
hodně,much
znamenat,mean
před,before
krok,move
právo,right
chlapec,boy
starý,old
příliš,too
stejný,same
ona,she
všechny,all
zde,there
kdy,when
up,up
použití,use
vaše,your
cesta,way
o,about
mnoho,many
pak,then
je,them
napsat,write
by,would
jako,like
tak,so
tyto,these
ní,her
dlouhý,long
provést,make
věc,thing
viz,see
ho,him
dva,two
má,has
hledat,look
více,more
den,day
mohl,could
jít,go
přijít,come
ano,did
číslo,number
zvuk,sound
ne,no
nejvíce,most
lidé,people
my,my
přes,over
vědět,know
voda,water
než,than
volání,call
první,first
kdo,who
května,may
dolů,down
strana,side
byl,been
nyní,now
najít,find
hlava,head
stát,stand
vlastní,own
strana,page
by,should
země,country
nalezeno,found
odpověď,answer
škola,school
růst,grow
studie,study
stále,still
učit se,learn
rostlina,plant
kryt,cover
jídlo,food
slunce,sun
čtyři,four
mezi,between
stát,state
mít,keep
oko,eye
nikdy,never
poslední,last
nechat,let
myšlenka,thought
město,city
strom,tree
kříž,cross
farma,farm
těžké,hard
začátek,start
síla,might
příběh,story
pila,saw
daleko,far
moře,sea
kreslit,draw
vlevo,left
pozdě,late
běh,run
ne,don’t
zatímco,while
stiskněte tlačítko,press
close,close
noc,night
skutečný,real
život,life
málo,few
sever,north
kniha,book
nést,carry
trvalo,took
věda,science
jíst,eat
pokoj,room
přítel,friend
začal,began
nápad,idea
ryby,fish
hora,mountain
stop,stop
jednou,once
základna,base
slyšet,hear
kůň,horse
řez,cut
jistý,sure
hodinky,watch
barva,color
tvář,face
dřevo,wood
hlavní,main
otevřeno,open
připadat,seem
spolu,together
další,next
bílá,white
děti,children
začít,begin
dostal,got
chodit,walk
příklad,example
snadnost,ease
papír,paper
skupina,group
vždy,always
music,music
"ty,",those
jak,both
značka,mark
často,often
dopis,letter
do,until
míle,mile
řeka,river
auto,car
nohy,feet
péče,care
druhé,second
dost,enough
prostý,plain
dívka,girl
obvykle,usual
mladý,young
ready,ready
výše,above
kdy,ever
červená,red
seznam,list
ačkoli,though
cítit,feel
diskuse,talk
pták,bird
brzy,soon
tělo,body
pes,dog
rodina,family
přímé,direct
představovat,pose
odejít,leave
píseň,song
opatření,measure
dveře,door
produkt,product
černá,black
krátký,short
číslice,numeral
třída,class
vítr,wind
otázka,question
stát se,happen
kompletní,complete
loď,ship
plocha,area
polovina,half
skála,rock
objednávka,order
oheň,fire
na jih,south
problém,problem
kus,piece
řekl,told
"věděl,",knew
pas,pass
od,since
horní,top
celý,whole
král,king
ulice,street
palec,inch
násobit,multiply
nic,nothing
kurz,course
pobyt,stay
kola,wheel
plné,full
síla,force
modrá,blue
objekt,object
rozhodnout,decide
povrch,surface
hluboké,deep
měsíc,moon
ostrov,island
nohy,foot
systém,system
obsazeno,busy
zkouška,test
záznam,record
loď,boat
společné,common
zlato,gold
možné,possible
letadlo,plane
Místo toho,stead
suché,dry
"Zajímalo by mě,",wonder
smích,laugh
tisíc,thousand
před,ago
běžel,ran
zkontrolujte,check
