si,as
I,I
e tij,his
që,that
ai,he
ishte,was
për,for
në,on
janë,are
me,with
ata,they
jetë,be
në,at
një,one
kam,have
kjo,this
nga,from
nga,by
hot,hot
fjalë,word
por,but
çfarë,what
disa,some
është,is
ajo,it
ju,you
ose,or
kishte,had
thonë,the
i,of
në,to
dhe,and
një,a
në,in
ne,we
mund,can
jashtë,out
tjetër,other
ishin,were
e cila,which
bëj,do
tyre,their
koha,time
nëse,if
do,will
si,how
tha,said
një,an
çdo,each
them,tell
bën,does
i vendosur,set
tre,three
dua,want
ajrit,air
mirë,well
edhe,also
luajnë,play
vogël,small
fund,end
vendos,put
shtëpi,home
lexoj,read
dorë,hand
port,port
i madh,large
magji,spell
të shtoni,add
edhe,even
tokë,land
këtu,here
duhet,must
i madh,big
i lartë,high
i tillë,such
ndjek,follow
akt,act
pse,why
kërkoj,ask
burra,men
ndryshim,change
shkoi,went
dritë,light
lloj,kind
nga,off
duhet,need
shtëpi,house
foto,picture
përpiqem,try
na,us
përsëri,again
kafshëve,animal
pikë,point
nënë,mother
botëror,world
afër,near
ndërtuar,build
vetë,self
toka,earth
baba,father
ndonjë,any
të reja,new
punë,work
pjesë,part
marrë,take
marrë,get
vendi,place
bërë,made
jetojnë,live
ku,where
pas,after
mbrapa,back
pak,little
vetëm,only
rreth,round
njeri,man
vit,year
erdhi,came
show,show
çdo,every
mirë,good
mua,me
jap,give
tonë,our
nën,under
Emri,name
shumë,very
me anë të,through
vetëm,just
formë,form
fjali,sentence
i madh,great
mendoj,think
thonë,say
të ndihmojë,help
ulët,low
linjë,line
ndryshoj,differ
kthesë,turn
shkaku,cause
shumë,much
mesatare,mean
para,before
veprim,move
drejtë,right
djalë,boy
vjetër,old
shumë,too
i njëjtë,same
ajo,she
të gjithë,all
atje,there
kur,when
up,up
përdorimi,use
tuaj,your
mënyrë,way
për,about
shumë,many
pastaj,then
ata,them
shkruaj,write
do,would
si,like
kështu,so
këto,these
e saj,her
gjatë,long
bëj,make
gjë,thing
shih,see
atë,him
dy,two
ka,has
shikoni,look
më shumë,more
ditë,day
mund,could
shkoj,go
eja,come
bëri,did
numri,number
zë,sound
asnjë,no
më,most
njerëz,people
tim,my
mbi,over
di,know
ujë,water
se,than
thirrje,call
parë,first
që,who
mund,may
poshtë,down
anë,side
qenë,been
tani,now
gjeni,find
kreu,head
qëndrim,stand
vet,own
faqe,page
duhet,should
vendi,country
gjetur,found
përgjigje,answer
shkollë,school
rritet,grow
Studimi,study
ende,still
mësoj,learn
bimë,plant
mbuluar,cover
ushqim,food
dielli,sun
katër,four
në mes të,between
shtet,state
mbaj,keep
sy,eye
kurrë,never
fundit,last
le të,let
mendimi,thought
qytet,city
pemë,tree
kalojnë,cross
fermë,farm
vështirë,hard
fillimi,start
mund,might
histori,story
pa,saw
tani,far
deti,sea
barazim,draw
la,left
vonë,late
drejtuar,run
nuk,don’t
ndërsa,while
shtypi,press
afër,close
natën,night
real,real
jetë,life
pak,few
veri,north
libri,book
kryer,carry
mori,took
shkenca,science
hani,eat
dhomë,room
mik,friend
filloi,began
Ideja,idea
peshk,fish
mal,mountain
stop,stop
dikur,once
bazë,base
dëgjojë,hear
kalë,horse
prerë,cut
i sigurt,sure
shikojnë,watch
ngjyra,color
fytyrë,face
dru,wood
kryesore,main
hapur,open
duket,seem
së bashku,together
tjetër,next
e bardhë,white
fëmijë,children
të fillojë,begin
mori,got
eci,walk
shembull,example
lehtësuar,ease
letër,paper
grup,group
gjithmonë,always
muzikë,music
ato,those
të dy,both
mark,mark
shpesh,often
letër,letter
deri,until
milje,mile
lumi,river
makinë,car
këmbët,feet
kujdes,care
i dytë,second
mjaft,enough
plain,plain
vajzë,girl
zakonshme,usual
i ri,young
gati,ready
sipër,above
kurrë,ever
i kuq,red
lista,list
ndonëse,though
të ndjehen të,feel
flasim,talk
zog,bird
shpejt,soon
trupi,body
qen,dog
familja,family
drejtpërdrejtë,direct
paraqesin,pose
largohen,leave
song,song
të matur,measure
dyer,door
produkt,product
e zezë,black
i shkurtër,short
numëror,numeral
klasë,class
era,wind
pyetje,question
ndodhë,happen
i plotë,complete
anije,ship
zonë,area
gjysmë,half
shkëmb,rock
mënyrë,order
zjarri,fire
jug,south
problemi,problem
pjesë,piece
tha,told
dinte,knew
kaloj,pass
që prej,since
top,top
tërë,whole
mbreti,king
rrugë,street
inç,inch
shumohen,multiply
asgjë,nothing
Sigurisht,course
qëndrojnë,stay
rrotë,wheel
plotë,full
forca,force
blu,blue
objekt,object
vendosë,decide
sipërfaqe,surface
thellë,deep
moon,moon
ishull,island
këmbë,foot
sistemi,system
i zënë,busy
provë,test
rekord,record
varkë,boat
përbashkët,common
ari,gold
të jetë e mundur,possible
aeroplan,plane
Në vend,stead
thatë,dry
pyes veten,wonder
qesh,laugh
mijë,thousand
më parë,ago
vrapoi,ran
kontrolloj,check
lojë,game
formë,shape
barazojnë,equate
hot,hot
Miss,miss
solli,brought
ngrohjes,heat
borë,snow
gomë,tire
sjellë,bring
po,yes
i largët,distant
mbushur,fill
lindje,east
bojë,paint
gjuha,language
në mesin e,among
njësi,unit
fuqia,power
