kamar yadda,as
Ina,I
da,his
"cewa,",that
ya,he
shi ne,was
domin,for
a kan,on
suna,are
tare da,with
suna,they
zama,be
a,at
daya,one
da,have
wannan,this
daga,from
by,by
zafi,hot
kalma,word
amma,but
abin da,what
wasu,some
ne,is
shi,it
ka,you
ko,or
da,had
da,the
daga,of
to,to
da kuma,and
wani,a
a,in
muna,we
iya,can
out,out
sauran,other
suna,were
wanda,which
yi,do
da,their
lokaci,time
idan,if
so,will
yadda,how
ya ce,said
wani,an
kowace,each
gaya,tell
ya aikata,does
sa,set
uku,three
so,want
air,air
da kyau,well
"har ila yau,",also
wasa,play
small,small
karshen,end
sa,put
gida,home
karanta,read
hannu,hand
tashar jiragen ruwa,port
babban,large
rubutawa,spell
add,add
ko da,even
ƙasar,land
nan,here
tilas,must
big,big
high,high
irin,such
bin,follow
yi,act
dalilin da ya sa,why
tambaye,ask
mutane,men
canji,change
tafi,went
haske,light
irin,kind
kashe,off
bukata,need
house,house
hoto,picture
kokarin,try
mu,us
kuma,again
animal,animal
aya,point
uwar,mother
duniya,world
kusa da,near
gina,build
kai,self
duniya,earth
uba,father
wani,any
new,new
aiki,work
part,part
kai,take
samu,get
wuri,place
ya yi,made
rayuwa,live
inda,where
bayan,after
baya,back
kadan,little
kawai,only
zagaye,round
mutum,man
shekara,year
ya zo,came
show,show
kowane,every
mai kyau,good
ni,me
ba,give
mu,our
karkashin,under
sunan,name
sosai,very
ta hanyar,through
kawai,just
form,form
magana,sentence
mai girma,great
tunani,think
ka ce,say
taimaka,help
low,low
line,line
bambanta,differ
nuna,turn
sabili,cause
da yawa,much
nufi,mean
kafin,before
tafi,move
dama,right
yaro,boy
da haihuwa,old
ma,too
haka,same
sai ta,she
duk,all
akwai,there
a lokacin da,when
up,up
amfani,use
your,your
hanyar,way
game da,about
da yawa,many
"to,",then
da su,them
rubuta,write
zai,would
kamar,like
don haka,so
wadannan,these
ta,her
yaushe,long
sa,make
abu,thing
gani,see
shi,him
biyu,two
yana da,has
duba,look
more,more
rana,day
iya,could
je,go
zo,come
ya yi,did
lambar,number
sauti,sound
babu,no
