kui,as
I,I
tema,his
et,that
ta,he
oli,was
jaoks,for
kohta,on
on,are
koos,with
nad,they
olema,be
juures,at
üks,one
olema,have
Selle,this
alates,from
poolt,by
kuum,hot
Sõna,word
kuid,but
mida,what
mõned,some
on,is
see,it
sa,you
või,or
tuli,had
alates,the
kohta,of
kuni,to
ja,and
aeg,a
aastal,in
me,we
saab,can
välja,out
muu,other
olid,were
mis,which
teha,do
oma,their
aeg,time
kui,if
teeb,will
kuidas,how
ütles,said
lugema,an
iga,each
öelda,tell
ei,does
komplekt,set
kolm,three
tahad,want
õhk,air
hästi,well
Samuti,also
mängida,play
väike,small
lõpuks,end
pane,put
kodu,home
lugema,read
käsi,hand
port,port
suur,large
õigekirja,spell
lisada,add
isegi,even
maa,land
siin,here
must,must
suur,big
kõrge,high
selline,such
järgima,follow
tegu,act
miks,why
küsi,ask
mehed,men
muutus,change
läks,went
tuli,light
liiki,kind
välja,off
vaja,need
maja,house
pilt,picture
proovida,try
us,us
jälle,again
loomade,animal
punkti,point
ema,mother
maailma,world
lähedal,near
ehitada,build
ise,self
Maa,earth
isa,father
tahes,any
uus,new
töö,work
osa,part
võtta,take
saada,get
koht,place
tehtud,made
elada,live
kus,where
pärast,after
tagasi,back
vähe,little
ainult,only
ringi,round
mees,man
aasta,year
tuli,came
näita,show
kõik,every
hea,good
mind,me
anda,give
meie,our
alla,under
nimi,name
väga,very
läbi,through
lihtsalt,just
vorm,form
lause,sentence
suur,great
arvan,think
öelda,say
aidata,help
madal,low
line,line
erinevad,differ
Omakorda,turn
põhjus,cause
palju,much
tähendab,mean
enne,before
liikuda,move
õigus,right
poiss,boy
vana,old
liiga,too
sama,same
ta,she
kõik,all
seal,there
kui,when
üles,up
kasutamine,use
oma,your
viis,way
umbes,about
palju,many
siis,then
neid,them
kirjuta,write
oleks,would
nagu,like
nii,so
need,these
tema,her
pikk,long
teha,make
asi,thing
vaata,see
Tema,him
kaks,two
on,has
vaata,look
rohkem,more
päev,day
võiks,could
minna,go
tule,come
tegi,did
number,number
heli,sound
ei,no
kõige,most
inimesed,people
minu,my
üle,over
tea,know
vesi,water
kui,than
üleskutse,call
Esimene,first
kes,who
võib,may
alla,down
pool,side
olnud,been
nüüd,now
leida,find
juht,head
seisma,stand
enda,own
lehekülg,page
peaks,should
riik,country
leitud,found
vastus,answer
kool,school
kasvama,grow
uuring,study
veel,still
õppida,learn
tehase,plant
kate,cover
toidu,food
päike,sun
neli,four
vahel,between
riik,state
hoida,keep
silma,eye
kunagi,never
viimane,last
lase,let
arvasin,thought
linna,city
puu,tree
rist,cross
farm,farm
raske,hard
algus,start
võiks,might
lugu,story
saag,saw
palju,far
meri,sea
juhtida,draw
vasakule,left
hilja,late
run,run
ei,don’t
