monga,as
ine,I
wake,his
kuti,that
iye,he
anali,was
chifukwa,for
pa,on
ali,are
ndi,with
iwo,they
kukhala,be
pa,at
mmodzi,one
ndi,have
izi,this
kuchokera,from
ndi,by
wotentha,hot
mawu,word
koma,but
chani,what
ena,some
ndi,is
izo,it
inu,you
kapena,or
anali,had
ndi,the
a,of
kuti,to
ndipo,and
ndi,a
mu,in
ife,we
ndingathere,can
kuchokera,out
ena,other
anali,were
umene,which
kuchita,do
awo,their
nthawi,time
ngati,if
adzatero,will
bwanji,how
anati,said
ndi,an
aliyense,each
ndikuuzeni,tell
amachita,does
anasiyira,set
zitatu,three
tikufuna,want
mpweya,air
bwino,well
komanso,also
kusewera,play
waung’ono,small
tsiriza,end
kuika,put
kunyumba,home
kuwerenga,read
dzanja,hand
doko,port
yaikulu,large
kuziwerenga,spell
wonjezerani,add
ngakhale,even
dziko,land
pano,here
ayenela,must
yaikulu,big
mkulu,high
oterowo,such
kutsatira,follow
mchitidwe,act
chifukwa,why
kufunsa,ask
anthu,men
kusintha,change
anapita,went
kuunika,light
mtundu,kind
kuchokera,off
amafunika,need
m’nyumba,house
chithunzi,picture
kuyesa,try
ife,us
kachiwiri,again
nyama,animal
mfundo,point
mayi,mother
dziko,world
pafupi,near
kumanga,build
kudziona,self
lapansi,earth
bambo,father
aliyense,any
watsopano,new
ntchito,work
gawo,part
kutenga,take
kupeza,get
malo,place
anapanga,made
moyo,live
pamene,where
pambuyo,after
mmbuyo,back
wamng’ono,little
yokha,only
wozungulira,round
munthu,man
chaka,year
anabwera,came
bwanji,show
lirilonse,every
uthenga,good
ine,me
kupereka,give
yathu,our
pansi,under
dzina,name
kwambiri,very
kudzera,through
basi,just
mawonekedwe,form
chiganizo,sentence
kwakukulu,great
ndikuganiza,think
mukuti,say
thandizeni,help
otsika,low
mzere,line
amasiyana,differ
Ndiyeno,turn
chifukwa,cause
mochuluka,much
ndikutanthauza,mean
pamaso,before
kusuntha,move
pomwe,right
mnyamata,boy
wakale,old
Ifenso,too
yemweyo,same
iye,she
onse,all
apo,there
liti,when
pamwamba,up
ntchito,use
anu,your
njira,way
za,about
ambiri,many
Ndiyeno,then
iwo,them
kulemba,write
akanatero,would
monga,like
kotero,so
awa,these
iye,her
yaitali,long
kupanga,make
chinthu,thing
onani,see
iye,him
awiri,two
ali,has
kuyang’ana,look
zambiri,more
tsiku,day
akanatha,could
kupita,go
anabwera,come
anachitira,did
chiwerengero,number
kumveka,sound
palibe,no
kwambiri,most
anthu,people
wanga,my
zoposa,over
ndikudziwa,know
madzi,water
kuposa,than
kuitana,call
yoyamba,first
amene,who
mulole,may
pansi,down
mbali,side
akhala,been
tsopano,now
kupeza,find
mutu,head
kuyima,stand
mwini,own
tsamba,page
tiyenera,should
dziko,country
anapeza,found
yankho,answer
sukulu,school
kukula,grow
kuphunzira,study
adakali,still
kuphunzira,learn
chomera,plant
chivundikiro,cover
chakudya,food
dzuwa,sun
zinayi,four
pakati,between
mkhalidwe,state
kusunga,keep
diso,eye
konse,never
otsiriza,last
tiyeni,let
ndinaganiza,thought
mzinda,city
mtengo,tree
kuwoloka,cross
famu,farm
zolimba,hard
chiyambi,start
akhoza,might
nkhani,story
macheka,saw
mpaka,far
panyanja,sea
kudzatunga,draw
anasiya,left
mochedwa,late
amathamanga,run
osa,don’t
pamene,while
osindikizira,press
pafupi,close
usiku,night
kwenikweni,real
moyo,life
zochepa,few
kumpoto,north
buku,book
kunyamula,carry
anatenga,took
sayansi,science
kudya,eat
chipinda,room
bwenzi,friend
anayamba,began
lingaliro,idea
nsomba,fish
phiri,mountain
imani,stop
kamodzi,once
m’munsi,base
akumva,hear
kavalo,horse
wosemedwa,cut
wotsimikiza,sure
penyani,watch
mtundu,color
nkhope,face
mitengo,wood
chachikulu,main
lotseguka,open
amaoneka,seem
pamodzi,together
ena,next
yoyera,white
ana,children
yamba,begin
tiri,got
kuyenda,walk
Mwachitsanzo,example
