ਦੇ ਤੌਰ ਤੇ,as
ਮੈਨੂੰ,I
ਉਸ ਦੇ,his
|, ਜੋ ਕਿ|,that
ਉਸ ਨੇ,he
|ਸੀ,|,was
ਲਈ,for
’ਤੇ,on
ਹਨ,are
ਦੇ ਨਾਲ,with
ਉਹ,they
ਹੋ,be
’ਤੇ,at
ਇੱਕ,one
ਹੈ,have
ਇਸ ਨੂੰ,this
ਤੱਕ,from
ਕੇ,by
ਗਰਮ,hot
ਸ਼ਬਦ ਨੂੰ,word
ਪਰ,but
ਕੀ ਹੈ,what
ਨੂੰ ਕੁਝ,some
ਹੈ,is
ਇਸ ਨੂੰ,it
ਤੁਹਾਨੂੰ,you
ਜ,or
|ਸੀ,|,had
The,the
ਦੇ,of
ਨੂੰ,to
ਹੈ ਅਤੇ,and
ਇੱਕ,a
ਵਿੱਚ,in
ਸਾਨੂੰ,we
ਕਰ ਸਕਦੇ ਹੋ,can
ਬਾਹਰ,out
ਨੂੰ ਹੋਰ,other
ਸਨ,were
|, ਜੋ ਕਿ|,which
ਕਰਦੇ,do
ਆਪਣੇ,their
ਵਾਰ,time
ਜੇ,if
ਕਰੇਗਾ,will
ਕਿੰਨੇ,how
ਨੇ ਕਿਹਾ ਕਿ,said
ਇੱਕ,an
ਹਰ ਇੱਕ,each
ਨੂੰ ਦੱਸ,tell
ਕਰਦਾ ਹੈ,does
ਸੈੱਟ ਹੈ,set
ਤਿੰਨ,three
ਚਾਹੁੰਦੇ,want
ਹਵਾ,air
ਨਾਲ ਨਾਲ,well
ਇਹ ਵੀ,also
ਖੇਡਣ,play
ਛੋਟੇ ਛੋਟੇ,small
ਅੰਤ ਵਿੱਚ,end
ਪਾ,put
ਘਰ ਦੇ,home
ਨੂੰ ਪੜ੍ਹ,read
ਦਾ ਹੱਥ,hand
ਪੋਰਟ ਨੂੰ,port
ਵੱਡੇ,large
ਜੋੜ,spell
ਸ਼ਾਮਿਲ,add
ਵੀ,even
ਜ਼ਮੀਨ ਦੀ,land
ਇਥੇ,here
ਲਾਜ਼ਮੀ ਹੈ ਕਿ,must
ਵੱਡੇ,big
ਉੱਚ,high
ਅਜਿਹੇ,such
ਦੀ ਪਾਲਣਾ ਕਰੋ,follow
ਕੰਮ,act
ਇਸੇ,why
ਪੁੱਛੋ,ask
ਲੋਕ,men
ਤਬਦੀਲੀ,change
ਚਲਾ ਗਿਆ,went
ਹਲਕਾ,light
ਦਿਆਲੂ,kind
ਬੰਦ,off
ਦੀ ਲੋੜ ਹੈ,need
ਦੇ ਘਰ,house
ਤਸਵੀਰ,picture
ਕੋਸ਼ਿਸ਼ ਕਰੋ,try
ਸਾਡੇ ਨਾਲ,us
ਨੂੰ ਫਿਰ,again
ਜਾਨਵਰ,animal
ਬਿੰਦੂ,point
ਮਾਤਾ,mother
ਸੰਸਾਰ ਨੂੰ,world
ਦੇ ਨੇੜੇ,near
ਨੂੰ ਬਣਾਉਣ,build
ਸਵੈ,self
ਧਰਤੀ ਨੂੰ,earth
ਪਿਤਾ ਨੂੰ,father
ਕੋਈ ਵੀ,any
ਨਵ,new
ਕੰਮ ਦਾ,work
ਹਿੱਸਾ ਹੈ,part
ਲੈ,take
ਪ੍ਰਾਪਤ,get
ਸਥਾਨ,place
ਕੀਤੀ ਸੀ,made
ਰਹਿੰਦੇ,live
ਜਿੱਥੇ ਕਿ,where
ਦੇ ਬਾਅਦ,after
ਵਾਪਸ,back
ਥੋੜਾ,little
ਸਿਰਫ,only
ਦੌਰ,round
ਆਦਮੀ ਨੂੰ,man
ਸਾਲ ਦੇ,year
