kao,as
ja,I
svoje,his
da,that
on,he
je,was
za,for
na,on
su,are
s,with
oni,they
biti,be
u,at
jedan,one
imaju,have
ovo,this
iz,from
po,by
hot,hot
reč,word
ali,but
ono što,what
neki,some
je,is
to,it
te,you
ili,or
imao,had
u,the
od,of
u,to
i,and
a,a
u,in
smo,we
moći,can
out,out
druge,other
bili,were
koja,which
do,do
svoje,their
vrijeme,time
ako je,if
će,will
kako,how
|, rekao je|,said
an,an
svaka,each
reci,tell
radi,does
set,set
tri,three
želim,want
zraka,air
dobro,well
također,also
igrati,play
male,small
kraj,end
put,put
Početna,home
čitati,read
ruku,hand
port,port
velike,large
piše,spell
dodati,add
čak i,even
zemljišta,land
ovdje,here
mora,must
velika,big
visok,high
kao što,such
slijediti,follow
čin,act
zašto,why
pitati,ask
muškarci,men
promjene,change
otišao,went
svjetlo,light
vrste,kind
off,off
treba,need
kuća,house
slika,picture
pokušati,try
nas,us
opet,again
životinja,animal
tačka,point
majka,mother
svijetu,world
u blizini,near
graditi,build
self,self
Earth,earth
otac,father
bilo koji,any
novi,new
rada,work
dio,part
uzeti,take
dobiti,get
mjesto,place
napravio,made
živjeti,live
gdje,where
nakon,after
Natrag,back
malo,little
samo,only
okrugli,round
man,man
godine,year
došao,came
show,show
svaka,every
dobro,good
me,me
daju,give
našim,our
pod,under
ime,name
vrlo,very
kroz,through
samo,just
oblik,form
kazna,sentence
veliki,great
mislim,think
kažu,say
pomoći,help
niska,low
line,line
razlikuju,differ
red,turn
uzrok,cause
mnogo,much
znači,mean
prije,before
potez,move
pravo,right
boy,boy
Staro,old
previše,too
isto,same
ona,she
sve,all
postoji,there
kada,when
up,up
koristiti,use
svoje,your
način,way
oko,about
mnogim,many
onda,then
ih,them
pišu,write
bi,would
kao što,like
tako,so
ove,these
nju,her
duga,long
napraviti,make
stvar,thing
vidjeti,see
ga,him
dva,two
ima,has
pogledaj,look
više,more
dan,day
mogao,could
ići,go
dolaze,come
učinio,did
broj,number
zvuk,sound
ne,no
većina,most
ljudi,people
moj,my
više,over
znam,know
vode,water
od,than
Call,call
prvi,first
koji,who
može,may
down,down
strani,side
bilo,been
sada,now
naći,find
glava,head
stand,stand
vlastitih,own
stranicu,page
treba,should
zemlja,country
pronađeno,found
odgovor,answer
škole,school
raste,grow
studija,study
još,still
uče,learn
postrojenja,plant
poklopac,cover
hrane,food
sunce,sun
četiri,four
između,between
države,state
zadržati,keep
eye,eye
nikada,never
zadnji,last
neka,let
mislio,thought
Grad,city
stablo,tree
prelaze,cross
Farm,farm
tvrd,hard
Početak,start
možda,might
priča,story
testera,saw
sada,far
more,sea
izvući,draw
lijevo,left
krajem,late
Run,run
ne,don’t
a,while
pritisnite,press
close,close
noć,night
real,real
život,life
nekoliko,few
North,north
knjiga,book
nose,carry
uzeo,took
nauke,science
jesti,eat
soba,room
prijatelj,friend
počela,began
ideja,idea
ribe,fish
planine,mountain
zaustaviti,stop
jednom,once
baza,base
čuti,hear
konja,horse
cut,cut
siguran,sure
gledati,watch
u boji,color
lice,face
drvo,wood
glavni,main
Open,open
izgleda,seem
zajedno,together
sljedeći,next
bela,white
djecu,children
počinje,begin
dobio,got
hoda,walk
primjer,example
ublažiti,ease
papira,paper
group,group
uvijek,always
Glazba,music
te,those
oba,both
Mark,mark
često,often
pismo,letter
do,until
Mile,mile
River,river
auto,car
stopala,feet
njegu,care
drugi,second
dovoljno,enough
plain,plain
girl,girl
uobičajeni,usual
mladi,young
spreman,ready
iznad,above
ikad,ever
crvena,red
popis,list
iako,though
osjećaju,feel
razgovor,talk
ptica,bird
uskoro,soon
tijelo,body
pas,dog
obiteljska,family
direktna,direct
pose,pose
ostaviti,leave
song,song
izmjeriti,measure
vrata,door
proizvod,product
black,black
Ukratko,short
brojka,numeral
klase,class
Vjetar,wind
pitanje,question
dogoditi,happen
potpune,complete
brod,ship
području,area
pola,half
rock,rock
kako bi,order
požara,fire
jug,south
problem,problem
komad,piece
