mar,as
tha mi a ’,I
aige,his
gu bheil,that
e,he
bha,was
airson,for
air,on
tha,are
le,with
iad,they
a bhith,be
aig,at
aon,one
tha,have
seo,this
bho,from
le bhith a ’,by
teth,hot
fhacal,word
ach,but
dè,what
cuid,some
tha,is
e,it
thu,you
no,or
bha,had
a ’,the
de,of
gu,to
agus,and
a,a
ann an,in
tha sinn a ’,we
urrainn,can
#NAMN?,out
eile,other
bha,were
a tha a ’,which
a dhèanamh,do
aca,their
ùine,time
ma,if
bidh,will
ciamar,how
Thuirt,said
an,an
gach,each
innse,tell
a ’dèanamh,does
seata,set
trì,three
ag iarraidh,want
adhair,air
gu math,well
cuideachd,also
a ’cluich,play
beag,small
deireadh,end
chuir,put
dachaigh,home
leughadh,read
làimh,hand
port,port
mòr,large
spell,spell
ris,add
eadhon,even
fearainn,land
an seo,here
feumaidh,must
mòr,big
àrd,high
leithid,such
a ’leantainn,follow
achd,act
carson,why
iarr,ask
fir,men
atharrachadh,change
chaidh,went
sgòthan,light
seòrsa,kind
dheth,off
feumaidh,need
taigh,house
dealbh,picture
feuchainn,try
dhuinn,us
a-rithist,again
am beathach,animal
phuing,point
màthair,mother
t-saoghail,world
faisg air,near
togail,build
fèin,self
talamh,earth
athair,father
sam bith,any
ùr,new
obair,work
pàirt,part
ghabhail,take
fhaighinn,get
àite,place
a dhèanamh,made
fuireach,live
far a bheil,where
an dèidh,after
air ais,back
beag,little
a-mhàin,only
timcheall,round
fear,man
bliadhna,year
thàinig,came
Seall,show
a h-uile,every
math,good
dhomh,me
thoir,give
againn,our
fo,under
ainm,name
fìor,very
tro,through
dìreach,just
foirm,form
seantans,sentence
sgoinneil,great
smaoineachadh,think
ràdh,say
cuideachadh,help
ìosal,low
loidhne,line
eadar-dhealaichte,differ
tionndadh,turn
aobhar,cause
mòr,much
a ’ciallachadh,mean
mus,before
gluasad,move
deas,right
gille,boy
seann,old
ro,too
aon,same
i,she
a h-uile,all
an sin,there
cuin,when
suas,up
cleachdadh,use
agad,your
slighe,way
mu dheidhinn,about
iomadh,many
an uair sin,then
orra,them
sgrìobhadh,write
b’àill,would
mar,like
mar sin,so
sin,these
aice,her
a dh’fhaid,long
a dhèanamh,make
rud,thing
fhaicinn,see
ris,him
dhà,two
Tha,has
a ’coimhead,look
barrachd,more
latha,day
b ’urrainn,could
dol,go
tighinn,come
rinn,did
àireamh,number
fuaim,sound
chan eil,no
chuid as motha de,most
daoine,people
mo,my
thairis,over
fios,know
uisge,water
na,than
ghairm,call
a’ chiad,first
a,who
A’ Chèitean,may
sìos,down
taobh,side
a bhith,been
a-nis,now
lorg,find
ceann,head
seasamh,stand
fhèin,own
duilleag,page
bu chòir,should
dùthaich,country
lorg,found
fhreagairt,answer
sgoil,school
fàs,grow
sgrùdadh,study
fhathast,still
ionnsachadh,learn
lus,plant
còmhdach,cover
biadh,food
ghrian,sun
ceithir,four
eadar,between
stàite,state
a chumail,keep
shùil,eye
riamh,never
mu dheireadh,last
leig,let
smaoineachadh,thought
bhaile,city
chraobh,tree
tarsainn,cross
tuathanas,farm
cruaidh,hard
toiseach,start
fhaodainn,might
sgeulachd,story
sàibh,saw
fada,far
mhuir,sea
a ’tarraing,draw
clì,left
anmoch,late
ruith,run
nach eil,don’t
fhad ’sa,while
naidheachd,press
dùin,close
oidhche,night
fìor,real
beatha,life
beagan,few
tuath,north
leabhar,book
