kaip,as
Aš,I
jo,his
kad,that
jis,he
buvo,was
už,for
nuo,on
yra,are
su,with
jie,they
būti,be
pradėjo,at
vienas,one
turėti,have
tai,this
nuo,from
pagal,by
karštas,hot
žodis,word
tačiau,but
ką,what
kai,some
yra,is
ji,it
jūs,you
arba,or
buvo,had
pamatyti,the
iš,of
į,to
ir,and
grožis,a
matyti,in
mes,we
galima,can
iš,out
kitas,other
buvo,were
kurie,which
padaryti,do
jų,their
laikas,time
jei,if
bus,will
kaip,how
sakė,said
kiekvienas,each
pasakyti,tell
daro,does
rinkinys,set
trijų,three
noriu,want
oro,air
gerai,well
taip pat,also
žaisti,play
mažas,small
pabaiga,end
sudėti,put
namai,home
skaityti,read
rankų,hand
uostas,port
didelis,large
reikšti,spell
pridėti,add
net,even
žemės,land
čia,here
turi,must
didelis,big
aukštas,high
toks,such
sekti,follow
aktas,act
kodėl,why
paklausti,ask
vyrai,men
pokytis,change
nuvyko,went
šviesa,light
natūra,kind
nuo,off
reikėti,need
namas,house
nuotrauka,picture
pabandyti,try
mums,us
vėl,again
gyvūnas,animal
taškas,point
motina,mother
pasaulis,world
šalia,near
statyti,build
savarankiškai,self
žemė,earth
tėvas,father
bet koks,any
nauja,new
darbas,work
dalis,part
imti,take
gauti,get
vieta,place
padarė,made
gyventi,live
kur,where
po,after
atgal,back
mažai,little
tik,only
turas,round
vyras,man
metai,year
atėjo,came
šou,show
kiekvienas,every
geras,good
mane,me
duoti,give
mūsų,our
pagal,under
pavadinimas,name
labai,very
per,through
tiesiog,just
forma,form
sakinys,sentence
puikus,great
galvoti,think
pasakyti,say
padėti,help
žemas,low
linija,line
skiriasi,differ
posūkis,turn
priežastis,cause
daug,much
reiškia,mean
prieš,before
Perkelti,move
teisė,right
berniukas,boy
senas,old
taip pat,too
tas pats,same
ji,she
visi,all
ten,there
kai,when
į viršų,up
naudoti,use
savo,your
būdas,way
apie,about
daug,many
tada,then
jiems,them
rašyti,write
būtų,would
kaip,like
taip,so
tai,these
jos,her
ilgai,long
padaryti,make
dalykas,thing
pamatyti,see
jį,him
du,two
turi,has
žiūrėti,look
daugiau,more
dieną,day
galėtų,could
eiti,go
ateiti,come
padarė,did
skaičius,number
garso,sound
ne,no
dauguma,most
žmonės,people
mano,my
per,over
žinoti,know
vanduo,water
nei,than
kvietimas,call
pirmas,first
kas,who
gali,may
žemyn,down
pusė,side
buvo,been
dabar,now
rasti,find
vadovas,head
stovėti,stand
savo,own
puslapis,page
turėtų,should
šalis,country
rasti,found
atsakymas,answer
mokykla,school
augti,grow
tyrimas,study
dar,still
sužinoti,learn
augalų,plant
dangtis,cover
maistas,food
saulė,sun
keturi,four
tarp,between
valstybės,state
išlaikyti,keep
akių,eye
niekada,never
paskutinis,last
tegul,let
mintis,thought
miestas,city
medis,tree
kirsti,cross
ūkis,farm
sunku,hard
pradžia,start
might,might
istorija,story
pjūklas,saw
toli,far
jūra,sea
atkreipti,draw
į kairę,left
vėlai,late
paleisti,run
nėra,don’t
o,while
paspauskite,press
arti,close
naktis,night
tikras,real
gyvenimas,life
mažai,few
į šiaurę,north
knyga,book
vykdyti,carry
paėmė,took
mokslas,science
valgyti,eat
kambario,room
draugas,friend
pradėjo,began
idėja,idea
žuvis,fish
kalnas,mountain
sustabdyti,stop
kartą,once
bazė,base
išgirsti,hear
arklys,horse
supjaustyti,cut
tikrai,sure
žiūrėti,watch
spalva,color
veido,face
medienos,wood
pagrindinis,main
atvira,open
atrodo,seem
kartu,together
kitas,next
baltas,white
vaikai,children
pradėti,begin
turiu,got
vaikščioti,walk
pavyzdys,example
palengvinti,ease
popieriaus,paper
grupė,group
visada,always
muzika,music
tie,those
abu,both
ženklas,mark
dažnai,often
laiškas,letter
iki,until
mylių,mile
upės,river
automobilių,car
pėdų,feet
priežiūra,care
antra,second
pakankamai,enough
paprastas,plain
mergina,girl
įprasta,usual
jauna,young
pasiruošęs,ready
aukščiau,above
kada nors,ever
raudonas,red
sąrašas,list
nors,though
jausti,feel
aptarimas,talk
paukštis,bird
greičiau,soon
kūnas,body
šuo,dog
šeima,family
tiesiogiai,direct
kelti,pose
palikti,leave
daina,song
matuoti,measure
durys,door
produktas,product
juodas,black
trumpas,short
skaitvardis,numeral
klasė,class
vėjas,wind
klausimas,question
atsitikti,happen
pilnas,complete
laivas,ship
plotas,area
pusė,half
rokas,rock
kad,order
gaisro,fire
į pietus,south
problema,problem
gabalas,piece
sakė,told
|žinojo,|,knew
pereiti,pass
nuo,since
viršus,top
visas,whole
karalius,king
gatvės,street
colis,inch
daugintis,multiply
nieko,nothing
Žinoma,course
likti,stay
ratų,wheel
pilnas,full
jėga,force
mėlynas,blue
objektas,object
nuspręsti,decide
paviršius,surface
giliai,deep
mėnulis,moon
sala,island
pėda,foot
sistema,system
užimtas,busy
testas,test
įrašas,record
valtis,boat
bendras,common
aukso,gold
galimas,possible
lėktuvas,plane
sodyba,stead
sausas,dry
nenuostabu,wonder
juokas,laugh
tūkstančių,thousand
prieš,ago
Arklys,ran
patikrinti,check
žaidimas,game
forma,shape
prilygti,equate
karštas,hot
praleisti,miss
atnešė,brought
šilumos,heat
sniego,snow
padanga,tire
atnešti,bring
taip,yes
tolimas,distant
užpildyti,fill
į rytus,east
dažai,paint
kalba,language
tarp,among
vienetas,unit
galia,power
miestas,town
gerai,fine
tikras,certain
skristi,fly
patenka,fall
vadovauti,lead
šauksmas,cry
tamsus,dark
mašina,machine
pastaba,note
laukti,wait
planas,plan
figūra,figure
žvaigždė,star
dėžutė,box
daiktavardis,noun
srityje,field
poilsio,rest
teisingas,correct
sugebėti,able
svaras,pound
padirbtas,done
grožis,beauty
vairuoti,drive
stovėjo,stood
būti,contain
priekinis,front
mokyti,teach
savaitę,week
galutinis,final
davė,gave
žalia,green
oh,oh
greitai,quick
plėtoti,develop
vandenynas,ocean
šiltas,warm
nemokamai,free
minučių,minute
stiprus,strong
ypatingą,special
protas,mind
už,behind
|aišku,|,clear
uodega,tail
gaminti,produce
faktas,fact
vietos,space
girdėjau,heard
geriausias,best
valandos,hour
geriau,better
tiesa,true
metu,during
šimtai,hundred
penki,five
prisiminti,remember
žingsnis,step
anksti,early
palaikykite,hold
vakarų,west
žemės,ground
palūkanos,interest
pasiekti,reach
greitai,fast
veiksmažodis,verb
dainuoti,sing
klausyti,listen
šešių,six
lentelė,table
kelionė,travel
mažiau,less
rytas,morning
dešimt,ten
paprastas,simple
kelis,several
balsis,vowel
link,toward
karas,war
padėti,lay
prieš,against
modelis,pattern
lėtai,slow
centras,center
patinka,love
asmuo,person
pinigai,money
tarnauti,serve
pasirodyti,appear
kelių,road
žemėlapis,map
lietus,rain
taisyklė,rule
reglamentuoja,govern
traukti,pull
šaltas,cold
pranešimas,notice
balsas,voice
energija,energy
medžioklė,hunt
|tikėtina,|,probable
lova,bed
brolis,brother
kiaušinis,egg
važinėti,ride
ląstelė,cell
tikėti,believe
galbūt,perhaps
pasirinkti,pick
staiga,sudden
skaičiuoti,count
aikštė,square
priežastis,reason
ilgis,length
atstovauti,represent
menas,art
tema,subject
regionas,region
dydis,size
skirtis,vary
atsiskaityti,settle
kalbėti,speak
svoris,weight
bendras,general
ledas,ice
nesvarbu,matter
ratas,circle
pora,pair
įtraukti,include
takoskyra,divide
skiemuo,syllable
jaučiamas,felt
didysis,grand
kamuoliukas,ball
dar,yet
banga,wave
lašas,drop
širdis,heart
pm,am
metu,present
sunkus,heavy
šokis,dance
variklis,engine
pozicija,position
ranka,arm
pločio,wide
burė,sail
medžiaga,material
frakcija,fraction
miškas,forest
sėdėti,sit
varžybos,race
langas,window
parduotuvė,store
vasara,summer
traukinys,train
miegas,sleep
įrodyti,prove
vienišas,lone
koja,leg
pratimas,exercise
sienos,wall
laimikis,catch
kalno,mount
norėti,wish
dangus,sky
lenta,board
džiaugsmas,joy
žiema,winter
sat,sat
parašyta,written
laukinis,wild
priemonė,instrument
laikomi,kept
stiklas,glass
žolė,grass
karvė,cow
darbas,job
kraštas,edge
ženklas,sign
apsilankymas,visit
praeitis,past
minkštas,soft
malonumas,fun
šviesus,bright
dujos,gas
oras,weather
mėnesį,month
milijonas,million
būti,bear
apdaila,finish
laimingas,happy
tikiuosi,hope
gėlė,flower
aprengti,clothe
keista,strange
dingo,gone
prekyba,trade
melodija,melody
Kelionės,trip
biuras,office
gauti,receive
eilė,row
burna,mouth
tikslus,exact
simbolis,symbol
mirti,die
mažiau,least
bėda,trouble
šaukti,shout
išskyrus,except
rašė,wrote
sėklos,seed
tonas,tone
prisijungti,join
pasiūlyti,suggest
švarus,clean
pertrauka,break
panele,lady
