toy ny,as
I,I
ny,his
fa,that
izy,he
dia,was
fa,for
amin’ny,on
dia,are
amin’ny,with
izy ireo,they
ho,be
amin’ny,at
iray,one
manana,have
izany,this
amin’ny,from
amin’ny,by
mafana,hot
teny,word
fa,but
inona,what
ny sasany,some
dia,is
izany,it
ianao,you
na,or
nanana,had
ny,the
ny,of
ny,to
ary,and
ny,a
amin’ny,in
izahay,we
afaka,can
avy,out
hafa,other
ireo,were
izay,which
atao,do
ny,their
fotoana,time
raha,if
ho,will
ahoana,how
nanao hoe:,said
iray,an
tsirairay,each
milaza,tell
no,does
napetraka,set
telo,three
te,want
rivotra,air
tsara,well
koa,also
milalao,play
kely,small
tapitra,end
mametraka,put
an-trano,home
vakio,read
tanana,hand
seranan-tsambo,port
lehibe,large
tsipelina,spell
ampio,add
na dia,even
tany,land
eto,here
tsy maintsy,must
lehibe,big
avo,high
toy izany,such
manaraka,follow
zavatra,act
antony,why
manontany,ask
ny olona,men
fanovana,change
nandeha,went
fahazavana,light
tsara fanahy,kind
eny,off
mila,need
trano,house
sary,picture
manandrana,try
antsika,us
indray,again
biby,animal
hevitra,point
ny reniny,mother
izao tontolo izao,world
akaiky,near
hanorina,build
tena,self
eto an-tany,earth
ray,father
rehetra,any
vaovao,new
asa,work
Fizarana,part
handray,take
mahazo,get
toerana,place
nanao,made
velona,live
izay,where
rehefa,after
indray,back
kely,little
ihany,only
manodidina,round
ny olona,man
taona,year
tonga,came
fampisehoana,show
rehetra,every
tsara,good
ahy,me
manome,give
ny,our
eo ambany,under
anarana,name
tena,very
ny alalan ’,through
fotsiny,just
endrika,form
didim-pitsarana,sentence
lehibe,great
mieritreritra,think
milaza,say
vonjeo,help
ambany,low
tsipika,line
mitovy,differ
indray,turn
antony,cause
be,much
hoe,mean
talohan’ny,before
hetsika,move
marina,right
zazalahy,boy
taloha,old
koa,too
toy izany koa,same
izy,she
rehetra,all
ery,there
rahoviana,when
ny,up
fampiasana,use
ny,your
fomba,way
ny,about
maro,many
avy eo,then
azy ireo,them
manoratra,write
te,would
toy ny,like
izany,so
ireo,these
azy,her
ela,long
manao,make
zavatra,thing
jereo,see
azy,him
roa,two
manana,has
mijery,look
bebe kokoa,more
andro,day
afaka,could
mandeha,go
ho avy,come
nanao,did
isa,number
feo,sound
tsy,no
indrindra,most
ny olona,people
ny,my
ny,over
mahafantatra,know
rano,water
noho ny,than
antso,call
voalohany,first
izay,who
mety,may
midina,down
lafiny,side
efa,been
ankehitriny,now
hahita,find
lohany,head
mitsangana,stand
manokana,own
pejy,page
tokony,should
firenena,country
hita,found
valiny,answer
am-pianarana,school
mitombo,grow
fianarana,study
mbola,still
mianatra,learn
fototra,plant
fonony,cover
sakafo,food
masoandro,sun
efatra,four
eo,between
fanjakana,state
foana,keep
maso,eye
na oviana na oviana,never
farany,last
aoka,let
nihevitra,thought
tanàna,city
hazo,tree
miampita,cross
toeram-pambolena,farm
mafy,hard
nanomboka,start
mety,might
tantara,story
tsofa,saw
lavitra,far
ranomasina,sea
hanatona,draw
niala,left
tara,late
Run,run
aza,don’t
raha,while
mpanao gazety,press
akaiky,close
alina,night
tena,real
fiainana,life
vitsivitsy,few
avaratra,north
boky,book
mitondra,carry
naka,took
ny siansa,science
mihinana,eat
efitra,room
namana,friend
nanomboka,began
hevitra,idea
trondro,fish
tendrombohitra,mountain
mijanòna,stop
indray mandeha,once
fototra,base
mihainoa,hear
soavaly,horse
notapatapahina,cut
azo antoka,sure
mijery,watch
loko,color
endrika,face
hazo,wood
lehibe,main
misokatra,open
toa,seem
miara-,together
manaraka,next
fotsy,white
ankizy,children
manomboka,begin
nahazo,got
mandeha,walk
ohatra,example
hanamaivana,ease
taratasy,paper
vondrona,group
foana,always
mozika,music
ireo,those
samy,both
marika,mark
matetika,often
taratasy,letter
mandra-,until
kilaometatra,mile
ony,river
fiara,car
tongotra,feet
fikarakarana,care
faharoa,second
ampy,enough
tani-hay,plain
ankizivavy,girl
mahazatra,usual
tanora,young
vonona,ready
ambony,above
mandrakizay,ever
mena,red
lisitra,list
aza,though
mahatsapa,feel
lahateny,talk
vorona,bird
