ເປັນ,as
ຂ້າພະເຈົ້າ,I
ລາວ,his
ທີ່,that
ລາວ,he
ນີ້ແມ່ນ,was
ສໍາລັບການ,for
ສຸດ,on
ແມ່ນ,are
ກັບ,with
ພວກເຂົາເຈົ້າ,they
ຈະ,be
ຢູ່,at
ຫນຶ່ງ,one
ມີ,have
ນີ້,this
ຈາກ,from
ໂດຍ,by
ຮ້ອນ,hot
ຄໍາ,word
ແຕ່ວ່າ,but
ສິ່ງທີ່,what
ບາງ,some
ແມ່ນ,is
ມັນ,it
ທ່ານ,you
ຫຼື,or
ໄດ້,had
ໄດ້,the
ຂອງ,of
ການທີ່ຈະ,to
ແລະ,and
ເປັນ,a
ໃນ,in
ພວກເຮົາ,we
ສາມາດເຮັດໄດ້,can
ອອກ,out
ອື່ນໆ,other
ໄດ້,were
ທີ່,which
ເຮັດແນວໃດ,do
ຂອງເຂົາເຈົ້າ,their
ທີ່ໃຊ້ເວລາ,time
ຖ້າຫາກວ່າ,if
ຈະ,will
ວິທີການ,how
ກ່າວວ່າ,said
ເປັນ,an
ແຕ່ລະຄົນ,each
ບອກ,tell
ບໍ່,does
ທີ່ກໍານົດໄວ້,set
ສາມ,three
ຕ້ອງການ,want
ອາກາດ,air
ດີ,well
ຍັງ,also
ຫຼິ້ນ,play
ຂະຫນາດນ້ອຍ,small
ໃນຕອນທ້າຍ,end
ເອົາໃຈໃສ່,put
ເຮືອນ,home
ອ່ານ,read
ມື,hand
ທີ່,port
ຂະຫນາດໃຫຍ່,large
ການສະກົດຄໍາ,spell
ເພີ່ມ,add
ເຖິງແມ່ນວ່າ,even
ທີ່ດິນ,land
ທີ່ນີ້,here
ຕ້ອງ,must
ໃຫຍ່,big
ສູງ,high
ເຊັ່ນ:,such
ປະຕິບັດຕາມ,follow
ກົດຫມາຍວ່າດ້ວຍ,act
ເປັນຫຍັງ,why
ຖາມ,ask
ຜູ້ຊາຍ,men
ການປ່ຽນແປງ,change
ໄດ້,went
ແສງສະຫວ່າງ,light
ປະເພດ,kind
ໄປ,off
ຈໍາເປັນຕ້ອງໄດ້,need
ເຮືອນ,house
ຮູບ,picture
ພະຍາຍາມ,try
ພວກເຮົາ,us
ອີກເທື່ອຫນຶ່ງ,again
ສັດ,animal
ຈຸດ,point
ແມ່,mother
ໂລກ,world
ຢູ່ໃກ້,near
ການກໍ່ສ້າງ,build
ຕົນເອງ,self
ແຜ່ນດິນໂລກ,earth
ພໍ່,father
ໃດ,any
ໃຫມ່,new
ການເຮັດວຽກ,work
ສ່ວນ,part
ໃຊ້ເວລາ,take
ໄດ້ຮັບ,get
ສະຖານທີ່,place
ໄດ້,made
ດໍາລົງຊີວິດ,live
ບ່ອນທີ່,where
ຫຼັງຈາກ,after
ກັບຄືນໄປບ່ອນ,back
ພຽງເລັກນ້ອຍ,little
ພຽງແຕ່,only
ໄດ້ຕະຫຼອດ,round
ຜູ້ຊາຍ,man
ປີ,year
ມາ,came
ສະແດງໃຫ້ເຫັນ,show
ທຸກ,every
ດີ,good
ຂ້າພະເຈົ້າ,me
ໃຫ້,give
ຂອງພວກເຮົາ,our
ພາຍໃຕ້ການ,under
ຊື່,name
ຫຼາຍ,very
ໂດຍຜ່ານການ,through
ພຽງແຕ່,just
ຮູບແບບ,form
ປະໂຫຍກ,sentence
ທີ່ຍິ່ງໃຫຍ່,great
ຄິດວ່າ,think
ເວົ້າ,say
ຊ່ວຍເຫຼືອ,help
ຕ່ໍາ,low
ເສັ້ນ,line
ຄວາມແຕກຕ່າງກັນ,differ
ແລະເຮັດໃຫ້ການ,turn
ສາເຫດ,cause
ຫຼາຍ,much
ຫມາຍຄວາມວ່າ,mean
ກ່ອນທີ່ຈະ,before
ການເຄື່ອນໄຫວ,move
ສິດ,right
ເດັກຜູ້ຊາຍ,boy
ອາຍຸ,old
ເກີນໄປ,too
ດຽວກັນ,same
ນາງ,she
ທັງຫມົດ,all
ມີ,there
ໃນເວລາທີ່,when
ເຖິງ,up
ການນໍາໃຊ້,use
ຂອງທ່ານ,your
ວິທີການ,way
ກ່ຽວກັບ,about
ຈໍານວນຫຼາຍ,many
ຫຼັງຈາກນັ້ນ,then
ໃຫ້ເຂົາເຈົ້າ,them
ຂຽນ,write
ຈະ,would
ເຊັ່ນ:,like
ສະນັ້ນ,so
ເຫຼົ່ານີ້,these
ນາງ,her
ຍາວ,long
ເຮັດໃຫ້,make
ການທົດສອບ,thing
ເບິ່ງ,see
ພຣະອົງ,him
ສອງ,two
ມີ,has
ເບິ່ງ,look
ຫຼາຍ,more
ມື້,day
ສາມາດເຮັດໄດ້,could
ໄປ,go
ມາ,come
ໄດ້,did
ຈໍານວນ,number
ສຽງ,sound
ບໍ່ມີ,no
ຫຼາຍທີ່ສຸດ,most
ປະຊາຊົນ,people
ຂອງຂ້າພະເຈົ້າ,my
ໃນໄລຍະ,over
ຮູ້,know
ນ້ໍາ,water
ກ່ວາ,than
ໂທ,call
ຄັ້ງທໍາອິດ,first
ຜູ້ທີ່,who
ອາດຈະ,may
ລົງ,down
ຂ້າງ,side
ໄດ້,been
ໃນປັດຈຸບັນ,now
ຊອກຫາ,find
ຫົວ,head
ຢືນ,stand
ຂອງຕົນເອງ,own
ຫນ້າ,page
ຄວນ,should
ປະເທດ,country
ພົບ,found
ຄໍາຕອບ,answer
ໂຮງຮຽນ,school
ການຂະຫຍາຍຕົວ,grow
ການສຶກສາ,study
ຍັງ,still
ຮຽນຮູ້,learn
ພືດ,plant
ການປົກຫຸ້ມຂອງ,cover
ອາຫານ,food
ແສງຕາເວັນ,sun
ສີ່,four
ລະຫວ່າງ,between
ລັດ,state
ຮັກສາ,keep
ຕາ,eye
ບໍ່ເຄີຍ,never
ສຸດທ້າຍ,last
ໃຫ້,let
ຄິດວ່າ,thought
ນະຄອນ,city
ເປັນໄມ້ຢືນຕົ້ນ,tree
ກາ,cross
ການກະສິກໍາ,farm
ຍາກ,hard
ການເລີ່ມຕົ້ນ,start
ອາດຈະ,might
ເລື່ອງ,story
ເຫັນ,saw
ໄກ,far
ທະເລ,sea
ແຕ້ມ,draw
ໄວ້,left
ທ້າຍ,late
ການດໍາເນີນງານ,run
ເຮັດບໍ່ໄດ້,don’t
ໃນຂະນະທີ່,while
ຫນັງສືພິມ,press
ໃກ້ຊິດ,close
ໃນຕອນກາງຄືນ,night
ແທ້ຈິງ,real
ຊີວິດ,life
ບໍ່ຫຼາຍປານໃດ,few
ພາກເຫນືອ,north
ປື້ມບັນ,book
ປະຕິບັດການ,carry
ໄດ້,took
ວິທະຍາສາດ,science
ກິນອາຫານ,eat
ຫ້ອງການ,room
ຫມູ່ເພື່ອນ,friend
ເລີ່ມຕົ້ນ,began
ແນວຄວາມຄິດ,idea
ປາ,fish
ພູ,mountain
ຢຸດເຊົາການ,stop
ຄັ້ງ,once
ຖານ,base
ຍິນ,hear
ມ້າ,horse
ການຕັດ,cut
ໃຫ້ແນ່ໃຈວ່າ,sure
ສັງເກດເບິ່ງ,watch
ສີ,color
ໃບຫນ້າ,face
ໄມ້,wood
ຕົ້ນຕໍ,main
ເປີດ,open
ເບິ່ງຄືວ່າ,seem
ຮ່ວມກັນ,together
ຕໍ່ໄປ,next
ສີຂາວ,white
ເດັກນ້ອຍ,children
ເລີ່ມຕົ້ນ,begin
ໄດ້ຮັບ,got
ຍ່າງ,walk
ການຍົກຕົວຢ່າງ,example
ຄວາມງ່າຍຂອງ,ease
ເຈ້ຍ,paper
ກຸ່ມ,group
ສະເຫມີໄປ,always
ດົນຕີ,music
ຜູ້,those
ທັງສອງ,both
ເຄື່ອງຫມາຍ,mark
ມັກ,often
ຈົດຫມາຍສະບັບ,letter
ຈົນກ່ວາ,until
ໄມ,mile
ນ້ໍາ,river
ລົດ,car
ຕີນ,feet
ການດູແລ,care
ຄັ້ງທີສອງ,second
ພຽງພໍ,enough
ທົ່ງພຽງ,plain
ສາວ,girl
ປົກກະຕິ,usual
ຫນຸ່ມ,young
ພ້ອມ,ready
ຂ້າງເທິງ,above
ເຄີຍ,ever
ສີແດງ,red
ບັນຊີລາຍຊື່,list
ເຖິງແມ່ນວ່າ,though
ຄວາມຮູ້ສຶກ,feel
ການສົນທະນາ,talk
ນົກຊະນິດ,bird
ໄວເທົ່າທີ່ຈະ,soon
ຮ່າງກາຍ,body
ຫມາ,dog
ຄອບຄົວ,family
ໂດຍກົງ,direct
ສ້າງ,pose
ອອກຈາກ,leave
ເພງ,song
ການວັດແທກ,measure
ປະຕູ,door
ຜະລິດຕະພັນ,product
ສີດໍາ,black
ສັ້ນ,short
ຈໍານວນຫລາຍ,numeral
ຫ້ອງຮຽນ,class
ພະລັງງານລົມ,wind
ຄໍາຖາມ,question
ມີຫຍັງເກີດຂຶ້ນ,happen
ສໍາເລັດສົມບູນ,complete
ການຂົນສົ່ງ,ship
ເຂດພື້ນທີ່,area
ເຄິ່ງຫນຶ່ງ,half
ຫີນ,rock
ຄໍາສັ່ງ,order
ໄຟ,fire
ເຂດພາກໃຕ້,south
ບັນຫາ,problem
ສິ້ນ,piece
ບອກ,told
ຮູ້,knew
ຜ່ານ,pass
ນັບຕັ້ງແຕ່,since
ທາງເທີງ,top
ທັງຫມົດ,whole
ຄົນ,king
ຖະຫນົນຫົນທາງ,street
ນິ້ວ,inch
ວີຜົນປະໂຫຍດ,multiply
ບໍ່ມີຫຍັງ,nothing
ແນ່ນອນ,course
ຢູ່,stay
ຂັບລົດ,wheel
ຢ່າງເຕັມທີ່,full
ຜົນບັງຄັບໃຊ້,force
ສີຟ້າ,blue
ຈຸດປະສົງ,object
ຕັດສິນໃຈ,decide
ດ້ານ,surface
ເລິກ,deep
ວົງເດືອນ,moon
ເກາະ,island
ຕີນ,foot
ລະບົບ,system
ທຸລະກິດ,busy
ການທົດສອບ,test
ການບັນທຶກ,record
ເຮືອ,boat
ທົ່ວໄປ,common
ຄໍາ,gold
ເປັນໄປໄດ້,possible
ຍົນ,plane
ສິ່ງທີ່ສາມາດນໍາກັບມາ,stead
ແຫ້ງແລ້ງ,dry
ສິ່ງມະຫັດ,wonder
ຫົວຫລິ້ນ,laugh
ພັນ,thousand
ກ່ອນຫນ້ານີ້,ago
ໄດ້ແລ່ນ,ran
ໃຫ້ກວດເບິ່ງ,check
ເກມ,game
ຮູບຮ່າງ,shape
ເວັນອອກ,equate
ຮ້ອນ,hot
ພາດ,miss
ໄດ້ນໍາເອົາ,brought
ຄວາມຮ້ອນ,heat
ຫິມະ,snow
ເມື່ອຍ,tire
ເອົາມາໃຫ້,bring
ແມ່ນແລ້ວ,yes
ຫ່າງໄກ,distant
ຕື່ມຂໍ້ມູນໃສ່,fill
ພາກຕາເວັນອອກ,east
ທາສີ,paint
ພາສາ,language
ໃນບັນດາ,among
ຫນ່ວຍບໍລິການ,unit
ພະລັງງານ,power
ຕົວເມືອງ,town
ອັນດີງາມ,fine
ສະເພາະໃດຫນຶ່ງ,certain
ບິນ,fly
ຕົກລົງ,fall
ນໍາໄປສູ່ການ,lead
ໄຫ້,cry
ຊ້ໍາ,dark
ເຄື່ອງ,machine
ຫມາຍເຫດ,note
ລໍຖ້າ,wait
ແຜນການ,plan
ຮູບ,figure
ດາວ,star
ຫມາຍໃສ່ໃນປ່ອງ,box
ພາສາ,noun
ພາກສະຫນາມ,field
ສ່ວນທີ່ເຫຼືອ,rest
ໄປ,correct
ສາມາດ,able
ປອນກັບ,pound
ເຮັດ,done
ຄວາມງາມ,beauty
ຂັບ,drive
ໄດ້ຢືນຢູ່,stood
ບັນຈຸ,contain
ຫນ້າ,front
ສອນ,teach
ອາທິດ,week
ສຸດທ້າຍ,final
ໃຫ້,gave
ສີຂຽວ,green
ໂອ້ຍ,oh
ໄວ,quick
ການພັດທະນາ,develop
ມະຫາສະຫມຸດ,ocean
ອົບອຸ່ນ,warm
ອອນໄລນ,free
ນາທີ,minute
ທີ່ເຂັ້ມແຂງ,strong
ພິເສດ,special
ໃຈ,mind
ຫລັງ,behind
ຈະແຈ້ງ,clear
ຫາງ,tail
ຜະລິດຕະພັນ,produce
ຄວາມຈິງ,fact
ຊ່ອງ,space
