كما,as
أنا,I
له,his
أن,that
هو,he
كان,was
إلى,for
في,on
هي,are
مع,with
هم,they
يكون,be
في,at
واحد,one
ديك,have
هذا,this
من,from
بواسطة,by
حار,hot
كلمة,word
لكن,but
ما,what
بعض,some
هو,is
هو,it
أنت,you
أو,or
كان,had
و,the
من,of
إلى,to
و,and
و,a
في,in
نحن,we
علبة,can
خارج,out
البعض,other
و,were
التي,which
القيام,do
من,their
الوقت,time
إذا,if
سوف,will
كيف,how
قال,said
و,an
كل,each
أقول,tell
لا,does
مجموعة,set
ثلاثة,three
تريد,want
هواء,air
جيد,well
أيضا,also
لعب,play
صغير,small
نهاية,end
وضع,put
المنزل,home
قرأ,read
يد,hand
ميناء,port
كبير,large
تهجى,spell
إضافة,add
حتى,even
الأرض,land
هنا,here
يجب,must
كبير,big
ارتفاع,high
مثل,such
تابع,follow
فعل,act
لماذا,why
تطلب,ask
الرجال,men
تغيير,change
ذهب,went
ضوء,light
نوع,kind
بعيدا,off
تحتاج,need
منزل,house
صور,picture
محاولة,try
لنا,us
مرة أخرى,again
الحيوان,animal
نقطة,point
أم,mother
العالم,world
قرب,near
بناء,build
النفس,self
أرض,earth
الأب,father
أي,any
جديدة,new
العمل,work
جزء,part
أخذ,take
الحصول على,get
مكان,place
مصنوع,made
حي,live
حيث,where
بعد,after
ظهر,back
القليل,little
فقط,only
جولة,round
رجل,man
عام,year
جاء,came
المعرض,show
كل,every
جيد,good
أنا,me
منح,give
لدينا,our
تحت,under
اسم,name
جدا,very
من خلال,through
فقط,just
شكل,form
عقوبة,sentence
عظيم,great
اعتقد,think
قول,say
مساعدة,help
منخفض,low
خط,line
اختلف,differ
منعطف,turn
السبب,cause
كثيرا,much
متوسط,mean
قبل,before
خطوة,move
الحق,right
صبي,boy
قديم,old
أيضا,too
نفسه,same
هي,she
كل,all
هناك,there
عندما,when
فوق,up
استخدام,use
ك,your
طريق,way
حول,about
كثير,many
ثم,then
هم,them
إرسال,write
أراد,would
مثل,like
هكذا,so
هؤلاء,these
لها,her
طويل,long
جعل,make
شيء,thing
شاهد,see
له,him
اثنين,two
لديه,has
بحث,look
أكثر,more
يوم,day
يمكن,could
تذهب,go
جاء,come
لم,did
عدد,number
صوت,sound
لا,no
أكثر,most
الناس,people
لي,my
على,over
تعرف,know
ماء,water
من,than
دعوة,call
الأول,first
الذي,who
قد,may
إلى,down
الجانب,side
كان,been
الآن,now
اكتشاف,find
رئيس,head
الوقوف,stand
الخاصة,own
الصفحة,page
ينبغي,should
بلد,country
أسس,found
الجواب,answer
المدرسة,school
تنمو,grow
دراسة,study
لا يزال,still
تعلم,learn
مصنع,plant
غطاء,cover
غذاء,food
شمس,sun
أربعة,four
بين,between
دولة,state
احتفظ,keep
العين,eye
أبدا,never
آخر,last
سمح,let
يعتقد,thought
المدينة,city
شجرة,tree
عبور,cross
مزرعة,farm
شاق,hard
بداية,start
قد,might
قصة,story
منشار,saw
الآن,far
