mar,as
mé,I
a,his
go,that
sé,he
bhí,was
do,for
ar,on
Tá,are
le,with
siad,they
bheith,be
ag,at
amháin,one
tá,have
seo,this
ó,from
ag,by
te,hot
focal,word
ach,but
cad,what
roinnt,some
tá,is
sé,it
tú,you
nó,or
bhí,had
an,the
ar,of
go,to
agus,and
a,a
i,in
againn,we
Is féidir,can
amach,out
eile,other
bhí,were
a,which
dhéanamh,do
n-,their
am,time
más rud é,if
beidh,will
conas,how
dúirt,said
ar,an
gach,each
insint,tell
dhéanann,does
leagtha,set
trí,three
Ba mhaith,want
aer,air
go maith,well
freisin,also
imirt,play
beag,small
deireadh,end
chur,put
baile,home
léamh,read
lámh,hand
calafoirt,port
mór,large
litriú,spell
cuir,add
fiú,even
talamh,land
anseo,here
Ní mór,must
mór,big
ard,high
den sórt sin a,such
leanúint,follow
gníomh,act
cén fáth,why
a iarraidh,ask
fir,men
athraithe,change
chuaigh,went
solas,light
chineál,kind
amach,off
Ní mór,need
teach,house
pictiúr,picture
iarracht,try
dúinn,us
arís,again
ainmhithe,animal
pointe,point
máthair,mother
domhan,world
in aice le,near
a thógáil,build
féin,self
cré,earth
athair,father
aon,any
nua,new
obair,work
chuid,part
ghlacadh,take
a fháil,get
áit,place
déanta,made
beo,live
i gcás ina,where
tar éis,after
ar ais,back
beag,little
ach,only
bhabhta,round
fear,man
bliain,year
tháinig,came
thaispeáint,show
gach,every
maith,good
dom,me
thabhairt,give
ár n-,our
faoi,under
ainm,name
an-,very
trí,through
ach,just
fhoirm,form
abairt,sentence
mór,great
"I mo thuairimse,",think
rá,say
cabhrú,help
íseal,low
líne,line
difriúil,differ
cas,turn
faoi deara,cause
i bhfad,much
ciallóidh,mean
roimh,before
bogadh,move
ceart,right
buachaill,boy
d’aois,old
freisin,too
céanna,same
sí,she
go léir,all
ann,there
nuair,when
suas,up
úsáid,use
do,your
bhealach,way
faoi,about
go leor,many
ansin,then
iad,them
scríobh,write
bheadh,would
cosúil le,like
mar sin,so
na,these
di,her
fada,long
dhéanamh,make
rud,thing
féach,see
air,him
dhá,two
Tá,has
breathnú,look
níos mó,more
lá,day
D’fhéadfadh,could
dul,go
teacht,come
rinne,did
líon,number
fuaim,sound
aon,no
an chuid is mó,most
daoine,people
mo,my
níos mó ná,over
Tá a fhios,know
uisce,water
ná,than
glao,call
ar dtús,first
a,who
féadfaidh,may
síos,down
taobh,side
curtha,been
anois,now
aimsiú,find
ceann,head
seasamh,stand
féin,own
leathanach,page
Ba chóir,should
tír,country
fuair,found
freagra,answer
scoil,school
fás,grow
staidéar,study
fós,still
foghlaim,learn
plandaí,plant
chlúdach,cover
bia,food
ghrian,sun
ceithre,four
idir,between
stáit,state
choinneáil,keep
súl,eye
riamh,never
seo caite,last
a ligean,let
shíl,thought
cathair,city
crann,tree
tras,cross
feirme,farm
crua,hard
tús,start
d’fhéadfadh,might
scéal,story
chonaic,saw
i bhfad,far
farraige,sea
a tharraingt,draw
chlé,left
déanach,late
rith,run
nach,don’t
cé go,while
preas,press
gar,close
oíche,night
fíor,real
saol,life
beag,few
ó thuaidh,north
leabhar,book
iompar,carry
ghlac,took
eolaíocht,science
ithe,eat
seomra,room
cara,friend
thosaigh,began
smaoineamh,idea
iasc,fish
sliabh,mountain
stad,stop
uair amháin,once
bonn,base
chloisteáil,hear
capall,horse
gearrtha,cut
cinnte,sure
féachaint ar,watch
dath,color
aghaidh,face
adhmad,wood
príomh-,main
oscailte,open
Is cosúil go,seem
le chéile,together
seo chugainn,next
bán,white
leanaí,children
tús a chur,begin
fuair,got
siúl,walk
Mar shampla,example
maolú ar,ease
páipéar,paper
grúpa,group
i gcónaí,always
ceol,music
sin,those
dá,both
marc,mark
Is minic,often
litir,letter
go dtí,until
míle,mile
abhainn,river
carr,car
cosa,feet
cúram,care
an dara,second
leor,enough
plain,plain
cailín,girl
gnách,usual
óg,young
réidh,ready
thuas,above
riamh,ever
dearg,red
liosta,list
cé go,though
bhraitheann,feel
Plé,talk
éan,bird
go luath,soon
comhlacht,body
madra,dog
teaghlach,family
díreach,direct
údar,pose
saoire,leave
song,song
a thomhas,measure
doras,door
táirge,product
dubh,black
gearr,short
Uimhreán,numeral
rang,class
gaoithe,wind
ceist,question
tharlóidh,happen
críochnaithe,complete
long,ship
limistéar,area
leath,half
carraig,rock
ordú,order
dóiteáin,fire
ó dheas,south
fhadhb,problem
píosa,piece
inis,told
Bhí a fhios,knew
pas a fháil,pass
ós rud é,since
barr,top
fad,whole
rí,king
ainm,street
orlach,inch
iolrú,multiply
aon rud,nothing
cúrsa,course
fanacht,stay
roth,wheel
lán,full
bhfeidhm,force
gorm,blue
réad,object
cinneadh a dhéanamh,decide
dromchla,surface
domhain,deep
gealach,moon
oileán,island
cos,foot
córas,system
gnóthach,busy
tástáil,test
taifead,record
bád,boat
coitianta,common
óir,gold
féidir,possible
eitleán,plane
ionad,stead
tirim,dry
Wonder,wonder
gáire,laugh
míle,thousand
ó shin,ago
Rith,ran
seiceáil,check
cluiche,game
cruth,shape
ionann,equate
te,hot
chailleann,miss
thug,brought
teas,heat
sneachta,snow
bonn,tire
thabhairt,bring
yes,yes
i bhfad i gcéin,distant
líonadh,fill
soir,east
péint,paint
teanga,language
i measc,among
aonad,unit
cumhacht,power
baile,town
fíneáil,fine
áirithe,certain
eitilt,fly
titim,fall
luaidhe,lead
caoin,cry
dorcha,dark
meaisín,machine
nóta,note
fan,wait
plean,plan
figiúr,figure
réalta,star
bosca,box
ainmfhocail,noun
réimse,field
chuid eile,rest
ceart,correct
ann,able
punt,pound
rinneadh,done
áilleacht,beauty
tiomáint,drive
sheas,stood
go bhfuil,contain
tosaigh,front
mhúineadh,teach
seachtain,week
deiridh,final
thug,gave
glas,green
curfá,oh
tapaidh,quick
fhorbairt,develop
farraige,ocean
te,warm
saor in aisce,free
nóiméad,minute
láidir,strong
speisialta,special
aigne,mind
taobh thiar,behind
soiléir,clear
eireaball,tail
ar aird,produce
Go deimhin,fact
spás,space
éisteacht,heard
fearr,best
uair an chloig,hour
níos fearr,better
fíor,true
le linn,during
céad,hundred
cúig,five
cuimhnigh,remember
céim,step
go luath,early
shealbhú,hold
siar,west
talamh,ground
ús,interest
a bhaint amach,reach
tapa,fast
briathar,verb
chanadh,sing
éisteacht,listen
sé,six
tábla,table
taisteal,travel
níos lú,less
maidin,morning
deich,ten
simplí,simple
roinnt,several
guta,vowel
i dtreo,toward
cogadh,war
leagan,lay
i gcoinne,against
patrún,pattern
mall,slow
ionad,center
grá,love
duine,person
airgead,money
freastal,serve
le feiceáil,appear
bóthar,road
léarscáil,map
báisteach,rain
riail,rule
rialaíonn,govern
tarraingt,pull
fuar,cold
Fógra,notice
guth,voice
fuinnimh,energy
fiach,hunt
is dócha,probable
leaba,bed
deartháir,brother
ubh,egg
marcaíochta,ride
cill,cell
Creidim,believe
b’fhéidir,perhaps
Pioc,pick
tobann,sudden
comhaireamh,count
cearnach,square
chúis,reason
fad,length
ionadaíocht a dhéanamh,represent
ealaín,art
ábhar,subject
réigiún,region
méid,size
athrú,vary
réiteach,settle
labhairt,speak
meáchan,weight
ginearálta,general
oighear,ice
ábhar,matter
ciorcal,circle
péire,pair
I measc na,include
deighilt,divide
siolla,syllable
bhraith,felt
mhór,grand
liathróid,ball
fós,yet
tonn,wave
titim,drop
croí,heart
rn,am
i láthair,present
trom,heavy
rince,dance
inneall,engine
seasamh,position
lámh,arm
ar fud an,wide
seol,sail
ábhar,material
chodán,fraction
foraoise,forest
suí,sit
cine,race
fuinneog,window
siopa,store
samhradh,summer
traein,train
codlata,sleep
chruthú,prove
aonaracha,lone
cos,leg
a fheidhmiú,exercise
balla,wall
ghabháil,catch
mount,mount
Is mian,wish
spéir,sky
bord,board
áthas,joy
gheimhridh,winter
shuigh,sat
scríofa,written
fiáin,wild
ionstraim,instrument
choimeád,kept
gloine,glass
féar,grass
bó,cow
post,job
imeall,edge
comhartha,sign
cuairt a thabhairt ar,visit
am atá thart,past
bog,soft
spraoi,fun
geal,bright
gáis,gas
aimsir,weather
mí,month
milliún,million
iompróidh,bear
chríochnú,finish
sásta,happy
Tá súil,hope
bláth,flower
clothe,clothe
aisteach,strange
imithe,gone
trádáil,trade
séis,melody
turas,trip
oifig,office
fháil,receive
as a chéile,row
béal,mouth
cruinn,exact
siombail,symbol
bás,die
ar a laghad,least
dtrioblóid,trouble
