sem,as
ég,I
hans,his
að,that
hann,he
var,was
fyrir,for
á,on
eru,are
með,with
þeir,they
vera,be
á,at
einn,one
hafa,have
þetta,this
frá,from
með,by
heitt,hot
orð,word
en,but
hvað,what
sumir,some
er,is
það,it
þú,you
eða,or
hafði,had
sem,the
af,of
að,to
og,and
A,a
í,in
við,we
getur,can
út,out
annað,other
voru,were
sem,which
gera,do
þeirra,their
tími,time
ef,if
mun,will
hvernig,how
sagði,said
sem,an
hver,each
segja,tell
gerir,does
sett,set
þrír,three
vilja,want
loft,air
vel,well
einnig,also
spila,play
lítil,small
enda,end
setja,put
heim,home
lesa,read
hönd,hand
höfn,port
stór,large
stafa,spell
bæta,add
jafnvel,even
landið,land
hér,here
verður,must
stór,big
hár,high
svo,such
fylgja,follow
athöfn,act
hvers vegna,why
spyrja,ask
menn,men
breyting,change
fór,went
ljós,light
góður,kind
burt,off
þarf,need
hús,house
mynd,picture
reyna,try
okkur,us
aftur,again
dýr,animal
lið,point
móðir,mother
veröld,world
nálægt,near
byggja,build
sjálf,self
jörð,earth
faðir,father
allir,any
ný,new
vinna,work
hluti,part
taka,take
fá,get
staður,place
gert,made
lifa,live
þar,where
eftir,after
aftur,back
lítið,little
aðeins,only
umferð,round
maður,man
ári,year
kom,came
sýna,show
hvert,every
gott,good
mér,me
gefa,give
okkar,our
undir,under
nafn,name
mjög,very
gegnum,through
bara,just
mynd,form
setning,sentence
mikill,great
hugsa,think
segja,say
hjálpa,help
lágt,low
lína,line
mismunandi,differ
snúa,turn
orsök,cause
mikið,much
meina,mean
áður,before
Ferðinni,move
réttur,right
drengur,boy
gamall,old
of,too
sama,same
hún,she
allt,all
það,there
þegar,when
upp,up
notkun,use
þinn,your
leið,way
um,about
margir,many
þá,then
þá,them
skrifa,write
myndi,would
eins,like
svo,so
þessir,these
henni,her
langur,long
gera,make
hlutur,thing
sjá,see
hann,him
tveir,two
hefur,has
leita,look
meira,more
dagur,day
gat,could
fara,go
koma,come
gerði,did
fjöldi,number
hljóð,sound
nei,no
mest,most
fólk,people
minn,my
yfir,over
vita,know
vatn,water
en,than
kalla,call
fyrst,first
sem,who
getur,may
niður,down
hlið,side
verið,been
nú,now
finna,find
höfuð,head
standa,stand
eigin,own
síðu,page
ætti,should
land,country
fann,found
svar,answer
skóli,school
vaxa,grow
rannsókn,study
enn,still
læra,learn
planta,plant
kápa,cover
matur,food
sól,sun
fjórir,four
milli,between
ástand,state
halda,keep
auga,eye
aldrei,never
síðasta,last
láta,let
hugsun,thought
borg,city
tré,tree
yfir,cross
bærinn,farm
harður,hard
byrja,start
gæti,might
saga,story
sá,saw
langt,far
sjó,sea
draga,draw
vinstri,left
seint,late
hlaupa,run
ekki,don’t
meðan,while
stutt,press
nálægt,close
nótt,night
alvöru,real
lífið,life
fáir,few
norður,north
bók,book
bera,carry
tók,took
vísindi,science
borða,eat
herbergi,room
vinur,friend
byrjaði,began
hugmynd,idea
fiskur,fish
fjallið,mountain
hætta,stop
einu sinni,once
stöð,base
heyra,hear
hestur,horse
skera,cut
viss,sure
horfa,watch
lit,color
andlit,face
tré,wood
helstu,main
opinn,open
virðast,seem
saman,together
næsta,next
hvítt,white
börn,children
byrja,begin
fékk,got
ganga,walk
dæmi,example
vellíðan,ease
pappír,paper
hópur,group
alltaf,always
tónlist,music
þá,those
bæði,both
merkja,mark
oft,often
bréf,letter
þar,until
kílómetri,mile
áin,river
bíll,car
fætur,feet
umönnun,care
annað,second
nóg,enough
látlaus,plain
stúlka,girl
venjulega,usual
ung,young
tilbúin,ready
ofan,above
alltaf,ever
rauður,red
listi,list
þó,though
finnst,feel
tala,talk
fugl,bird
fljótlega,soon
líkami,body
hundur,dog
fjölskylda,family
bein,direct
sitja,pose
fara,leave
lag,song
mæla,measure
dyr,door
vara,product
svart,black
stutt,short
Talan,numeral
flokki,class
vindur,wind
spurning,question
gerast,happen
heill,complete
skipið,ship
svæði,area
helmingur,half
rokk,rock
röð,order
eldur,fire
suður,south
vandamál,problem
stykki,piece
sagði,told
vissi,knew
fara,pass
síðan,since
efst,top
heild,whole
konungur,king
götu,street
tomma,inch
margfalda,multiply
ekkert,nothing
námskeið,course
halda,stay
hjól,wheel
fullur,full
afl,force
blár,blue
hlut,object
ákveða,decide
yfirborð,surface
djúpt,deep
tunglið,moon
Eyjan,island
fótur,foot
kerfi,system
upptekinn,busy
próf,test
met,record
bátur,boat
algengar,common
gull,gold
mögulegt,possible
flugvél,plane
Stead,stead
