mint,as
I,I
övé,his
hogy,that
ő,he
volt,was
a,for
szóló,on
vannak,are
-val,with
ők,they
lehet,be
meg,at
egy,one
van,have
ezt,this
a,from
által,by
forró,hot
szó,word
de,but
milyen,what
néhány,some
az,is
azt,it
Ön,you
vagy,or
volt,had
az,the
a,of
hogy,to
és,and
ügynökség,a
itt,in
mi,we
lehet,can
ki,out
más,other
voltak,were
amely,which
csinálni,do
ezek,their
idő,time
ha,if
fog,will
hogyan,how
mondta,said
egy,an
minden,each
mondd meg,tell
nem,does
készlet,set
három,three
akar,want
levegő,air
jól,well
is,also
játék,play
kicsi,small
end,end
tesz,put
otthon,home
olvas,read
kézi,hand
porton,port
nagy,large
varázslat,spell
hozzáad,add
még,even
föld,land
itt,here
kell,must
nagy,big
nagy,high
ilyen,such
kövesse,follow
felvonás,act
miért,why
kér,ask
férfiak,men
változás,change
ment,went
fény,light
kedves,kind
le,off
szükség,need
ház,house
kép,picture
próbálja,try
nekünk,us
újra,again
állat,animal
pont,point
anya,mother
világ,world
közel,near
épít,build
self,self
Föld,earth
apa,father
bármilyen,any
új,new
munka,work
rész,part
hogy,take
kap,get
hely,place
készült,made
él,live
ahol,where
után,after
vissza,back
kis,little
csak,only
kerek,round
férfi,man
év,year
jött,came
előadás,show
minden,every
jó,good
nekem,me
ad,give
mi,our
alatt,under
név,name
nagyon,very
keresztül,through
csak,just
űrlap,form
mondat,sentence
nagy,great
gondol,think
mondjuk,say
segítség,help
alacsony,low
vonal,line
különböznek,differ
viszont,turn
ok,cause
sokkal,much
átlagos,mean
előtt,before
lépés,move
jobb,right
fiú,boy
régi,old
túl,too
ugyanaz,same
ő,she
minden,all
ott,there
amikor,when
up,up
használat,use
Ön,your
út,way
körülbelül,about
sok,many
akkor,then
őket,them
ír,write
lenne,would
hasonló,like
így,so
ezeket,these
ő,her
hosszú,long
hogy,make
dolog,thing
lásd,see
neki,him
két,two
van,has
néz,look
több,more
nap,day
tudott,could
megy,go
jön,come
tett,did
szám,number
hang,sound
nincs,no
legtöbb,most
emberek,people
én,my
át,over
tudja,know
víz,water
mint,than
hívás,call
első,first
aki,who
lehet,may
lefelé,down
oldal,side
volt,been
jelenleg,now
talál,find
fej,head
állvány,stand
saját,own
oldal,page
kellene,should
ország,country
talált,found
válasz,answer
iskola,school
nő,grow
tanulmány,study
még mindig,still
tanul,learn
növény,plant
fedél,cover
étel,food
nap,sun
négy,four
között,between
állami,state
tart,keep
szem,eye
soha,never
utolsó,last
legyen,let
gondolat,thought
város,city
fa,tree
kereszt,cross
gazdasági,farm
kemény,hard
kezdet,start
talán,might
történet,story
fűrész,saw
messze,far
tenger,sea
felhívni,draw
balra,left
késő,late
fuss,run
nem,don’t
míg,while
sajtó,press
szoros,close
éjszaka,night
valóságos,real
élet,life
kevés,few
északi,north
könyv,book
visz,carry
vett,took
tudomány,science
eszik,eat
szoba,room
barát,friend
kezdődött,began
ötlet,idea
hal,fish
hegyi,mountain
megáll,stop
egyszer,once
alap,base
hall,hear
ló,horse
vágás,cut
biztos,sure
karóra,watch
szín,color
arc,face
fa,wood
fő,main
nyitott,open
látszik,seem
együtt,together
következő,next
fehér,white
gyerekek,children
kezdődik,begin
kapott,got
séta,walk
példa,example
könnyű,ease
papír,paper
csoport,group
mindig,always
zene,music
azok,those
mindkét,both
jel,mark
gyakran,often
levél,letter
míg,until
mérföld,mile
folyó,river
autó,car
láb,feet
gondoskodás,care
második,second
elég,enough
sima,plain
lány,girl
szokásos,usual
fiatal,young
kész,ready
felett,above
valaha,ever
piros,red
lista,list
bár,though
|úgy érzi,|,feel
beszélgetés,talk
madár,bird
hamar,soon
test,body
kutya,dog
család,family
közvetlen,direct
jelent,pose
elhagy,leave
dal,song
intézkedés,measure
ajtó,door
termék,product
fekete,black
rövid,short
szám,numeral
osztály,class
szél,wind
kérdés,question
történik,happen
teljes,complete
hajó,ship
terület,area
fél,half
kő,rock
rendelés,order
tűz,fire
délre,south
probléma,problem
darab,piece
mondta,told
tudta,knew
át,pass
óta,since
felső,top
egész,whole
király,king
utca,street
hüvelyk,inch
szaporodnak,multiply
semmi,nothing
tanfolyam,course
marad,stay
kerék,wheel
teljes,full
erő,force
kék,blue
tárgy,object
dönt,decide
felület,surface
mély,deep
hold,moon
sziget,island
láb,foot
rendszer,system
elfoglalt,busy
teszt,test
rekord,record
hajó,boat
közös,common
arany,gold
lehetséges,possible
repülőgép,plane
helyett,stead
száraz,dry
csoda,wonder
nevetés,laugh
ezer,thousand
ezelőtt,ago
futott,ran
ellenőrizze,check
játék,game
forma,shape
egyenlővé,equate
forró,hot
miss,miss
hozott,brought
hő,heat
hóban,snow
gumiabroncs,tire
hoz,bring
igen,yes
távoli,distant
töltse,fill
Kelet,east
festék,paint
nyelv,language
között,among
egység,unit
teljesítmény,power
város,town
finom,fine
bizonyos,certain
légy,fly
esik,fall
vezet,lead
kiáltás,cry
sötét,dark
gép,machine
hangjegy,note
várjon,wait
terv,plan
ábra,figure
csillag,star
doboz,box
főnév,noun
mező,field
pihenés,rest
helyes,correct
képes,able
font,pound
Kész,done
szépség,beauty
meghajtó,drive
állt,stood
tartalmaz,contain
első,front
tanít,teach
hét,week
utolsó,final
adott,gave
zöld,green
oh,oh
gyors,quick
fejleszt,develop
óceán,ocean
meleg,warm
ingyenes,free
perc,minute
erős,strong
speciális,special
elme,mind
mögött,behind
világos,clear
farok,tail
termel,produce
tény,fact
hely,space
hallott,heard
legjobb,best
óra,hour
jobb,better
igaz,true
alatt,during
száz,hundred
öt,five
emlékezik,remember
lépés,step
korai,early
tartsa,hold
west,west
föld,ground
kamat,interest
elérni,reach
gyors,fast
