siga,as
abdi,I
na,his
yen,that
manehna,he
ieu,was
keur,for
dina,on
nu,are
jeung,with
maranehna,they
aya,be
di,at
hiji,one
ngabogaan,have
ieu,this
ti,from
ku,by
panas,hot
kecap,word
tapi,but
naon,what
sababaraha,some
nyaeta,is
eta,it
maneh,you
atawa,or
geus,had
nu,the
ti,of
ka,to
jeung,and
a,a
dina,in
urang,we
bisa,can
geus kaluar,out
nu lain,other
éta,were
nu mana,which
teu,do
maranéhanana,their
waktu,time
upami,if
iyeu,will
kumaha,how
ceuk,said
hiji,an
unggal,each
nitah,tell
teu,does
kumpulan,set
tilu,three
hayang,want
hawa,air
sumur,well
oge,also
ulin,play
leutik,small
tungtung,end
neundeun,put
imah,home
maca,read
panangan,hand
palabuhan,port
gede,large
ngejah,spell
nambah,add
oge,even
tanah,land
ieuh,here
kudu,must
gede,big
luhur,high
siga,such
ngiringan,follow
kalakuan,act
kunaon,why
nanya,ask
lalaki,men
ngarobah,change
indit,went
cahaya,light
macem,kind
off,off
ngabutuhkeun,need
imah,house
gambar,picture
nyobaan,try
urang,us
deui,again
hewan,animal
titik,point
indung,mother
dunya,world
deukeut,near
ngawangun,build
sorangan,self
bumi,earth
bapa,father
mana wae,any
anyar,new
pagawean,work
bagean,part
nyokot,take
meunangkeun,get
tempat,place
dijieun,made
hirup,live
di mana,where
saatos,after
balik deui,back
leutik,little
ngan,only
buleud,round
lalaki,man
taun,year
datang,came
nunjukkeun,show
unggal,every
alus,good
abdi,me
mikeun,give
urang,our
di handap,under
nami,name
pisan,very
ngaliwatan,through
adil,just
wujud,form
hukuman,sentence
gede,great
mikir,think
ngomong,say
tulung,help
handap,low
garis,line
béda,differ
pengkolan,turn
sabab,cause
loba,much
maksudna,mean
saencan,before
pindah,move
bener,right
budak lalaki,boy
kolot,old
oge,too
sarua,same
manehna,she
sadaya,all
tuh,there
iraha,when
ka luhur,up
pamakean,use
Anjeun,your
jalan,way
kira-kira,about
loba,many
terus,then
maranehna,them
nulis,write
ngalakukeunana,would
siga,like
janten,so
ieu,these
milikna,her
lila,long
nyieun,make
barang,thing
tempo,see
manehna,him
dua,two
ngabogaan,has
melong,look
tambih deui,more
poe,day
bisa,could
indit,go
datang,come
teu,did
jumlah,number
disada,sound
teu,no
paling,most
jelema,people
mah,my
di luhur,over
nyaho,know
cai,water
tibatan,than
nelpon,call
kahiji,first
saha,who
meunang,may
turun,down
sisi,side
geus,been
ayeuna,now
manggih,find
sirah,head
ngadeg,stand
sorangan,own
kaca,page
sakuduna,should
nagara,country
kapanggih,found
jawaban,answer
sakola,school
jadi,grow
diajar,study
masih,still
diajar,learn
pabrik,plant
tutup,cover
kadaharan,food
panonpoe,sun
opat,four
di antara,between
nagara,state
neundeun,keep
soca,eye
teu kungsi,never
panungtung,last
ngantepkeun,let
pikiran,thought
kota,city
tangkal,tree
salib,cross
tegalan,farm
teuas,hard
awal,start
meureun,might
dongeng,story
ragaji,saw
tebih,far
sagara,sea
ngagambar,draw
kénca,left
pamungkas,late
lalumpatan,run
entong,don’t
waktu,while
pers,press
deukeut,close
wengi,night
asli,real
kahirupan,life
saeutik,few
kaler,north
buku,book
ngabawa,carry
nyandak,took
elmu pangaweruh,science
dahar,eat
kamar,room
sobat,friend
mimiti,began
gagasan,idea
lauk,fish
gunung,mountain
eureun,stop
sakali,once
dasar,base
ngadenge,hear
kuda,horse
motong,cut
yakin,sure
nongton,watch
warna,color
beungeut,face
kayu,wood
utama,main
kabuka,open
sigana,seem
bareng,together
teras,next
bodas,white
barudak,children
mimiti,begin
meunang,got
leumpang,walk
conto,example
betah,ease
keretas,paper
kumpulan,group
salawasna,always
musik,music
eta,those
boh,both
tanda,mark
remen,often
aksara,letter
tepi,until
mil,mile
walungan,river
mobil,car
suku,feet
perawatan,care
kadua,second
cekap,enough
polos,plain
mojang,girl
biasa,usual
ngora,young
siap,ready
di luhur,above
kungsi,ever
beureum,red
daptar,list
sanajan,though
ngarasa,feel
ngomong,talk
manuk,bird
geuwat,soon
awak,body
anjing,dog
kulawarga,family
langsung,direct
pose,pose
ninggalkeun,leave
lagu,song
ngukur,measure
panto,door
barang,product
hideung,black
pendek,short
angka,numeral
kelas,class
angin,wind
tatanya,question
kajadian,happen
kumplit,complete
kapal,ship
wewengkon,area
satengah,half
batu,rock
pesenan,order
seuneu,fire
kidul,south
masalah,problem
potongan,piece
ka,told
terang,knew
ngaliwatan,pass
ti mimiti,since
puncak,top
sakabeh,whole
raja,king
jalan,street
inci,inch
ngalikeun,multiply
euweuh,nothing
kursus,course
tinggal,stay
gilinding,wheel
pinuh,full
kakuatan,force
biru,blue
barang,object
