bilang,as
ako,I
kanyang,his
na,that
siya,he
noon ay,was
para sa,for
sa,on
ay,are
may,with
sila,they
maging,be
sa,at
isa,one
mayroon,have
ito,this
mula sa,from
sa pamamagitan ng,by
mainit,hot
salita,word
ngunit,but
kung ano,what
ilang,some
ay,is
ito,it
sa iyo,you
o,or
nagkaroon,had
ang,the
ng,of
sa,to
at,and
isang,a
sa,in
namin,we
maaari,can
out,out
ibang,other
ay,were
kung saan,which
gawin,do
ang kanilang,their
oras,time
kung,if
pamanahan,will
kung paano,how
sinabi,said
isang,an
bawat,each
sabihin,tell
gumagana,does
hanay,set
tatlong,three
gusto,want
naka,air
na rin,well
ring,also
maglaro,play
maliit,small
pagtatapos,end
ilagay,put
tahanan,home
basahin,read
kamay,hand
port,port
malaki,large
oras ng paggawa,spell
magdagdag,add
kahit na,even
lupa,land
dito,here
kailangan,must
malaki,big
mataas,high
tulad,such
sundin,follow
kumilos,act
bakit,why
magtanong,ask
mga lalaki,men
pagbabago,change
nagpunta,went
liwanag,light
uri,kind
mula sa,off
kailangan,need
bahay,house
larawan,picture
subukan,try
atin,us
muli,again
hayop,animal
punto,point
nanay,mother
mundo,world
malapit,near
magtayo,build
sarili,self
lupa,earth
ama,father
anumang,any
bago,new
trabaho,work
bahagi,part
kumuha,take
kumuha,get
lugar,place
ginawa,made
mabuhay,live
saan,where
pagkatapos,after
likod,back
maliit,little
lamang,only
pag-ikot,round
tao,man
taon,year
dumating,came
palabas,show
bawat,every
mabuti,good
sa akin,me
magbigay,give
ang aming,our
sa ilalim,under
pangalan,name
napaka,very
sa pamamagitan ng,through
lamang,just
paraan,form
pangungusap,sentence
mahusay,great
palagay,think
sabihin,say
tulungan,help
mababa,low
linya,line
mag-iba,differ
pagliko,turn
dahilan,cause
magkano,much
ibig sabihin,mean
bago,before
paglipat,move
karapatan,right
batang lalaki,boy
luma,old
masyado,too
pareho,same
siya,she
lahat,all
doon,there
kapag,when
up,up
gamitin,use
iyong,your
paraan,way
tungkol sa,about
marami,many
pagkatapos,then
sila,them
sumulat,write
ibig,would
tulad ng,like
kaya,so
mga,these
sa kanya,her
mahaba,long
gumawa,make
bagay,thing
tingnan,see
sa kanya,him
dalawang,two
may,has
tumingin,look
higit pa,more
araw,day
ng dati,could
pumunta,go
dumating,come
ginawa,did
numero,number
tunog,sound
walang,no
karamihan,most
mga tao,people
ko,my
sa ibabaw,over
alam,know
tubig,water
kaysa,than
tawag,call
unang,first
kung sino,who
maaari,may
pababa,down
gilid,side
naging,been
ngayon,now
hanapin,find
ulo,head
tumayo,stand
sarili,own
pahina,page
dapat,should
bansa,country
natagpuan,found
sagot,answer
paaralan,school
lumaki,grow
pag-aaral,study
pa rin,still
malaman,learn
halaman,plant
pabalat,cover
pagkain,food
sun,sun
apat,four
sa pagitan ng,between
estado,state
panatilihin,keep
mata,eye
hindi kailanman,never
huli,last
ipaalam,let
pag-iisip,thought
lungsod,city
puno,tree
tumawid,cross
sakahan,farm
matapang,hard
simula,start
lakas,might
kuwento,story
nakita,saw
malayo,far
dagat,sea
gumuhit,draw
ang natitira,left
late,late
tumakbo,run
hindi,don’t
habang,while
pindutin ang,press
malapit,close
gabi,night
tunay,real
buhay,life
ilan,few
hilaga,north
aklat,book
Nagtitinda,carry
kinuha,took
agham,science
kumain,eat
room,room
kaibigan,friend
Sinimulan ni,began
idea,idea
isda,fish
bundok,mountain
itigil,stop
sabay-sabay,once
base,base
pakinggan,hear
kabayo,horse
hiwa,cut
sigurado,sure
panoorin,watch
kulay,color
mukha,face
wood,wood
pangunahin,main
bukas,open
mukhang,seem
magkasama,together
susunod,next
puting,white
mga bata,children
simulan,begin
Nakakuha,got
lumakad,walk
halimbawa,example
luwag,ease
papel,paper
pangkat,group
palagi,always
musika,music
iyon,those
kapwa,both
mark,mark
madalas,often
sulat,letter
hanggang sa,until
milya,mile
ilog,river
kotse,car
paa,feet
pag-aalaga,care
pangalawa,second
sapat,enough
plain,plain
batang babae,girl
karaniwan,usual
batang,young
handa,ready
sa itaas,above
kailanman,ever
pula,red
listahan,list
bagaman,though
pakiramdam,feel
talk,talk
ibon,bird
sa lalong madaling panahon,soon
katawan,body
aso,dog
pamilya,family
direct,direct
imungkahi,pose
mag-iwan,leave
kanta,song
sukatin,measure
pinto,door
produkto,product
itim,black
maikling,short
numeral,numeral
klase,class
hangin,wind
tanong,question
mangyari,happen
kumpleto na ang,complete
barko,ship
lugar,area
kalahati,half
rock,rock
pagkakasunud-sunod,order
sunog,fire
timog,south
problema,problem
piraso,piece
sinabi,told
alam,knew
pumasa,pass
mula noong,since
tuktok,top
kabuuan,whole
king,king
kalye,street
inch,inch
paramihin,multiply
walang anuman,nothing
Siyempre,course
manatili,stay
gulong,wheel
ganap,full
puwersa,force
asul,blue
bagay,object
magpasiya,decide
pang-ibabaw,surface
malalim,deep
gumala,moon
isla,island
paa,foot
sistema,system
maraming ginagawa,busy
pagsubok,test
talaan,record
bangka,boat
