kimi,as
mən,I
onun,his
o,that
belə,he
idi,was
üçün,for
on,on
var,are
ilə,with
onlar,they
olmaq,be
at,at
bir,one
var,have
bu,this
dən,from
tərəfindən,by
isti,hot
word,word
lakin,but
nə,what
bəzi,some
edir,is
vaxt,it
siz,you
və ya,or
idi,had
bu,the
və,of
qədər,to
və,and
a,a
da,in
biz,we
bilərsiniz,can
həyata,out
digər,other
idi,were
hansı,which
etmək,do
onların,their
vaxt,time
əgər,if
olacaq,will
necə,how
bildirib,said
bir,an
hər,each
demək,tell
yoxdur,does
dəst,set
üç,three
istəyirəm,want
hava,air
quyu,well
də,also
oynamaq,play
kiçik,small
son,end
qoymaq,put
ev,home
oxumaq,read
əl,hand
port,port
böyük,large
sehr,spell
əlavə etmək,add
hətta,even
torpaq,land
burada,here
lazımdır,must
böyük,big
yüksək,high
belə,such
izləmək,follow
akt,act
niyə,why
soruşmaq,ask
men,men
dəyişiklik,change
getdi,went
yüngül,light
cür,kind
off,off
ehtiyac,need
ev,house
şəkil,picture
çalışmaq,try
us,us
yenidən,again
heyvan,animal
nöqtə,point
ana,mother
dünya,world
yaxın,near
qurmaq,build
özü,self
torpaq,earth
ata,father
hər hansı bir,any
yeni,new
iş,work
hissə,part
almaq,take
almaq,get
yer,place
etdi,made
yaşamaq,live
harada,where
sonra,after
geri,back
az,little
yalnız,only
dəyirmi,round
man,man
il,year
gəldi,came
göstərmək,show
hər,every
yaxşı,good
me,me
vermək,give
bizim,our
altında,under
adı,name
çox,very
vasitəsilə,through
yalnız,just
form,form
cümlə,sentence
böyük,great
düşünmək,think
demək,say
kömək,help
aşağı,low
line,line
fərqlənir,differ
çevirmək,turn
səbəb,cause
çox,much
orta,mean
əvvəl,before
gediş,move
sağ,right
oğlan,boy
köhnə,old
çox,too
eyni,same
o,she
bütün,all
orada,there
zaman,when
up,up
istifadə,use
Sizin,your
yol,way
haqqında,about
çox,many
sonra,then
onlara,them
yazmaq,write
ki,would
kimi,like
belə,so
bu,these
öz,her
uzun,long
etmək,make
şey,thing
görmək,see
ona,him
iki,two
var,has
baxmaq,look
daha,more
gün,day
bilər,could
getmək,go
gəlmək,come
etdi,did
sayı,number
səs,sound
heç bir,no
ən,most
xalq,people
mənim,my
üzərində,over
öyrənmək,know
su,water
daha,than
zəng edin,call
ilk,first
kim,who
may,may
aşağı,down
side,side
olmuşdur,been
indi,now
tapmaq,find
baş,head
durmaq,stand
öz,own
səhifə,page
olmalıdır,should
ölkə,country
aşkar,found
cavab,answer
məktəb,school
böyümək,grow
təhsil,study
hələ,still
öyrənmək,learn
bitki,plant
qapaq,cover
qida,food
sun,sun
dörd,four
arasında,between
dövlət,state
saxlamaq,keep
göz,eye
heç,never
Sonuncu,last
qoy,let
fikir,thought
şəhər,city
ağac,tree
keçmək,cross
təsərrüfat,farm
hard,hard
start,start
bilər,might
hekayə,story
saw,saw
uzaq,far
dəniz,sea
çəkmək,draw
sol,left
gec,late
run,run
yoxdur,don’t
isə,while
mətbuat,press
yaxın,close
gecə,night
real,real
həyat,life
bir neçə,few
şimal,north
kitab,book
keçirmək,carry
aldı,took
elm,science
yemək,eat
otaq,room
dost,friend
başladı,began
fikir,idea
balıq,fish
dağ,mountain
dayandırmaq,stop
bir dəfə,once
baza,base
eşitmək,hear
at,horse
cut,cut
əmin,sure
izləmək,watch
rəng,color
face,face
Ağac,wood
əsas,main
açıq,open
görünür,seem
birlikdə,together
növbəti,next
ağ,white
uşaq,children
başlamaq,begin
var,got
gəzmək,walk
misal,example
azaltmaq,ease
kağız,paper
qrup,group
