como,as
I,I
súa,his
que,that
el,he
foi,was
para,for
en,on
son,are
con,with
eles,they
ser,be
en,at
un,one
ten,have
este,this
desde,from
por,by
quente,hot
palabra,word
pero,but
o que,what
algúns,some
é,is
el,it
ti,you
ou,or
tivo,had
o,the
de,of
a,to
e,and
unha,a
en,in
nós,we
pode,can
fóra,out
outro,other
foron,were
que,which
facer,do
súa,their
tempo,time
se,if
vontade,will
como,how
dixo,said
unha,an
cada,each
dicir,tell
fai,does
conxunto,set
tres,three
quere,want
aire,air
ben,well
tamén,also
xogar,play
pequeno,small
fin,end
poñer,put
casa,home
ler,read
man,hand
port,port
gran,large
deletrear,spell
engadir,add
mesmo,even
terra,land
aquí,here
debe,must
gran,big
alta,high
tales,such
siga,follow
acto,act
por que,why
preguntar,ask
homes,men
cambio,change
fun,went
luz,light
tipo,kind
off,off
ten,need
casa,house
imaxe,picture
tentar,try
nós,us
novo,again
animal,animal
punto,point
nai,mother
mundo,world
preto,near
construír,build
auto,self
Terra,earth
pai,father
calquera,any
novo,new
traballo,work
parte,part
tomar,take
obter,get
lugar,place
feito,made
vivir,live
onde,where
despois,after
de volta,back
pouco,little
só,only
rolda,round
home,man
ano,year
veu,came
amosar,show
cada,every
bo,good
me,me
dar,give
nosa,our
baixo,under
nome,name
moi,very
mediante,through
só,just
forma,form
sentenza,sentence
gran,great
creo que,think
dicir,say
axuda,help
baixo,low
liña,line
diferir,differ
|á súa vez,|,turn
causa,cause
moi,much
significa,mean
antes,before
movemento,move
dereito,right
neno,boy
vello,old
tamén,too
mesmo,same
ela,she
todo,all
non,there
cando,when
up,up
uso,use
seu,your
forma,way
sobre,about
moitos,many
logo,then
eles,them
escribir,write
faría,would
como,like
así,so
estes,these
ela,her
longo,long
facer,make
cousa,thing
vexa,see
el,him
dous,two
ten,has
ollar,look
máis,more
día,day
podería,could
ir,go
vir,come
fixo,did
número,number
son,sound
non,no
máis,most
persoas,people
meu,my
sobre,over
saber,know
auga,water
que,than
chamada,call
primeiro,first
que,who
pode,may
abaixo,down
banda,side
foi,been
agora,now
atopar,find
cabeza,head
estar,stand
propio,own
Páxina,page
debería,should
país,country
atopou,found
resposta,answer
escola,school
crecer,grow
estudo,study
aínda,still
aprender,learn
planta,plant
cuberta,cover
alimentos,food
sol,sun
catro,four
entre,between
estado,state
manter,keep
ollo,eye
nunca,never
última,last
deixe,let
pensaba,thought
cidade,city
árbore,tree
atravesar,cross
Facenda,farm
difícil,hard
inicio,start
pode,might
historia,story
serra,saw
lonxe,far
mar,sea
deseñar,draw
esquerda,left
tarde,late
run,run
non,don’t
mentres,while
prensa,press
preto,close
noite,night
reais,real
vida,life
poucos,few
norte,north
libro,book
cargar,carry
tomou,took
ciencia,science
comer,eat
cuarto,room
amigo,friend
comezou,began
idea,idea
peixe,fish
montaña,mountain
Pare,stop
xa,once
Base,base
escoitar,hear
cabalo,horse
corte,cut
comprobe se,sure
asista,watch
cor,color
cara,face
madeira,wood
principal,main
aberto,open
parecen,seem
xuntos,together
preto,next
branco,white
nenos,children
inicio,begin
ten,got
andar,walk
exemplo,example
facilidade,ease
papel,paper
grupo,group
sempre,always
música,music
aqueles,those
tanto,both
marca,mark
miúdo,often
carta,letter
ata,until
milla,mile
río,river
coche,car
pés,feet
coidados,care
segunda,second
suficiente,enough
plain,plain
nena,girl
habitual,usual
nova,young
preparado,ready
arriba,above
sempre,ever
vermello,red
lista,list
aínda,though
sentir,feel
discusión,talk
paxaro,bird
pronto,soon
corpo,body
can,dog
familia,family
directo,direct
representar,pose
deixar,leave
canción,song
medir,measure
porta,door
produto,product
negro,black
curta,short
numeral,numeral
clase,class
vento,wind
pregunta,question
pasar,happen
completo,complete
barco,ship
área,area
metade,half
rocha,rock
orde,order
lume,fire
sur,south
problema,problem
peza,piece
dixo,told
sabía,knew
pasar,pass
desde,since
arriba,top
todo,whole
rei,king
rúa,street
polgada,inch
multiplicar,multiply
nada,nothing
curso,course
estar,stay
roda,wheel
completo,full
forza,force
azul,blue
obxecto,object
decidir,decide
superficie,surface
