як,as
Я,I
його,his
що,that
він,he
було,was
для,for
на,on
є,are
еякі,with
вони,they
бути,be
у,at
один,one
мати,have
це,this
від,from
по,by
гаряча,hot
слово,word
але,but
що,what
деякі,some
вогонь,is
це,it
ви,you
або,or
було,had
план,the
и,of
до,to
і,and
кішка,a
в,in
ми,we
може,can
чере,out
другий,other
були,were
які,which
зробити,do
їх,their
час,time
якщо,if
буде,will
як,how
аначений,said
вона,an
кожен,each
скаати,tell
робить,does
набір,set
три,three
хотіти,want
повітря,air
добре,well
також,also
грати,play
невеликої,small
кінець,end
ставити,put
додому,home
читати,read
рука,hand
порт,port
великий,large
аклинань,spell
додавати,add
навіть,even
емля,land
тут,here
повинні,must
великий,big
високий,high
таких,such
слідувати,follow
акт,act
чому,why
спитаєте,ask
чоловіки,men
мінення,change
пішов,went
світло,light
вид,kind
від,off
потрібно,need
будинок,house
картинка,picture
спробуйте,try
нам,us
ову,again
тварин,animal
точка,point
мать,mother
світ,world
рядом,near
будувати,build
самостійно,self
емля,earth
батько,father
будь,any
новий,new
робота,work
частина,part
приймати,take
отримувати,get
місце,place
зробив,made
жити,live
де,where
після,after
назад,back
трохи,little
тільки,only
круглий,round
людина,man
рік,year
прийшли,came
шоу,show
кожен,every
добре,good
мене,me
давати,give
наш,our
під,under
ім’я,name
дуже,very
через,through
просто,just
форма,form
вирок,sentence
великий,great
думаю,think
сказати,say
допомогти,help
низький,low
лінія,line
відрізняються,differ
поворот,turn
причиною,cause
багато,much
значить,mean
до,before
хід,move
право,right
хлопчик,boy
старий,old
занадто,too
те ж саме,same
вона,she
всі,all
є,there
коли,when
до,up
використання,use
ваш,your
спосіб,way
про це,about
багато,many
потім,then
їх,them
написати,write
б,would
подібно,like
так,so
це,these
її,her
довго,long
робити,make
річ,thing
подивитися,see
його,him
два,two
має,has
дивитися,look
ще,more
день,day
міг,could
йти,go
приходять,come
зробив,did
число,number
звук,sound
немає,no
найбільш,most
люди,people
мій,my
над,over
знаю,know
води,water
ніж,than
Телефонуйте,call
перший,first
хто,who
може,may
вниз,down
сторона,side
був,been
зараз,now
знайти,find
керівник,head
стояти,stand
власний,own
сторінка,page
повинен,should
країна,country
знайдено,found
відповідь,answer
школа,school
зростати,grow
дослідження,study
ще,still
дізнатися,learn
завод,plant
кришка,cover
їжа,food
НД,sun
чотири,four
між,between
стан,state
тримати,keep
очей,eye
ніколи,never
останній,last
нехай,let
думка,thought
місто,city
дерево,tree
перетинають,cross
ферма,farm
важко,hard
початок,start
міць,might
історія,story
пила,saw
далеко,far
морі,sea
залучити,draw
зліва,left
пізно,late
пробіг,run
в той час як,while
натисніть,press
близько,close
ніч,night
реальний,real
життя,life
кілька,few
на північ,north
книга,book
нести,carry
взяв,took
наука,science
з’їсти,eat
номер,room
друг,friend
почав,began
ідея,idea
риба,fish
гора,mountain
зупинити,stop
раз,once
база,base
чути,hear
кінь,horse
вирізати,cut
звичайно,sure
дивитися,watch
колір,color
особа,face
дерево,wood
головна,main
відкритий,open
здається,seem
разом,together
наступний,next
білий,white
діти,children
починати,begin
отримав,got
ходити,walk
приклад,example
полегшити,ease
папір,paper
група,group
завжди,always
музика,music
ті,those
як,both
знак,mark
часто,often
лист,letter
до,until
км,mile
річка,river
автомобіль,car
ноги,feet
догляд,care
другий,second
достатньо,enough
рівнина,plain
дівчина,girl
зазвичай,usual
молодий,young
готовий,ready
вище,above
коли-небудь,ever
червоний,red
список,list
хоча,though
відчувати,feel
Обговорення,talk
птах,bird
скоро,soon
тіло,body
собака,dog
сім’я,family
прямій,direct
поза,pose
залишити,leave
пісня,song
виміру,measure
двері,door
продукт,product
чорний,black
короткий,short
цифра,numeral
клас,class
вітер,wind
питання,question
станеться,happen
повний,complete
корабель,ship
площа,area
половина,half
рок,rock
порядок,order
вогонь,fire
південно,south
проблема,problem
шт,piece
сказав,told
знав,knew
пройти,pass
до,since
кращих,top
вся,whole
король,king
вулиця,street
дюйм,inch
помножити,multiply
нічого,nothing
звичайно,course
залишатися,stay
колеса,wheel
повний,full
сила,force
синій,blue
об’єкт,object
"вирішити,",decide
поверхню,surface
глибоко,deep
місяць,moon
острів,island
фут,foot
система,system
зайнятий,busy
тест,test
запис,record
човен,boat
загальна,common
золото,gold
можливо,possible
літак,plane
замість нього,stead
сухий,dry
цікаво,wonder
сміх,laugh
тис,thousand
назад,ago
побіг,ran
перевірити,check
гра,game
форма,shape
прирівнювати,equate
гаряча,hot
міс,miss
приніс,brought
тепло,heat
сніг,snow
шини,tire
принести,bring
да,yes
віддалена,distant
заповнювати,fill
схід,east
фарба,paint
мову,language
серед,among
блок,unit
потужність,power
місто,town
відмінно,fine
певний,certain
літати,fly
падати,fall
привести,lead
крик,cry
темно-,dark
машина,machine
примітка,note
чекати,wait
план,plan
фігура,figure
зірка,star
коробка,box
іменник,noun
поле,field
інші,rest
правильно,correct
стані,able
фунт,pound
зроблено,done
краса,beauty
привод,drive
стояв,stood
містити,contain
передні,front
вчити,teach
тиждень,week
остаточний,final
дав,gave
зелений,green
ой,oh
швидко,quick
розвивати,develop
океан,ocean
теплий,warm
безкоштовно,free
хвилин,minute
сильний,strong
спеціальна,special
розум,mind
за,behind
ясно,clear
хвіст,tail
виробляти,produce
факт,fact
простір,space
чув,heard
краще,best
годину,hour
краще,better
правда,true
під,during
сто,hundred
п’ять,five
пам’ятаю,remember
крок,step
рано,early
утримуйте,hold
запад,west
земля,ground
інтерес,interest
досягати,reach
швидко,fast
дієслово,verb
співати,sing
слухати,listen
шість,six
стіл,table
поїздки,travel
менше,less
ранок,morning
десять,ten
простий,simple
кілька,several
гласний,vowel
до,toward
війна,war
закласти,lay
проти,against
шаблон,pattern
повільно,slow
центр,center
люблю,love
людина,person
гроші,money
служити,serve
з’являються,appear
дорога,road
карта,map
дощ,rain
правило,rule
управляти,govern
тягнути,pull
холодно,cold
сповіщення,notice
голос,voice
енергія,energy
охота,hunt
"ймовірно,",probable
ліжко,bed
брат,brother
яйце,egg
поїздка,ride
клітин,cell
"вважають,",believe
"можливо,",perhaps
вибирати,pick
раптове,sudden
вважати,count
квадратний,square
Причина,reason
довжина,length
представляють,represent
мистецтво,art
Тема,subject
область,region
розмір,size
варіюватися,vary
врегулювати,settle
говорити,speak
вага,weight
загальний,general
лід,ice
справа,matter
круг,circle
пара,pair
включати,include
ділити,divide
склад,syllable
почував,felt
Гранд,grand
м’яч,ball
ще,yet
хвиля,wave
падіння,drop
серце,heart
ранку,am
присутній,present
важкий,heavy
танець,dance
двигун,engine
положення,position
рука,arm
широкий,wide
вітрило,sail
матеріал,material
частка,fraction
ліс,forest
сидіти,sit
гонка,race
вікно,window
магазин,store
літо,summer
поїзд,train
сон,sleep
довести,prove
самотній,lone
нога,leg
вправа,exercise
стіна,wall
улов,catch
кріплення,mount
хочете,wish
небо,sky
дошка,board
радість,joy
зима,winter
Субота,sat
написано,written
дикий,wild
інструмент,instrument
зберігається,kept
скло,glass
трава,grass
корова,cow
робота,job
край,edge
знак,sign
візит,visit
мимо,past
м’який,soft
весело,fun
яскравий,bright
ається,gas
погода,weather
місяць,month
млн,million
нести,bear
оздоблення,finish
щасливі,happy
сподіватися,hope
квітка,flower
одягнути,clothe
дивно,strange
пішов,gone
торгівля,trade
мелодія,melody
поїздка,trip
офіс,office
отримувати,receive
рядок,row
рот,mouth
точна,exact
символ,symbol
померти,die
мірою,least
біда,trouble
крик,shout
крім,except
написав,wrote
насіння,seed
тон,tone
приєднатися,join
запропонувати,suggest
чистий,clean
перерву,break
леді,lady
двір,yard
підніматися,rise
погано,bad
удар,blow
масло,oil
кров,blood
торкайтеся,touch
виросла,grew
цент,cent
плутати,mix
команда,team
провід,wire
вартість,cost
втрачений,lost
коричневий,brown
носити,wear
сад,garden
дорівнюють,equal
відправлено,sent
вибрати,choose
впав,fell
відповідати,fit
текти,flow
ярмарок,fair
банк,bank
збирати,collect
економити,save
контроль,control
десяткової,decimal
вухо,ear
ще,else
цілком,quite
зламав,broke
справа,case
середній,middle
вбити,kill
син,son
озеро,lake
момент,moment
шкала,scale
голосно,loud
весна,spring
спостерігати,observe
дитина,child
прямо,straight
приголосний,consonant
нація,nation
словник,dictionary
молоко,milk
швидкість,speed
метод,method
орган,organ
платити,pay
вік,age
розділ,section
плаття,dress
хмара,cloud
сюрприз,surprise
тихо,quiet
камінь,stone
крихітний,tiny
підйом,climb
прохолодно,cool
дизайн,design
бідних,poor
багато,lot
експеримент,experiment
від низу до,bottom
ключ,key
аліза,iron
