как,as
Я,I
его,his
что,that
он,he
было,was
для,for
на,on
являются,are
с,with
они,they
быть,be
в,at
один,one
иметь,have
это,this
от,from
по,by
горячий,hot
слово,word
но,but
что,what
некоторые,some
является,is
это,it
вы,you
или,or
было,had
площадь,the
из,of
гора,to
и,and
основной,a
взял,in
мы,we
может,can
из,out
другой,other
были,were
который,which
сделать,do
их,their
время,time
если,if
будет,will
как,how
указанный,said
назад,an
каждый,each
сказать,tell
делает,does
набор,set
три,three
хочу,want
воздух,air
хорошо,well
также,also
играть,play
небольшой,small
конец,end
положить,put
домой,home
читать,read
рука,hand
порт,port
большой,large
заклинание,spell
добавлять,add
даже,even
земля,land
здесь,here
должны,must
большой,big
высокий,high
такие,such
следовать,follow
акт,act
почему,why
спросите,ask
люди,men
изменение,change
пошел,went
свет,light
вид,kind
от,off
нуждаться,need
дом,house
картинка,picture
пытаться,try
нам,us
снова,again
животных,animal
точка,point
мать,mother
мир,world
около,near
строить,build
самостоятельно,self
земля,earth
отец,father
любой,any
новый,new
работа,work
часть,part
принимать,take
получать,get
место,place
сделал,made
жить,live
где,where
после,after
назад,back
немного,little
только,only
круглый,round
человек,man
год,year
пришел,came
шоу,show
каждый,every
хорошее,good
меня,me
давать,give
наш,our
под,under
название,name
очень,very
через,through
просто,just
форма,form
приговор,sentence
большой,great
думать,think
сказать,say
помощь,help
низкий,low
линия,line
отличаются,differ
поворот,turn
причиной,cause
много,much
означать,mean
до,before
движение,move
право,right
мальчик,boy
старый,old
слишком,too
же,same
она,she
все,all
там,there
когда,when
вверх,up
использование,use
ваш,your
способ,way
о,about
многие,many
затем,then
их,them
запись,write
бы,would
подобно,like
так,so
эти,these
ее,her
долго,long
сделать,make
вещь,thing
посмотреть,see
его,him
два,two
имеет,has
искать,look
еще,more
день,day
мог,could
идти,go
приходят,come
сделал,did
число,number
звук,sound
нет,no
наиболее,most
люди,people
мой,my
над,over
знать,know
вода,water
чем,than
вызов,call
первый,first
кто,who
может,may
вниз,down
сторона,side
был,been
сейчас,now
находить,find
руководитель,head
стоять,stand
самостоятельно,own
страница,page
должны,should
страна,country
найдено,found
ответ,answer
школа,school
расти,grow
исследование,study
еще,still
учиться,learn
завод,plant
крышка,cover
еда,food
солнце,sun
четыре,four
между,between
состояние,state
держать,keep
глаз,eye
никогда не,never
Последнее,last
позволять,let
мысль,thought
город,city
дерево,tree
пересекают,cross
