bħala,as
I,I
tiegħu,his
li,that
hu,he
kien,was
għal,for
fuq,on
huma,are
ma,with
huma,they
jkun,be
fi,at
wieħed,one
jkollhom,have
dan,this
minn,from
minn,by
sħun,hot
kelma,word
imma,but
liema,what
xi,some
huwa,is
dan,it
inti,you
jew,or
kellhom,had
l-,the
tal,of
li,to
u,and
a,a
fil,in
aħna,we
jista,can
out,out
oħra,other
kienu,were
li,which
do,do
tagħhom,their
ħin,time
jekk,if
se,will
kif,how
qal,said
l,an
kull,each
tell,tell
ma,does
sett,set
tlieta,three
trid,want
arja,air
ukoll,well
wkoll,also
play,play
żgħir,small
aħħar,end
tpoġġi,put
domiċilju,home
aqra,read
idejn,hand
port,port
kbir,large
jespliċitaw,spell
żid,add
anke,even
art,land
hawn,here
għandhom,must
big,big
għolja,high
bħal,such
isegwu,follow
att,act
għaliex,why
staqsi,ask
irġiel,men
bidla,change
marru,went
dawl,light
tip,kind
barra,off
bżonn,need
house,house
stampa,picture
jippruvaw,try
us,us
darb’oħra,again
annimali,animal
punt,point
omm,mother
dinja,world
qrib,near
jibnu,build
awto,self
earth,earth
missier,father
kwalunkwe,any
ġdida,new
xogħol,work
parti,part
tieħu,take
jiksbu,get
post,place
magħmula,made
jgħixu,live
fejn,where
wara,after
back,back
ftit,little
biss,only
rawnd,round
bniedem,man
sena,year
daħal,came
juru,show
kull,every
tajba,good
me,me
jagħtu,give
tagħna,our
taħt,under
isem,name
ħafna,very
permezz,through
biss,just
forma,form
sentenza,sentence
kbira,great
jaħsbu,think
jgħidu,say
jgħinu,help
baxxa,low
line,line
differenti,differ
dawran,turn
kawża,cause
ħafna,much
jfissru,mean
qabel,before
mossa,move
dritt,right
tifel,boy
qodma,old
wisq,too
istess,same
hi,she
kollha,all
hemm,there
meta,when
up,up
użu,use
tiegħek,your
mod,way
dwar,about
ħafna,many
imbagħad,then
minnhom,them
jiktbu,write
kieku,would
bħal,like
hekk,so
dawn,these
tagħha,her
twil,long
jagħmlu,make
ħaġa,thing
tara,see
lilu,him
tnejn,two
għandha,has
ħarsa,look
aktar,more
jum,day
jistgħu,could
go,go
come,come
għamlet,did
numru,number
ħoss,sound
ebda,no
aktar,most
nies,people
tiegħi,my
fuq,over
taf,know
ilma,water
minn,than
sejħa,call
ewwel,first
li,who
jista,may
isfel,down
ġenb,side
kien,been
issa,now
isibu,find
ras,head
toqgħod,stand
stess,own
paġna,page
għandhom,should
pajjiż,country
misjuba,found
tweġiba,answer
iskola,school
jikbru,grow
studju,study
xorta,still
jitgħallmu,learn
impjant,plant
kopertura,cover
ikel,food
xemx,sun
erbgħa,four
bejn,between
istat,state
iżommu,keep
għajn,eye
qatt,never
aħħar,last
let,let
ħasbu,thought
belt,city
siġra,tree
jaqsmu,cross
farm,farm
diffiċli,hard
bidu,start
jista,might
istorja,story
serrieq,saw
ferm,far
baħar,sea
jiġbed,draw
xellug,left
tard,late
medda,run
ma,don’t
filwaqt li,while
istampa,press
qrib,close
lejl,night
reali,real
ħajja,life
ftit,few
tramuntana,north
ktieb,book
twettaq,carry
ħa,took
xjenza,science
jieklu,eat
kamra,room
ħabib,friend
beda,began
idea,idea
ħut,fish
muntanji,mountain
tieqaf,stop
ladarba,once
bażi,base
tisma,hear
żiemel,horse
qatgħa,cut
żgur,sure
watch,watch
kulur,color
wiċċ,face
injam,wood
prinċipali,main
miftuħa,open
jidhru,seem
flimkien,together
li jmiss,next
abjad,white
tfal,children
tibda,begin
ltqajna,got
jimxu,walk
eżempju,example
faċilità,ease
karta,paper
grupp,group
dejjem,always
mużika,music
dawk,those
kemm,both
marka,mark
spiss,often
ittra,letter
sakemm,until
mile,mile
xmara,river
karozza,car
saqajn,feet
kura,care
tieni,second
biżżejjed,enough
plain,plain
girl,girl
soltu,usual
żgħażagħ,young
lest,ready
hawn fuq,above
qatt,ever
aħmar,red
lista,list
għalkemm,though
jħossu,feel
talk,talk
għasfur,bird
dalwaqt,soon
korp,body
klieb,dog
familja,family
dirett,direct
joħolqu,pose
tħalli,leave
kanzunetta,song
ikejlu,measure
bieb,door
prodott,product
iswed,black
qasir,short
numerali,numeral
klassi,class
riħ,wind
kwistjoni,question
jiġri,happen
kompluta,complete
vapur,ship
żona,area
nofs,half
blat,rock
ordni,order
nar,fire
nofsinhar,south
problema,problem
biċċa,piece
told,told
kien jaf,knew
jgħaddu,pass
peress,since
top,top
kollu,whole
king,king
toroq,street
pulzier,inch
immoltiplika,multiply
xejn,nothing
kors,course
waqfa,stay
rota,wheel
sħiħa,full
forza,force
blu,blue
oġġett,object
tiddeċiedi,decide
wiċċ,surface
fond,deep
qamar,moon
gżira,island
sieq,foot
sistema,system
okkupati,busy
tal,test
rekord,record
dgħajsa,boat
komuni,common
deheb,gold
possibbli,possible
pjan,plane
minfloku,stead
xott,dry
wonder,wonder
tidħaq,laugh
elf,thousand
ilu,ago
dam,ran
jiċċekkjaw,check
logħba,game
forma,shape
qabblet,equate
sħun,hot
jitilfu,miss
miġjuba,brought
sħana,heat
borra,snow
tajer,tire
iġibu,bring
iva,yes
bogħod,distant
imla,fill
lvant,east
żebgħa,paint
lingwa,language
fost,among
unità,unit
qawwa,power
belt,town
multa,fine
ċerti,certain
fly,fly
jaqgħu,fall
ċomb,lead
cry,cry
dlam,dark
magna,machine
nota,note
stenna,wait
pjan,plan
figura,figure
stilla,star
kaxxa,box
nom,noun
qasam,field
bqija,rest
korretta,correct
kapaċi,able
lira,pound
isir,done
sbuħija,beauty
drive,drive
kien,stood
fihom,contain
quddiem,front
jgħallmu,teach
ġimgħa,week
finali,final
taw,gave
aħdar,green
oh,oh
malajr,quick
jiżviluppaw,develop
oċean,ocean
sħun,warm
ħielsa,free
minuta,minute
qawwija,strong
speċjali,special
mind,mind
wara,behind
ċara,clear
denb,tail
jipproduċu,produce
fatt,fact
ispazju,space
jinstemgħu,heard
aħjar,best
siegħa,hour
aħjar,better
veru,true
matul,during
mitt,hundred
ħamsa,five
ftakar,remember
pass,step
kmieni,early
istiva,hold
punent,west
art,ground
interess,interest
jilħqu,reach
fast,fast
li,verb
nijet,sing
jisimgħu,listen
sitta,six
tabella,table
ivvjaġġar,travel
inqas,less
filgħodu,morning
għaxar,ten
sempliċi,simple
diversi,several
vokali,vowel
lejn,toward
gwerra,war
jistabbilixxu,lay
kontra,against
mudell,pattern
bil-mod,slow
ċentru,center
imħabba,love
persuna,person
flus,money
jservu,serve
jidhru,appear
triq,road
mappa,map
xita,rain
regola,rule
jirregolaw,govern
iġbed,pull
kiesaħ,cold
avviż,notice
vuċi,voice
enerġija,energy
kaċċa,hunt
probabbli,probable
sodda,bed
ħuh,brother
bajd,egg
rikba,ride
ċellula,cell
jemmnu,believe
forsi,perhaps
pick,pick
f’daqqa,sudden
għadd,count
kwadru,square
raġuni,reason
tul,length
jirrappreżentaw,represent
arti,art
suġġett,subject
reġjun,region
daqs,size
jvarjaw,vary
joqgħod,settle
jitkellmu,speak
piż,weight
ġenerali,general
silġ,ice
kwistjoni,matter
ċirku,circle
par,pair
jinkludu,include
firda,divide
sillaba,syllable
ħass,felt
grand,grand
logħob,ball
għadhom,yet
mewġa,wave
qatra,drop
qalb,heart
am,am
preżenti,present
tqil,heavy
żfin,dance
magna,engine
pożizzjoni,position
driegħ,arm
wiesgħa,wide
qlugħ,sail
materjal,material
frazzjoni,fraction
foresta,forest
ipoġġu,sit
razza,race
tieqa,window
maħżen,store
sajf,summer
ferrovija,train
irqad,sleep
jipprova,prove
isolati,lone
riġel,leg
eżerċizzju,exercise
ħajt,wall
qabda,catch
impunjazzjoni,mount
tixtieq,wish
sema,sky
abbord,board
ferħ,joy
xitwa,winter
sib,sat
miktub,written
selvaġġi,wild
istrument,instrument
miżmuma,kept
ħġieġ,glass
ħaxix,grass
baqra,cow
xogħol,job
tarf,edge
sinjal,sign
żjara,visit
passat,past
soft,soft
gost,fun
bright,bright
gass,gas
temp,weather
xahar,month
miljun,million
iġorru,bear
finitura,finish
kuntenti,happy
tama,hope
fjura,flower
b’saqaf,clothe
stramba,strange
marret,gone
kummerċ,trade
melodija,melody
vjaġġ,trip
uffiċċju,office
jirċievu,receive
ringiela,row
ħalq,mouth
eżatt,exact
simbolu,symbol
jmutu,die
