як,as
Я,I
яго,his
што,that
ён,he
было,was
для,for
на,on
з’яўляюцца,are
даць,with
яны,they
быць,be
ў,at
адзін,one
мець,have
гэта,this
ад,from
па,by
гарачая,hot
слова,word
але,but
што,what
некаторыя,some
з’яўляецца,is
гэта,it
вы,you
або,or
было,had
ўсход,the
зялёны,of
смех,to
і,and
пяць,a
папера,in
мы,we
можа,can
прынёс,out
іншыя,other
былі,were
якія,which
зрабіць,do
іх,their
час,time
калі,if
будзе,will
як,how
сказаў,said
кожны,each
сказаць,tell
робіць,does
набор,set
тры,three
хачу,want
паветра,air
добра,well
таксама,also
гуляць,play
невялікі,small
канец,end
пакласці,put
дадому,home
чытаць,read
рука,hand
порт,port
вялікі,large
загавораў,spell
дадаць,add
нават,even
зямля,land
тут,here
павінны,must
вялікі,big
высокі,high
такіх,such
прытрымлівацца,follow
акт,act
чаму,why
спытаеце,ask
мужчыны,men
змена,change
пайшоў,went
святло,light
выгляд,kind
ад,off
трэба,need
дом,house
фота,picture
паспрабуйце,try
нам,us
зноў,again
жывёл,animal
кропка,point
маці,mother
свет,world
побач,near
пабудаваць,build
самастойна,self
зямля,earth
бацька,father
любы,any
новы,new
праца,work
частка,part
прыняць,take
атрымаць,get
месца,place
зрабіў,made
жыць,live
дзе,where
пасля,after
назад,back
трохі,little
толькі,only
круглы,round
чалавек,man
год,year
прыйшлі,came
шоў,show
кожны,every
добрае,good
мяне,me
даваць,give
наш,our
пад,under
імя,name
вельмі,very
праз,through
проста,just
форма,form
прысуд,sentence
вялікі,great
думаю,think
сказаць,say
дапамагчы,help
нізкі,low
лінія,line
адрозніваюцца,differ
паварот,turn
прычынай,cause
шмат,much
значыць,mean
да,before
ход,move
права,right
хлопчык,boy
стары,old
занадта,too
ж,same
яна,she
усе,all
ёсць,there
калі,when
да,up
выкарыстанне,use
ваш,your
спосаб,way
пра гэта,about
многія,many
затым,then
іх,them
напісаць,write
будзе,would
як,like
так,so
гэта,these
яе,her
доўга,long
зрабіць,make
рэч,thing
гл,see
яго,him
два,two
мае,has
глядзець,look
яшчэ,more
дзень,day
мог,could
перайсці,go
прыходзяць,come
зрабіў,did
лік,number
гук,sound
няма,no
найбольш,most
людзі,people
мой,my
больш,over
ведаю,know
вада,water
чым,than
тэлефануйце,call
першая,first
хто,who
можа,may
ўніз,down
бок,side
быў,been
зараз,now
знайсці,find
кіраўнік,head
стаяць,stand
самастойна,own
старонка,page
павінны,should
краіна,country
знойдзена,found
адказ,answer
школа,school
расці,grow
даследаванне,study
яшчэ,still
даведацца,learn
завод,plant
вечка,cover
ежа,food
чц,sun
чатыры,four
паміж,between
стан,state
трымаць,keep
вачэй,eye
ніколі не,never
апошняе,last
хай,let
думаў,thought
горад,city
дрэва,tree
перасякаюць,cross
ферма,farm
цяжка,hard
пачатак,start
моцы,might
гісторыя,story
піла,saw
далёка,far
мора,sea
прыцягнуць,draw
засталося,left
позна,late
прабег,run
ня,don’t
у той час як,while
націсніце,press
блізка,close
ноч,night
рэальны,real
жыццё,life
мала,few
на поўнач,north
кніга,book
несці,carry
узяў,took
навука,science
з’есці,eat
нумар,room
сябар,friend
пачаў,began
ідэя,idea
рыба,fish
гара,mountain
спыніць,stop
раз,once
база,base
чуюць,hear
конь,horse
выразаць,cut
упэўнены,sure
глядзець,watch
колер,color
твар,face
дрэва,wood
галоўная,main
адкрыты,open
здаецца,seem
разам,together
наступны,next
белы,white
дзеці,children
пачаць,begin
атрымаў,got
хадзіць,walk
прыклад,example
палегчыць,ease
папера,paper
група,group
заўсёды,always
музыка,music
"тых,",those
як,both
знак,mark
часта,often
ліст,letter
да,until
км,mile
рака,river
аўтамабіль,car
ногі,feet
сыход,care
другі,second
дастаткова,enough
раўніна,plain
дзяўчына,girl
звычайна,usual
малады,young
гатовы,ready
вышэй,above
альбо,ever
чырвоны,red
спіс,list
хоць,though
адчуваць,feel
абмеркаванне,talk
птушка,bird
хутка,soon
цела,body
сабака,dog
сям’я,family
прамы,direct
ўяўляюць,pose
пакінуць,leave
песня,song
вымярэння,measure
дзверы,door
прадукт,product
чорны,black
кароткая,short
лічба,numeral
клас,class
вецер,wind
пытанне,question
адбудзецца,happen
поўная,complete
карабель,ship
плошчу,area
палова,half
рок,rock
парадак,order
агонь,fire
поўдзень,south
праблема,problem
шт,piece
сказаў,told
ведаў,knew
прайсці,pass
стол,since
лепшых,top
ўся,whole
кароль,king
вуліца,street
цаля,inch
памножыць,multiply
нічога,nothing
вядома,course
застацца,stay
колы,wheel
поўны,full
сіла,force
сіні,blue
аб’ект,object
"вырашыць,",decide
паверхню,surface
глыбока,deep
Месяц,moon
востраў,island
ногі,foot
сістэма,system
заняты,busy
тэст,test
запіс,record
лодка,boat
агульная,common
золата,gold
магчыма,possible
самалёт,plane
замест яго,stead
сухі,dry
цікава,wonder
смех,laugh
тыс,thousand
назад,ago
пабег,ran
праверыць,check
гульня,game
форма,shape
прыраўняць,equate
гарачая,hot
міс,miss
прынёс,brought
цяпло,heat
снег,snow
шыны,tire
прынесці,bring
ды,yes
аддаленая,distant
запоўніць,fill
ўсход,east
фарба,paint
мова,language
сярод,among
блок,unit
магутнасць,power
горад,town
выдатна,fine
упэўнены,certain
лётаць,fly
падаць,fall
прывесці,lead
крык,cry
цёмна-,dark
машына,machine
заўвага,note
чакаць,wait
план,plan
фігура,figure
зорка,star
скрынка,box
назоўнік,noun
поле,field
астатнія,rest
правільна,correct
стане,able
фунт,pound
зроблена,done
прыгажосць,beauty
прывад,drive
стаяў,stood
ўтрымліваць,contain
пярэднія,front
вучыць,teach
тыдзень,week
Канчатковы,final
даў,gave
зялёны,green
ой,oh
хутка,quick
развіваць,develop
акіян,ocean
цёплы,warm
бясплатна,free
хвілін,minute
моцны,strong
спецыяльная,special
розум,mind
за,behind
ясна,clear
хвост,tail
вырабляць,produce
факт,fact
прастору,space
чуў,heard
лепш,best
гадзіну,hour
лепш,better
праўда,true
ць,during
сто,hundred
пяць,five
памятаю,remember
крок,step
рана,early
трымаць,hold
захад,west
зямля,ground
цікавасць,interest
дасягнуць,reach
хутка,fast
дзеяслоў,verb
спяваць,sing
слухаць,listen
шэсць,six
стол,table
паездкі,travel
менш,less
раніца,morning
дзесяць,ten
просты,simple
некалькі,several
галосны,vowel
да,toward
вайна,war
закласці,lay
супраць,against
малюнак,pattern
павольна,slow
цэнтр,center
люблю,love
чалавек,person
грошы,money
служыць,serve
з’яўляюцца,appear
дарога,road
карта,map
дождж,rain
правіла,rule
кіраваць,govern
пацягніце,pull
холадна,cold
апавяшчэнне,notice
голас,voice
энергіі,energy
паляванне,hunt
"верагодна,",probable
ложак,bed
брат,brother
яйка,egg
паездка,ride
клетак,cell
"лічаць,",believe
"магчыма,",perhaps
выбраць,pick
раптоўнае,sudden
разлічваць,count
квадратны,square
прычына,reason
Даўжыня,length
ўяўляюць,represent
мастацтва,art
тэма,subject
вобласць,region
памер,size
вар’іравацца,vary
ўрэгуляваць,settle
казаць,speak
вага,weight
агульнае,general
лёд,ice
справа,matter
круг,circle
пара,pair
ўключаюць,include
падзяляй,divide
склад,syllable
адчуваў,felt
Гранд,grand
мяч,ball
яшчэ,yet
хваля,wave
падзенне,drop
сэрца,heart
Я,am
прысутнічае,present
цяжкі,heavy
танец,dance
рухавік,engine
становішча,position
рука,arm
шырокі,wide
ветразь,sail
матэрыял,material
доля,fraction
лес,forest
сядзець,sit
гонка,race
акно,window
крама,store
лета,summer
цягнік,train
сон,sleep
даказаць,prove
самотны,lone
нага,leg
практыкаванні,exercise
сцяна,wall
ўлоў,catch
мацаванне,mount
хочаце,wish
неба,sky
дошка,board
радасць,joy
зіма,winter
Сб,sat
напісана,written
дзікі,wild
інструмент,instrument
захоўваецца,kept
шкло,glass
трава,grass
карова,cow
праца,job
край,edge
знак,sign
візіт,visit
міма,past
мяккая,soft
весела,fun
яркі,bright
газу,gas
надвор’е,weather
месяц,month
млн,million
несці,bear
аздабленне,finish
шчаслівыя,happy
спадзяюся,hope
кветка,flower
апрануць,clothe
дзіўна,strange
сышоў,gone
гандаль,trade
мелодыя,melody
паездка,trip
офіс,office
атрымліваць,receive
радок,row
рот,mouth
дакладная,exact
сімвал,symbol
памерці,die
меры,least
бяда,trouble
крык,shout
акрамя,except
напісаў,wrote
насення,seed
тон,tone
далучыцца,join
прапанаваць,suggest
чысты,clean
перапынак,break
лэдзі,lady
двор,yard
расці,rise
дрэнна,bad
ўдар,blow
алей,oil
кроў,blood
дакранайцеся,touch
