као,as
И,I
његов,his
да,that
он,he
био,was
за,for
о,on
су,are
с,with
они,they
бити,be
ат,at
један,one
имају,have
Ова,this
из,from
би,by
Хот,hot
реч,word
али,but
ста,what
неки,some
је,is
она,it
ви,you
или,or
Имао,had
ово,the
од,of
до,to
и,and
Старт,a
у,in
ми,we
цан,can
напоље,out
Друго,other
су,were
која,which
учинити,do
њихове,their
Време,time
ако,if
воља,will
како,how
рекао,said
Породица,an
сваки,each
рећи,tell
не,does
Сет,set
три,three
Желим,want
аир,air
добро,well
такође,also
плаи,play
мала,small
крај,end
пут,put
дом,home
прочитајте,read
рука,hand
Порт,port
велика,large
спелл,spell
адд,add
чак,even
Ланд,land
овде,here
муст,must
велики,big
висока,high
таква,such
фоллов,follow
Закон,act
зашто,why
аск,ask
мен,men
Цханге,change
отишао,went
Лигхт,light
врста,kind
Офф,off
треба,need
Хоусе,house
пицтуре,picture
пробајте,try
нас,us
Опет,again
Анимал,animal
Поинт,point
мајка,mother
свет,world
близу,near
изградити,build
Селф,self
Еартх,earth
отац,father
Ани,any
Нев,new
Рад,work
парт,part
узети,take
добити,get
место,place
маде,made
ливе,live
где је,where
после,after
Назад,back
литтле,little
Само,only
Роунд,round
човек,man
године,year
дошао,came
Схов,show
сваки,every
гоод,good
ме,me
даје,give
Наш,our
под,under
Назив,name
веома,very
кроз,through
само,just
облик,form
реченица,sentence
велики,great
мисли,think
кажу,say
помоћ,help
низак,low
линија,line
разликују,differ
ред,turn
Узрок,cause
много,much
значити,mean
пре,before
потез,move
Право,right
дечак,boy
Олд,old
сувише,too
Исто,same
она,she
све,all
тамо,there
када,when
уп,up
користити,use
Ваш,your
ваи,way
Абоут,about
многи,many
онда,then
им,them
пишу,write
би,would
као,like
тако,so
ово,these
јој,her
лонг,long
направити,make
ствар,thing
видети,see
га,him
два,two
има,has
изгледа,look
више,more
дан,day
могао,could
иди,go
доћи,come
јесте,did
број,number
звук,sound
Но,no
мост,most
људи,people
мој,my
преко,over
знам,know
вода,water
од,than
позив,call
Прво,first
који,who
мај,may
довн,down
страна,side
био,been
сада,now
наћи,find
глава,head
станд,stand
сопствени,own
паге,page
треба,should
Цоунтри,country
фоунд,found
одговор,answer
Сцхоол,school
расти,grow
Студија,study
још,still
научити,learn
биљка,plant
цовер,cover
Фоод,food
Сун,sun
четири,four
између,between
држава,state
задржати,keep
Еие,eye
никад,never
Ласт,last
лет,let
Мислио,thought
Град,city
дрво,tree
цросс,cross
фарм,farm
тежак,hard
Старт,start
моћ,might
прича,story
Сав,saw
далеко,far
Сеа,sea
драв,draw
напустио,left
касно,late
рун,run
немој,don’t
док,while
Пресс,press
близу,close
Нигхт,night
прави,real
живот,life
мало,few
север,north
